,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,66,Albania,ALB,1356,1367.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-11.0
1,2018-09-20T00:00:00,57,Albania,ALB,1383,1384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-1.0
2,2019-04-04T00:00:00,62,Albania,ALB,1368,1372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-4.0
3,2018-12-20T00:00:00,60,Albania,ALB,1372,1372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
4,2019-09-19T00:00:00,64,Albania,ALB,1372,1362.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,10.0
5,2019-07-25T00:00:00,64,Albania,ALB,1362,1362.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
6,2019-10-24T00:00:00,65,Albania,ALB,1367,1372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-5.0
7,2018-03-15T00:00:00,58,Albania,ALB,557,553.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,4.0
8,2018-10-25T00:00:00,60,Albania,ALB,1372,1383.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-11.0
9,2018-08-16T00:00:00,58,Albania,ALB,1384,1384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
10,2019-02-07T00:00:00,61,Albania,ALB,1372,1372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
11,2018-07-01T00:00:00,56,Albania,ALB,1734,1734.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
12,2019-06-14T00:00:00,66,Albania,ALB,1362,1368.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-6.0
13,2017-12-21T00:00:00,62,Albania,ALB,553,553.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
14,2018-06-07T00:00:00,58,Albania,ALB,538,549.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-11.0
15,2017-11-23T00:00:00,62,Albania,ALB,553,498.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,55.0
16,2018-05-17T00:00:00,56,Albania,ALB,549,549.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
17,2018-11-29T00:00:00,60,Albania,ALB,1372,1372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
18,2018-02-15T00:00:00,59,Albania,ALB,553,553.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
19,2018-01-18T00:00:00,60,Albania,ALB,553,553.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
20,2018-04-12T00:00:00,56,Albania,ALB,549,557.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-8.0
21,2017-10-16T00:00:00,71,Albania,ALB,498,551.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-53.0
22,2017-09-14T00:00:00,66,Albania,ALB,551,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-32.0
23,2017-06-01T00:00:00,66,Albania,ALB,544,533.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,11.0
24,2017-07-06T00:00:00,63,Albania,ALB,583,544.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,39.0
25,2017-08-10T00:00:00,63,Albania,ALB,583,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
26,2017-03-09T00:00:00,54,Albania,ALB,623,618.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,5.0
27,2017-05-04T00:00:00,66,Albania,ALB,533,533.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
28,2017-04-06T00:00:00,66,Albania,ALB,533,623.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-90.0
29,2017-02-09T00:00:00,55,Albania,ALB,618,618.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
30,2017-01-12T00:00:00,51,Albania,ALB,618,618.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
31,2016-12-22T00:00:00,49,Albania,ALB,618,618.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
32,2016-10-20T00:00:00,47,Albania,ALB,619,678.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-59.0
33,2016-11-24T00:00:00,49,Albania,ALB,618,619.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-1.0
34,2016-09-15T00:00:00,40,Albania,ALB,678,739.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-61.0
35,2016-08-11T00:00:00,37,Albania,ALB,739,739.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
36,2016-05-05T00:00:00,45,Albania,ALB,632,632.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
37,2016-07-14T00:00:00,37,Albania,ALB,739,667.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,72.0
38,2016-03-03T00:00:00,35,Albania,ALB,754,746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,8.0
39,2016-04-07T00:00:00,45,Albania,ALB,632,754.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-122.0
40,2016-02-04T00:00:00,36,Albania,ALB,746,746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
41,2016-06-02T00:00:00,42,Albania,ALB,667,632.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,35.0
42,2016-01-07T00:00:00,38,Albania,ALB,746,746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
43,2015-12-03T00:00:00,38,Albania,ALB,746,723.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,23.0
44,2015-11-05T00:00:00,36,Albania,ALB,723,755.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-32.0
45,2015-10-01T00:00:00,32,Albania,ALB,755,878.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-123.0
46,2015-09-03T00:00:00,25,Albania,ALB,878,888.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-10.0
47,2015-08-06T00:00:00,22,Albania,ALB,888,722.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,166.0
48,2015-05-07T00:00:00,57,Albania,ALB,575,575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
49,2015-07-09T00:00:00,36,Albania,ALB,722,624.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,98.0
50,2015-03-12T00:00:00,61,Albania,ALB,557,548.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,9.0
51,2015-04-09T00:00:00,57,Albania,ALB,575,557.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,18.0
52,2015-06-04T00:00:00,51,Albania,ALB,624,575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,49.0
53,2015-02-12T00:00:00,63,Albania,ALB,548,543.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,5.0
54,2015-01-08T00:00:00,58,Albania,ALB,543,543.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
55,2014-10-23T00:00:00,48,Albania,ALB,604,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,33.0
56,2014-12-18T00:00:00,58,Albania,ALB,543,577.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-34.0
57,2014-11-27T00:00:00,50,Albania,ALB,577,604.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-27.0
58,2014-09-18T00:00:00,45,Albania,ALB,571,437.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,134.0
59,2014-08-14T00:00:00,70,Albania,ALB,437,444.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-7.0
60,2014-07-17T00:00:00,67,Albania,ALB,444,495.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-51.0
61,2014-05-08T00:00:00,70,Albania,ALB,486,486.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
62,2014-06-05T00:00:00,66,Albania,ALB,495,486.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,9.0
63,2014-04-10T00:00:00,70,Albania,ALB,486,569.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-83.0
64,2014-03-13T00:00:00,54,Albania,ALB,569,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-2.0
65,2013-12-19T00:00:00,57,Albania,ALB,571,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
66,2014-02-13T00:00:00,55,Albania,ALB,571,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
67,2014-01-16T00:00:00,56,Albania,ALB,571,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,0.0
68,2013-11-28T00:00:00,57,Albania,ALB,571,563.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,8.0
69,2013-10-17T00:00:00,58,Albania,ALB,563,652.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-89.0
70,2013-09-12T00:00:00,45,Albania,ALB,652,689.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-37.0
71,2013-07-04T00:00:00,37,Albania,ALB,689,690.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,-1.0
72,2013-06-06T00:00:00,38,Albania,ALB,690,640.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alb,50.0
