,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,35,Algeria,ALG,1482,1469.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,13.0
1,2018-09-20T00:00:00,69,Algeria,ALG,1343,1351.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-8.0
2,2019-04-04T00:00:00,70,Algeria,ALG,1348,1349.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-1.0
3,2018-12-20T00:00:00,67,Algeria,ALG,1347,1347.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
4,2019-09-19T00:00:00,38,Algeria,ALG,1466,1463.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,3.0
5,2019-07-25T00:00:00,40,Algeria,ALG,1463,1346.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,117.0
6,2019-10-24T00:00:00,38,Algeria,ALG,1469,1466.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,3.0
7,2018-03-15T00:00:00,60,Algeria,ALG,553,552.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,1.0
8,2018-10-25T00:00:00,67,Algeria,ALG,1339,1343.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-4.0
9,2018-08-16T00:00:00,66,Algeria,ALG,1351,1352.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-1.0
10,2019-02-07T00:00:00,69,Algeria,ALG,1349,1347.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,2.0
11,2018-07-01T00:00:00,66,Algeria,ALG,1641,1642.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-1.0
12,2019-06-14T00:00:00,68,Algeria,ALG,1346,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-2.0
13,2017-12-21T00:00:00,58,Algeria,ALG,588,537.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,51.0
14,2018-06-07T00:00:00,66,Algeria,ALG,474,499.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-25.0
15,2017-11-23T00:00:00,64,Algeria,ALG,537,540.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-3.0
16,2018-05-17T00:00:00,64,Algeria,ALG,499,516.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-17.0
17,2018-11-29T00:00:00,67,Algeria,ALG,1347,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,8.0
18,2018-02-15T00:00:00,60,Algeria,ALG,552,585.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-33.0
19,2018-01-18T00:00:00,57,Algeria,ALG,585,588.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-3.0
20,2018-04-12T00:00:00,62,Algeria,ALG,516,553.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-37.0
21,2017-10-16T00:00:00,67,Algeria,ALG,540,564.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-24.0
22,2017-09-14T00:00:00,62,Algeria,ALG,564,677.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-113.0
23,2017-06-01T00:00:00,53,Algeria,ALG,636,628.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,8.0
24,2017-07-06T00:00:00,48,Algeria,ALG,677,636.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,41.0
25,2017-08-10T00:00:00,48,Algeria,ALG,677,677.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
26,2017-03-09T00:00:00,50,Algeria,ALG,645,644.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,1.0
27,2017-05-04T00:00:00,54,Algeria,ALG,628,628.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
28,2017-04-06T00:00:00,54,Algeria,ALG,628,645.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-17.0
29,2017-02-09T00:00:00,50,Algeria,ALG,644,687.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-43.0
30,2017-01-12T00:00:00,39,Algeria,ALG,687,692.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-5.0
31,2016-12-22T00:00:00,38,Algeria,ALG,692,692.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
32,2016-10-20T00:00:00,35,Algeria,ALG,741,749.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-8.0
33,2016-11-24T00:00:00,38,Algeria,ALG,692,741.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-49.0
34,2016-09-15T00:00:00,35,Algeria,ALG,749,781.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-32.0
35,2016-08-11T00:00:00,32,Algeria,ALG,781,781.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
36,2016-05-05T00:00:00,33,Algeria,ALG,771,771.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
37,2016-07-14T00:00:00,32,Algeria,ALG,781,786.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-5.0
38,2016-03-03T00:00:00,37,Algeria,ALG,743,746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-3.0
39,2016-04-07T00:00:00,33,Algeria,ALG,771,743.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,28.0
40,2016-02-04T00:00:00,36,Algeria,ALG,746,845.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-99.0
41,2016-06-02T00:00:00,32,Algeria,ALG,786,771.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,15.0
42,2016-01-07T00:00:00,28,Algeria,ALG,845,845.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
43,2015-12-03T00:00:00,28,Algeria,ALG,845,872.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-27.0
44,2015-11-05T00:00:00,26,Algeria,ALG,872,927.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-55.0
45,2015-10-01T00:00:00,19,Algeria,ALG,927,955.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-28.0
46,2015-09-03T00:00:00,19,Algeria,ALG,955,941.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,14.0
47,2015-08-06T00:00:00,19,Algeria,ALG,941,941.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
48,2015-05-07T00:00:00,20,Algeria,ALG,917,917.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
49,2015-07-09T00:00:00,19,Algeria,ALG,941,941.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
50,2015-03-12T00:00:00,18,Algeria,ALG,986,981.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,5.0
51,2015-04-09T00:00:00,21,Algeria,ALG,917,986.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-69.0
52,2015-06-04T00:00:00,21,Algeria,ALG,941,917.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,24.0
53,2015-02-12T00:00:00,18,Algeria,ALG,981,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,33.0
54,2015-01-08T00:00:00,18,Algeria,ALG,948,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
55,2014-10-23T00:00:00,15,Algeria,ALG,989,926.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,63.0
56,2014-12-18T00:00:00,18,Algeria,ALG,948,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
57,2014-11-27T00:00:00,18,Algeria,ALG,948,989.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-41.0
58,2014-09-18T00:00:00,20,Algeria,ALG,926,880.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,46.0
59,2014-08-14T00:00:00,24,Algeria,ALG,880,872.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,8.0
60,2014-07-17T00:00:00,24,Algeria,ALG,872,858.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,14.0
61,2014-05-08T00:00:00,25,Algeria,ALG,795,795.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
62,2014-06-05T00:00:00,22,Algeria,ALG,858,795.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,63.0
63,2014-04-10T00:00:00,25,Algeria,ALG,795,819.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-24.0
64,2014-03-13T00:00:00,25,Algeria,ALG,819,819.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
65,2013-12-19T00:00:00,26,Algeria,ALG,800,800.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
66,2014-02-13T00:00:00,26,Algeria,ALG,819,792.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,27.0
67,2014-01-16T00:00:00,27,Algeria,ALG,792,800.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-8.0
68,2013-11-28T00:00:00,26,Algeria,ALG,800,741.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,59.0
69,2013-10-17T00:00:00,32,Algeria,ALG,741,762.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-21.0
70,2013-09-12T00:00:00,28,Algeria,ALG,762,730.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,32.0
71,2013-07-04T00:00:00,34,Algeria,ALG,730,737.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-7.0
72,2013-06-06T00:00:00,35,Algeria,ALG,737,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,2.0
73,2013-05-09T00:00:00,35,Algeria,ALG,735,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
74,2013-08-08T00:00:00,34,Algeria,ALG,730,730.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,0.0
75,2013-02-14T00:00:00,34,Algeria,ALG,725,829.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-104.0
76,2013-03-14T00:00:00,34,Algeria,ALG,722,725.0,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,-3.0
