,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,135,Andorra,AND,1082,1080.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,2.0
1,2018-09-20T00:00:00,128,Andorra,AND,1121,1120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
2,2019-04-04T00:00:00,134,Andorra,AND,1099,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-12.0
3,2018-12-20T00:00:00,133,Andorra,AND,1111,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
4,2019-09-19T00:00:00,139,Andorra,AND,1075,1082.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-7.0
5,2019-07-25T00:00:00,136,Andorra,AND,1082,1082.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
6,2019-10-24T00:00:00,136,Andorra,AND,1080,1075.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,5.0
7,2018-03-15T00:00:00,130,Andorra,AND,232,215.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,17.0
8,2018-10-25T00:00:00,133,Andorra,AND,1109,1121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-12.0
9,2018-08-16T00:00:00,130,Andorra,AND,1120,1120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
10,2019-02-07T00:00:00,132,Andorra,AND,1111,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
11,2018-07-01T00:00:00,141,Andorra,AND,1210,1210.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
12,2019-06-14T00:00:00,139,Andorra,AND,1082,1099.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-17.0
13,2017-12-21T00:00:00,138,Andorra,AND,215,215.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
14,2018-06-07T00:00:00,130,Andorra,AND,229,230.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
15,2017-11-23T00:00:00,139,Andorra,AND,215,191.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,24.0
16,2018-05-17T00:00:00,132,Andorra,AND,230,230.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
17,2018-11-29T00:00:00,133,Andorra,AND,1111,1109.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,2.0
18,2018-02-15T00:00:00,137,Andorra,AND,215,215.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
19,2018-01-18T00:00:00,136,Andorra,AND,215,215.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
20,2018-04-12T00:00:00,132,Andorra,AND,230,232.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-2.0
21,2017-10-16T00:00:00,144,Andorra,AND,191,191.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
22,2017-09-14T00:00:00,144,Andorra,AND,191,246.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-55.0
23,2017-06-01T00:00:00,186,Andorra,AND,69,66.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,3.0
24,2017-07-06T00:00:00,129,Andorra,AND,246,69.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,177.0
25,2017-08-10T00:00:00,129,Andorra,AND,246,246.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
26,2017-03-09T00:00:00,200,Andorra,AND,29,12.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,17.0
27,2017-05-04T00:00:00,187,Andorra,AND,66,66.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
28,2017-04-06T00:00:00,187,Andorra,AND,66,29.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,37.0
29,2017-02-09T00:00:00,203,Andorra,AND,12,12.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
30,2017-01-12T00:00:00,203,Andorra,AND,12,12.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
31,2016-12-22T00:00:00,203,Andorra,AND,12,12.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
32,2016-10-20T00:00:00,203,Andorra,AND,11,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
33,2016-11-24T00:00:00,203,Andorra,AND,12,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
34,2016-09-15T00:00:00,203,Andorra,AND,11,12.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
35,2016-08-11T00:00:00,203,Andorra,AND,12,12.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
36,2016-05-05T00:00:00,202,Andorra,AND,5,5.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
37,2016-07-14T00:00:00,203,Andorra,AND,12,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
38,2016-03-03T00:00:00,201,Andorra,AND,6,6.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
39,2016-04-07T00:00:00,202,Andorra,AND,5,6.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
40,2016-02-04T00:00:00,201,Andorra,AND,6,6.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
41,2016-06-02T00:00:00,202,Andorra,AND,11,5.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,6.0
42,2016-01-07T00:00:00,201,Andorra,AND,6,6.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
43,2015-12-03T00:00:00,201,Andorra,AND,6,5.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
44,2015-11-05T00:00:00,205,Andorra,AND,5,5.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
45,2015-10-01T00:00:00,205,Andorra,AND,5,6.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
46,2015-09-03T00:00:00,202,Andorra,AND,6,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-3.0
47,2015-08-06T00:00:00,201,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
48,2015-05-07T00:00:00,204,Andorra,AND,8,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
49,2015-07-09T00:00:00,202,Andorra,AND,9,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
50,2015-03-12T00:00:00,201,Andorra,AND,8,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
51,2015-04-09T00:00:00,204,Andorra,AND,8,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
52,2015-06-04T00:00:00,204,Andorra,AND,8,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
53,2015-02-12T00:00:00,201,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
54,2015-01-08T00:00:00,201,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
55,2014-10-23T00:00:00,202,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
56,2014-12-18T00:00:00,201,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
57,2014-11-27T00:00:00,201,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
58,2014-09-18T00:00:00,203,Andorra,AND,9,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-7.0
59,2014-08-14T00:00:00,199,Andorra,AND,16,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
60,2014-07-17T00:00:00,198,Andorra,AND,16,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
61,2014-05-08T00:00:00,199,Andorra,AND,16,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
62,2014-06-05T00:00:00,200,Andorra,AND,16,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
63,2014-04-10T00:00:00,199,Andorra,AND,16,15.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
64,2014-03-13T00:00:00,199,Andorra,AND,15,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-2.0
65,2013-12-19T00:00:00,198,Andorra,AND,17,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
66,2014-02-13T00:00:00,198,Andorra,AND,17,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
67,2014-01-16T00:00:00,198,Andorra,AND,17,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
68,2013-11-28T00:00:00,198,Andorra,AND,17,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
69,2013-10-17T00:00:00,200,Andorra,AND,16,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
70,2013-09-12T00:00:00,200,Andorra,AND,16,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,8.0
71,2013-07-04T00:00:00,205,Andorra,AND,8,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
72,2013-06-06T00:00:00,205,Andorra,AND,8,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
73,2013-05-09T00:00:00,205,Andorra,AND,9,9.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
74,2013-08-08T00:00:00,205,Andorra,AND,8,8.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
75,2013-02-14T00:00:00,204,Andorra,AND,11,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
76,2013-03-14T00:00:00,204,Andorra,AND,11,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
77,2013-04-11T00:00:00,205,Andorra,AND,9,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-2.0
78,2013-01-17T00:00:00,203,Andorra,AND,11,11.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
79,2012-11-07T00:00:00,203,Andorra,AND,13,13.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
80,2012-09-05T00:00:00,199,Andorra,AND,15,15.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
81,2012-10-03T00:00:00,201,Andorra,AND,13,15.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-2.0
82,2012-12-19T00:00:00,204,Andorra,AND,11,13.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-2.0
83,2012-07-04T00:00:00,198,Andorra,AND,15,15.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
84,2012-08-08T00:00:00,200,Andorra,AND,15,15.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
85,2012-05-09T00:00:00,205,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
86,2012-06-06T00:00:00,199,Andorra,AND,15,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
87,2012-04-11T00:00:00,205,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
88,2012-03-07T00:00:00,205,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
89,2012-02-15T00:00:00,205,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
90,2012-01-18T00:00:00,206,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
91,2011-11-23T00:00:00,204,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
92,2011-12-21T00:00:00,206,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
93,2011-10-19T00:00:00,203,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
94,2011-09-21T00:00:00,203,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
95,2011-07-27T00:00:00,203,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
96,2011-06-29T00:00:00,203,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
97,2011-05-18T00:00:00,202,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
98,2011-04-13T00:00:00,202,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
99,2011-08-24T00:00:00,203,Andorra,AND,0,0.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
100,2011-01-12T00:00:00,202,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
101,2011-02-02T00:00:00,202,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
102,2011-03-09T00:00:00,202,Andorra,AND,0,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,
103,2010-12-15T00:00:00,202,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
104,2010-10-20T00:00:00,202,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
105,2010-09-15T00:00:00,202,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
106,2010-11-17T00:00:00,202,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
107,2010-08-11T00:00:00,201,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
108,2010-07-14T00:00:00,201,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
109,2010-05-26T00:00:00,201,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
110,2010-04-28T00:00:00,201,Andorra,AND,2,2.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
111,2010-03-31T00:00:00,201,Andorra,AND,2,3.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
112,2010-02-03T00:00:00,202,Andorra,AND,3,3.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
113,2010-03-03T00:00:00,202,Andorra,AND,3,3.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
114,2009-12-16T00:00:00,202,Andorra,AND,3,3.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
115,2009-11-20T00:00:00,202,Andorra,AND,3,4.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
116,2009-10-16T00:00:00,201,Andorra,AND,4,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-13.0
117,2009-09-02T00:00:00,195,Andorra,AND,17,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
118,2009-07-01T00:00:00,196,Andorra,AND,17,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
119,2009-08-05T00:00:00,195,Andorra,AND,17,17.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
120,2009-06-03T00:00:00,196,Andorra,AND,17,18.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-1.0
121,2009-05-06T00:00:00,196,Andorra,AND,18,18.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
122,2009-04-08T00:00:00,195,Andorra,AND,18,14.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,4.0
123,2009-03-11T00:00:00,195,Andorra,AND,14,14.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
124,2008-12-17T00:00:00,194,Andorra,AND,20,19.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,1.0
125,2009-02-11T00:00:00,195,Andorra,AND,14,20.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-6.0
126,2008-11-12T00:00:00,194,Andorra,AND,19,36.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,-17.0
127,2009-01-14T00:00:00,195,Andorra,AND,20,20.0,https://api.fifa.com/api/v1/picture/flags-sq-4/and,0.0
