,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,9,Argentina,ARG,1623,1617.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,6.0
1,2018-09-20T00:00:00,11,Argentina,ARG,1575,1574.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,1.0
2,2019-04-04T00:00:00,11,Argentina,ARG,1580,1582.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-2.0
3,2018-12-20T00:00:00,11,Argentina,ARG,1582,1582.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
4,2019-09-19T00:00:00,10,Argentina,ARG,1614,1610.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,4.0
5,2019-07-25T00:00:00,10,Argentina,ARG,1610,1582.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,28.0
6,2019-10-24T00:00:00,9,Argentina,ARG,1617,1614.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,3.0
7,2018-03-15T00:00:00,4,Argentina,ARG,1359,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,11.0
8,2018-10-25T00:00:00,12,Argentina,ARG,1573,1575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-2.0
9,2018-08-16T00:00:00,11,Argentina,ARG,1574,1584.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-10.0
10,2019-02-07T00:00:00,11,Argentina,ARG,1582,1582.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
11,2018-07-01T00:00:00,9,Argentina,ARG,2080,2117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-37.0
12,2019-06-14T00:00:00,11,Argentina,ARG,1582,1580.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,2.0
13,2017-12-21T00:00:00,4,Argentina,ARG,1348,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
14,2018-06-07T00:00:00,5,Argentina,ARG,1241,1254.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-13.0
15,2017-11-23T00:00:00,4,Argentina,ARG,1348,1445.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-97.0
16,2018-05-17T00:00:00,5,Argentina,ARG,1254,1254.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
17,2018-11-29T00:00:00,11,Argentina,ARG,1582,1573.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,9.0
18,2018-02-15T00:00:00,4,Argentina,ARG,1348,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
19,2018-01-18T00:00:00,4,Argentina,ARG,1348,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
20,2018-04-12T00:00:00,5,Argentina,ARG,1254,1359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-105.0
21,2017-10-16T00:00:00,4,Argentina,ARG,1445,1325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,120.0
22,2017-09-14T00:00:00,4,Argentina,ARG,1325,1399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-74.0
23,2017-06-01T00:00:00,2,Argentina,ARG,1626,1603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,23.0
24,2017-07-06T00:00:00,3,Argentina,ARG,1413,1626.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-213.0
25,2017-08-10T00:00:00,3,Argentina,ARG,1399,1413.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-14.0
26,2017-03-09T00:00:00,1,Argentina,ARG,1644,1635.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,9.0
27,2017-05-04T00:00:00,2,Argentina,ARG,1603,1603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
28,2017-04-06T00:00:00,2,Argentina,ARG,1603,1644.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-41.0
29,2017-02-09T00:00:00,1,Argentina,ARG,1635,1634.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,1.0
30,2017-01-12T00:00:00,1,Argentina,ARG,1634,1634.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
31,2016-12-22T00:00:00,1,Argentina,ARG,1634,1634.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,0.0
