,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,201,Aruba,ARU,867,885.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-18.0
1,2018-09-20T00:00:00,185,Aruba,ARU,924,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,8.0
2,2019-04-04T00:00:00,188,Aruba,ARU,909,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-7.0
3,2018-12-20T00:00:00,187,Aruba,ARU,916,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
4,2019-09-19T00:00:00,195,Aruba,ARU,890,909.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-19.0
5,2019-07-25T00:00:00,189,Aruba,ARU,909,909.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
6,2019-10-24T00:00:00,195,Aruba,ARU,885,890.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-5.0
7,2018-03-15T00:00:00,180,Aruba,ARU,92,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
8,2018-10-25T00:00:00,185,Aruba,ARU,924,924.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
9,2018-08-16T00:00:00,188,Aruba,ARU,916,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
10,2019-02-07T00:00:00,187,Aruba,ARU,916,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
11,2018-07-01T00:00:00,186,Aruba,ARU,907,907.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
12,2019-06-14T00:00:00,189,Aruba,ARU,909,909.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
13,2017-12-21T00:00:00,179,Aruba,ARU,92,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
14,2018-06-07T00:00:00,188,Aruba,ARU,48,75.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-27.0
15,2017-11-23T00:00:00,179,Aruba,ARU,92,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
16,2018-05-17T00:00:00,182,Aruba,ARU,75,75.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
17,2018-11-29T00:00:00,187,Aruba,ARU,916,924.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-8.0
18,2018-02-15T00:00:00,180,Aruba,ARU,92,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
19,2018-01-18T00:00:00,180,Aruba,ARU,92,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
20,2018-04-12T00:00:00,182,Aruba,ARU,75,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-17.0
21,2017-10-16T00:00:00,178,Aruba,ARU,92,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
22,2017-09-14T00:00:00,179,Aruba,ARU,92,113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-21.0
23,2017-06-01T00:00:00,171,Aruba,ARU,114,127.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-13.0
24,2017-07-06T00:00:00,172,Aruba,ARU,113,114.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-1.0
25,2017-08-10T00:00:00,173,Aruba,ARU,113,113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
26,2017-03-09T00:00:00,160,Aruba,ARU,147,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
27,2017-05-04T00:00:00,162,Aruba,ARU,127,127.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
28,2017-04-06T00:00:00,162,Aruba,ARU,127,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-20.0
29,2017-02-09T00:00:00,161,Aruba,ARU,147,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
30,2017-01-12T00:00:00,160,Aruba,ARU,147,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
31,2016-12-22T00:00:00,160,Aruba,ARU,147,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
32,2016-10-20T00:00:00,160,Aruba,ARU,147,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-8.0
33,2016-11-24T00:00:00,159,Aruba,ARU,147,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
34,2016-09-15T00:00:00,160,Aruba,ARU,155,209.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-54.0
35,2016-08-11T00:00:00,148,Aruba,ARU,209,216.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-7.0
36,2016-05-05T00:00:00,136,Aruba,ARU,259,259.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
37,2016-07-14T00:00:00,147,Aruba,ARU,216,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-17.0
38,2016-03-03T00:00:00,113,Aruba,ARU,298,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
39,2016-04-07T00:00:00,137,Aruba,ARU,259,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-39.0
40,2016-02-04T00:00:00,114,Aruba,ARU,298,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
41,2016-06-02T00:00:00,143,Aruba,ARU,233,259.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-26.0
42,2016-01-07T00:00:00,115,Aruba,ARU,298,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
43,2015-12-03T00:00:00,115,Aruba,ARU,298,299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-1.0
44,2015-11-05T00:00:00,112,Aruba,ARU,299,299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
45,2015-10-01T00:00:00,115,Aruba,ARU,299,201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,98.0
46,2015-09-03T00:00:00,137,Aruba,ARU,201,201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
47,2015-08-06T00:00:00,137,Aruba,ARU,201,211.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-10.0
48,2015-05-07T00:00:00,136,Aruba,ARU,204,204.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
49,2015-07-09T00:00:00,135,Aruba,ARU,211,138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,73.0
50,2015-03-12T00:00:00,128,Aruba,ARU,221,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
51,2015-04-09T00:00:00,134,Aruba,ARU,204,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-17.0
52,2015-06-04T00:00:00,151,Aruba,ARU,138,204.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-66.0
53,2015-02-12T00:00:00,132,Aruba,ARU,221,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
54,2015-01-08T00:00:00,129,Aruba,ARU,221,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
55,2014-10-23T00:00:00,132,Aruba,ARU,218,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-15.0
56,2014-12-18T00:00:00,129,Aruba,ARU,221,218.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,3.0
57,2014-11-27T00:00:00,131,Aruba,ARU,218,218.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
58,2014-09-18T00:00:00,129,Aruba,ARU,233,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
59,2014-08-14T00:00:00,124,Aruba,ARU,233,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
60,2014-07-17T00:00:00,123,Aruba,ARU,233,254.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-21.0
61,2014-05-08T00:00:00,155,Aruba,ARU,122,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
62,2014-06-05T00:00:00,120,Aruba,ARU,254,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,132.0
63,2014-04-10T00:00:00,155,Aruba,ARU,122,87.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,35.0
64,2014-03-13T00:00:00,162,Aruba,ARU,87,87.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
65,2013-12-19T00:00:00,170,Aruba,ARU,87,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,5.0
66,2014-02-13T00:00:00,172,Aruba,ARU,87,87.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
67,2014-01-16T00:00:00,170,Aruba,ARU,87,87.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
68,2013-11-28T00:00:00,173,Aruba,ARU,82,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
69,2013-10-17T00:00:00,173,Aruba,ARU,82,114.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-32.0
70,2013-09-12T00:00:00,165,Aruba,ARU,114,114.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
71,2013-07-04T00:00:00,153,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
72,2013-06-06T00:00:00,150,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
73,2013-05-09T00:00:00,152,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
74,2013-08-08T00:00:00,167,Aruba,ARU,114,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,-49.0
75,2013-02-14T00:00:00,152,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
76,2013-03-14T00:00:00,149,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
77,2013-04-11T00:00:00,153,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
78,2013-01-17T00:00:00,151,Aruba,ARU,163,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aru,0.0
