,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,26,Austria,AUT,1507,1520.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-13.0
1,2018-09-20T00:00:00,24,Austria,AUT,1499,1502.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-3.0
2,2019-04-04T00:00:00,34,Austria,AUT,1479,1509.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-30.0
3,2018-12-20T00:00:00,22,Austria,AUT,1509,1509.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
4,2019-09-19T00:00:00,27,Austria,AUT,1503,1498.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,5.0
5,2019-07-25T00:00:00,27,Austria,AUT,1498,1498.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
6,2019-10-24T00:00:00,25,Austria,AUT,1520,1503.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,17.0
7,2018-03-15T00:00:00,28,Austria,AUT,826,815.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,11.0
8,2018-10-25T00:00:00,24,Austria,AUT,1502,1499.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,3.0
9,2018-08-16T00:00:00,23,Austria,AUT,1502,1504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-2.0
10,2019-02-07T00:00:00,23,Austria,AUT,1509,1509.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
11,2018-07-01T00:00:00,27,Austria,AUT,1899,1900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-1.0
12,2019-06-14T00:00:00,26,Austria,AUT,1498,1479.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,19.0
13,2017-12-21T00:00:00,29,Austria,AUT,815,815.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
14,2018-06-07T00:00:00,26,Austria,AUT,845,841.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,4.0
15,2017-11-23T00:00:00,29,Austria,AUT,815,745.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,70.0
16,2018-05-17T00:00:00,26,Austria,AUT,841,841.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
17,2018-11-29T00:00:00,22,Austria,AUT,1509,1502.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,7.0
18,2018-02-15T00:00:00,29,Austria,AUT,815,815.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
19,2018-01-18T00:00:00,29,Austria,AUT,815,815.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
20,2018-04-12T00:00:00,26,Austria,AUT,841,826.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,15.0
21,2017-10-16T00:00:00,39,Austria,AUT,745,632.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,113.0
22,2017-09-14T00:00:00,57,Austria,AUT,632,723.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-91.0
23,2017-06-01T00:00:00,35,Austria,AUT,750,762.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-12.0
24,2017-07-06T00:00:00,37,Austria,AUT,723,750.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-27.0
25,2017-08-10T00:00:00,37,Austria,AUT,723,723.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
26,2017-03-09T00:00:00,34,Austria,AUT,793,783.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,10.0
27,2017-05-04T00:00:00,36,Austria,AUT,762,762.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
28,2017-04-06T00:00:00,36,Austria,AUT,762,793.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-31.0
29,2017-02-09T00:00:00,34,Austria,AUT,783,773.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,10.0
30,2017-01-12T00:00:00,31,Austria,AUT,773,773.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
31,2016-12-22T00:00:00,31,Austria,AUT,773,773.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
32,2016-10-20T00:00:00,30,Austria,AUT,792,839.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-47.0
33,2016-11-24T00:00:00,31,Austria,AUT,773,792.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-19.0
34,2016-09-15T00:00:00,26,Austria,AUT,839,875.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-36.0
35,2016-08-11T00:00:00,22,Austria,AUT,875,875.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
36,2016-05-05T00:00:00,11,Austria,AUT,1067,1067.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
37,2016-07-14T00:00:00,21,Austria,AUT,875,1077.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-202.0
38,2016-03-03T00:00:00,10,Austria,AUT,1095,1091.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,4.0
39,2016-04-07T00:00:00,11,Austria,AUT,1067,1095.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-28.0
40,2016-02-04T00:00:00,10,Austria,AUT,1091,1091.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
41,2016-06-02T00:00:00,10,Austria,AUT,1077,1067.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,10.0
42,2016-01-07T00:00:00,10,Austria,AUT,1091,1091.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
43,2015-12-03T00:00:00,10,Austria,AUT,1091,1130.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-39.0
44,2015-11-05T00:00:00,10,Austria,AUT,1130,1100.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,30.0
45,2015-10-01T00:00:00,11,Austria,AUT,1100,1038.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,62.0
46,2015-09-03T00:00:00,13,Austria,AUT,1038,1016.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,22.0
47,2015-08-06T00:00:00,14,Austria,AUT,1016,1016.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
48,2015-05-07T00:00:00,25,Austria,AUT,891,891.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
49,2015-07-09T00:00:00,15,Austria,AUT,1016,946.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,70.0
50,2015-03-12T00:00:00,23,Austria,AUT,916,881.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,35.0
51,2015-04-09T00:00:00,25,Austria,AUT,891,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-25.0
52,2015-06-04T00:00:00,20,Austria,AUT,946,891.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,55.0
53,2015-02-12T00:00:00,23,Austria,AUT,881,863.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,18.0
54,2015-01-08T00:00:00,23,Austria,AUT,863,863.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
55,2014-10-23T00:00:00,29,Austria,AUT,810,622.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,188.0
56,2014-12-18T00:00:00,23,Austria,AUT,863,863.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
57,2014-11-27T00:00:00,23,Austria,AUT,863,810.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,53.0
58,2014-09-18T00:00:00,39,Austria,AUT,622,624.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-2.0
59,2014-08-14T00:00:00,40,Austria,AUT,624,614.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,10.0
60,2014-07-17T00:00:00,43,Austria,AUT,614,643.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-29.0
61,2014-05-08T00:00:00,40,Austria,AUT,673,673.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
62,2014-06-05T00:00:00,42,Austria,AUT,643,673.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-30.0
63,2014-04-10T00:00:00,40,Austria,AUT,673,641.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,32.0
64,2014-03-13T00:00:00,44,Austria,AUT,641,678.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-37.0
65,2013-12-19T00:00:00,46,Austria,AUT,648,648.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
66,2014-02-13T00:00:00,43,Austria,AUT,678,648.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,30.0
67,2014-01-16T00:00:00,47,Austria,AUT,648,648.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,0.0
68,2013-11-28T00:00:00,46,Austria,AUT,648,596.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,52.0
69,2013-10-17T00:00:00,53,Austria,AUT,596,639.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,-43.0
70,2013-09-12T00:00:00,47,Austria,AUT,639,595.0,https://api.fifa.com/api/v1/picture/flags-sq-4/aut,44.0
