,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,162,Barbados,BRB,1011,1001.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,10.0
1,2018-09-20T00:00:00,162,Barbados,BRB,1003,1005.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-2.0
2,2019-04-04T00:00:00,161,Barbados,BRB,996,998.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-2.0
3,2018-12-20T00:00:00,162,Barbados,BRB,998,1005.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-7.0
4,2019-09-19T00:00:00,170,Barbados,BRB,981,996.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-15.0
5,2019-07-25T00:00:00,163,Barbados,BRB,996,996.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
6,2019-10-24T00:00:00,160,Barbados,BRB,1001,981.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,20.0
7,2018-03-15T00:00:00,152,Barbados,BRB,151,148.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,3.0
8,2018-10-25T00:00:00,162,Barbados,BRB,1000,1003.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-3.0
9,2018-08-16T00:00:00,160,Barbados,BRB,1005,1008.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-3.0
10,2019-02-07T00:00:00,162,Barbados,BRB,998,998.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
11,2018-07-01T00:00:00,162,Barbados,BRB,1059,1059.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
12,2019-06-14T00:00:00,164,Barbados,BRB,996,996.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
13,2017-12-21T00:00:00,155,Barbados,BRB,144,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
14,2018-06-07T00:00:00,160,Barbados,BRB,127,129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-2.0
15,2017-11-23T00:00:00,154,Barbados,BRB,144,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,16.0
16,2018-05-17T00:00:00,158,Barbados,BRB,129,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,11.0
17,2018-11-29T00:00:00,159,Barbados,BRB,1005,1000.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,5.0
18,2018-02-15T00:00:00,153,Barbados,BRB,148,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,4.0
19,2018-01-18T00:00:00,155,Barbados,BRB,144,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
20,2018-04-12T00:00:00,160,Barbados,BRB,118,151.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-33.0
21,2017-10-16T00:00:00,160,Barbados,BRB,128,115.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,13.0
22,2017-09-14T00:00:00,170,Barbados,BRB,115,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-3.0
23,2017-06-01T00:00:00,169,Barbados,BRB,116,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,6.0
24,2017-07-06T00:00:00,181,Barbados,BRB,84,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-32.0
25,2017-08-10T00:00:00,168,Barbados,BRB,118,84.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,34.0
26,2017-03-09T00:00:00,154,Barbados,BRB,174,170.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,4.0
27,2017-05-04T00:00:00,173,Barbados,BRB,110,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,0.0
28,2017-04-06T00:00:00,172,Barbados,BRB,110,174.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,-64.0
29,2017-02-09T00:00:00,156,Barbados,BRB,170,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,7.0
