,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,87,Belarus,BLR,1280,1286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-6.0
1,2018-09-20T00:00:00,80,Belarus,BLR,1304,1306.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-2.0
2,2019-04-04T00:00:00,81,Belarus,BLR,1301,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-16.0
3,2018-12-20T00:00:00,76,Belarus,BLR,1317,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
4,2019-09-19T00:00:00,82,Belarus,BLR,1294,1286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,8.0
5,2019-07-25T00:00:00,84,Belarus,BLR,1286,1286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
6,2019-10-24T00:00:00,86,Belarus,BLR,1286,1294.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-8.0
7,2018-03-15T00:00:00,93,Belarus,BLR,376,372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,4.0
8,2018-10-25T00:00:00,78,Belarus,BLR,1307,1304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,3.0
9,2018-08-16T00:00:00,78,Belarus,BLR,1306,1308.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-2.0
10,2019-02-07T00:00:00,78,Belarus,BLR,1317,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
11,2018-07-01T00:00:00,79,Belarus,BLR,1579,1580.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-1.0
12,2019-06-14T00:00:00,82,Belarus,BLR,1286,1301.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-15.0
13,2017-12-21T00:00:00,92,Belarus,BLR,372,372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
14,2018-06-07T00:00:00,78,Belarus,BLR,417,410.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,7.0
15,2017-11-23T00:00:00,92,Belarus,BLR,372,391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,-19.0
16,2018-05-17T00:00:00,79,Belarus,BLR,410,410.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
17,2018-11-29T00:00:00,76,Belarus,BLR,1317,1307.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,10.0
18,2018-02-15T00:00:00,93,Belarus,BLR,372,372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
19,2018-01-18T00:00:00,93,Belarus,BLR,372,372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,0.0
