,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,1,Belgium,BEL,1765,1755.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,10.0
1,2018-09-20T00:00:00,1,Belgium,BEL,1729,1723.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,6.0
2,2019-04-04T00:00:00,1,Belgium,BEL,1737,1727.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,10.0
3,2018-12-20T00:00:00,1,Belgium,BEL,1727,1727.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
4,2019-09-19T00:00:00,1,Belgium,BEL,1752,1746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,6.0
5,2019-07-25T00:00:00,1,Belgium,BEL,1746,1746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
6,2019-10-24T00:00:00,1,Belgium,BEL,1755,1752.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,3.0
7,2018-03-15T00:00:00,5,Belgium,BEL,1337,1325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,12.0
8,2018-10-25T00:00:00,1,Belgium,BEL,1733,1729.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,4.0
9,2018-08-16T00:00:00,2,Belgium,BEL,1723,1592.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,131.0
10,2019-02-07T00:00:00,1,Belgium,BEL,1727,1727.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
11,2018-07-01T00:00:00,5,Belgium,BEL,2124,2098.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,26.0
12,2019-06-14T00:00:00,1,Belgium,BEL,1746,1737.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,9.0
13,2017-12-21T00:00:00,5,Belgium,BEL,1325,1325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
14,2018-06-07T00:00:00,3,Belgium,BEL,1298,1346.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,-48.0
15,2017-11-23T00:00:00,5,Belgium,BEL,1325,1333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,-8.0
16,2018-05-17T00:00:00,3,Belgium,BEL,1346,1346.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
17,2018-11-29T00:00:00,1,Belgium,BEL,1727,1733.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,-6.0
18,2018-02-15T00:00:00,5,Belgium,BEL,1325,1325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
19,2018-01-18T00:00:00,5,Belgium,BEL,1325,1325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
20,2018-04-12T00:00:00,3,Belgium,BEL,1346,1337.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,9.0
21,2017-10-16T00:00:00,5,Belgium,BEL,1333,1265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,68.0
22,2017-09-14T00:00:00,5,Belgium,BEL,1265,1194.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,71.0
23,2017-06-01T00:00:00,7,Belgium,BEL,1292,1281.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,11.0
24,2017-07-06T00:00:00,10,Belgium,BEL,1194,1292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,-98.0
25,2017-08-10T00:00:00,9,Belgium,BEL,1194,1194.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
26,2017-03-09T00:00:00,5,Belgium,BEL,1379,1371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,8.0
27,2017-05-04T00:00:00,7,Belgium,BEL,1281,1281.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
28,2017-04-06T00:00:00,7,Belgium,BEL,1281,1379.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,-98.0
29,2017-02-09T00:00:00,5,Belgium,BEL,1371,1368.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,3.0
30,2017-01-12T00:00:00,5,Belgium,BEL,1368,1368.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,0.0
