,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,151,Burundi,BDI,1049,1063.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-14.0
1,2018-09-20T00:00:00,148,Burundi,BDI,1061,1056.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,5.0
2,2019-04-04T00:00:00,136,Burundi,BDI,1089,1085.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,4.0
3,2018-12-20T00:00:00,139,Burundi,BDI,1085,1085.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
4,2019-09-19T00:00:00,144,Burundi,BDI,1065,1061.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,4.0
5,2019-07-25T00:00:00,148,Burundi,BDI,1061,1092.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-31.0
6,2019-10-24T00:00:00,143,Burundi,BDI,1063,1065.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-2.0
7,2018-03-15T00:00:00,142,Burundi,BDI,203,200.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,3.0
8,2018-10-25T00:00:00,142,Burundi,BDI,1074,1061.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,13.0
9,2018-08-16T00:00:00,148,Burundi,BDI,1056,1056.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
10,2019-02-07T00:00:00,138,Burundi,BDI,1085,1085.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
11,2018-07-01T00:00:00,145,Burundi,BDI,1189,1189.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
12,2019-06-14T00:00:00,134,Burundi,BDI,1092,1089.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,3.0
13,2017-12-21T00:00:00,142,Burundi,BDI,197,216.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-19.0
14,2018-06-07T00:00:00,148,Burundi,BDI,174,188.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-14.0
15,2017-11-23T00:00:00,138,Burundi,BDI,216,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-17.0
16,2018-05-17T00:00:00,146,Burundi,BDI,188,188.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
17,2018-11-29T00:00:00,139,Burundi,BDI,1085,1074.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,11.0
18,2018-02-15T00:00:00,143,Burundi,BDI,200,197.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,3.0
19,2018-01-18T00:00:00,143,Burundi,BDI,197,197.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
20,2018-04-12T00:00:00,145,Burundi,BDI,188,203.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-15.0
21,2017-10-16T00:00:00,129,Burundi,BDI,233,245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-12.0
22,2017-09-14T00:00:00,129,Burundi,BDI,245,235.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,10.0
23,2017-06-01T00:00:00,148,Burundi,BDI,179,192.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-13.0
24,2017-07-06T00:00:00,121,Burundi,BDI,262,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,83.0
25,2017-08-10T00:00:00,132,Burundi,BDI,235,262.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-27.0
26,2017-03-09T00:00:00,139,Burundi,BDI,215,218.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,-3.0
27,2017-05-04T00:00:00,141,Burundi,BDI,192,192.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bdi,0.0
