,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,173,Cambodia,CAM,964,974.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-10.0
1,2018-09-20T00:00:00,169,Cambodia,CAM,979,984.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-5.0
2,2019-04-04T00:00:00,173,Cambodia,CAM,967,970.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-3.0
3,2018-12-20T00:00:00,172,Cambodia,CAM,970,970.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
4,2019-09-19T00:00:00,169,Cambodia,CAM,982,988.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-6.0
5,2019-07-25T00:00:00,170,Cambodia,CAM,988,988.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
6,2019-10-24T00:00:00,172,Cambodia,CAM,974,982.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-8.0
7,2018-03-15T00:00:00,171,Cambodia,CAM,103,103.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
8,2018-10-25T00:00:00,170,Cambodia,CAM,973,979.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-6.0
9,2018-08-16T00:00:00,166,Cambodia,CAM,984,984.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
10,2019-02-07T00:00:00,172,Cambodia,CAM,970,970.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
11,2018-07-01T00:00:00,175,Cambodia,CAM,992,992.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
12,2019-06-14T00:00:00,169,Cambodia,CAM,988,967.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,21.0
13,2017-12-21T00:00:00,173,Cambodia,CAM,100,98.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,2.0
14,2018-06-07T00:00:00,166,Cambodia,CAM,103,105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-2.0
15,2017-11-23T00:00:00,170,Cambodia,CAM,98,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-12.0
16,2018-05-17T00:00:00,170,Cambodia,CAM,105,105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
17,2018-11-29T00:00:00,172,Cambodia,CAM,970,973.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-3.0
18,2018-02-15T00:00:00,172,Cambodia,CAM,103,103.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
19,2018-01-18T00:00:00,172,Cambodia,CAM,103,100.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,3.0
20,2018-04-12T00:00:00,168,Cambodia,CAM,105,103.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,2.0
21,2017-10-16T00:00:00,170,Cambodia,CAM,110,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
22,2017-09-14T00:00:00,172,Cambodia,CAM,110,109.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,1.0
23,2017-06-01T00:00:00,174,Cambodia,CAM,107,108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-1.0
24,2017-07-06T00:00:00,173,Cambodia,CAM,111,107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,4.0
25,2017-08-10T00:00:00,176,Cambodia,CAM,109,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-2.0
26,2017-03-09T00:00:00,173,Cambodia,CAM,116,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
27,2017-05-04T00:00:00,175,Cambodia,CAM,108,108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
28,2017-04-06T00:00:00,173,Cambodia,CAM,108,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-8.0
29,2017-02-09T00:00:00,175,Cambodia,CAM,116,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-5.0
30,2017-01-12T00:00:00,172,Cambodia,CAM,121,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,3.0
31,2016-12-22T00:00:00,173,Cambodia,CAM,118,129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,-11.0
32,2016-10-20T00:00:00,167,Cambodia,CAM,123,103.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,20.0
33,2016-11-24T00:00:00,168,Cambodia,CAM,129,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,6.0
34,2016-09-15T00:00:00,173,Cambodia,CAM,103,100.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,3.0
35,2016-08-11T00:00:00,180,Cambodia,CAM,100,95.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,5.0
36,2016-05-05T00:00:00,183,Cambodia,CAM,68,68.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,0.0
