,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,53,Cameroon,CMR,1413,1409.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,4.0
1,2018-09-20T00:00:00,50,Cameroon,CMR,1408,1416.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-8.0
2,2019-04-04T00:00:00,54,Cameroon,CMR,1399,1394.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,5.0
3,2018-12-20T00:00:00,55,Cameroon,CMR,1394,1394.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
4,2019-09-19T00:00:00,53,Cameroon,CMR,1409,1409.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
5,2019-07-25T00:00:00,53,Cameroon,CMR,1409,1404.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,5.0
6,2019-10-24T00:00:00,52,Cameroon,CMR,1409,1409.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
7,2018-03-15T00:00:00,51,Cameroon,CMR,611,608.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,3.0
8,2018-10-25T00:00:00,51,Cameroon,CMR,1408,1408.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
9,2018-08-16T00:00:00,47,Cameroon,CMR,1416,1416.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
10,2019-02-07T00:00:00,56,Cameroon,CMR,1394,1394.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
11,2018-07-01T00:00:00,44,Cameroon,CMR,1790,1790.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
12,2019-06-14T00:00:00,51,Cameroon,CMR,1404,1399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,5.0
13,2017-12-21T00:00:00,45,Cameroon,CMR,696,696.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
14,2018-06-07T00:00:00,49,Cameroon,CMR,614,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,11.0
15,2017-11-23T00:00:00,45,Cameroon,CMR,696,718.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-22.0
16,2018-05-17T00:00:00,50,Cameroon,CMR,603,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
17,2018-11-29T00:00:00,55,Cameroon,CMR,1394,1408.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-14.0
18,2018-02-15T00:00:00,51,Cameroon,CMR,608,707.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-99.0
19,2018-01-18T00:00:00,45,Cameroon,CMR,707,696.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,11.0
20,2018-04-12T00:00:00,51,Cameroon,CMR,603,611.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-8.0
21,2017-10-16T00:00:00,42,Cameroon,CMR,718,689.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,29.0
22,2017-09-14T00:00:00,45,Cameroon,CMR,689,737.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-48.0
23,2017-06-01T00:00:00,32,Cameroon,CMR,811,779.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,32.0
24,2017-07-06T00:00:00,36,Cameroon,CMR,738,811.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-73.0
25,2017-08-10T00:00:00,35,Cameroon,CMR,737,738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-1.0
26,2017-03-09T00:00:00,32,Cameroon,CMR,795,796.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-1.0
27,2017-05-04T00:00:00,33,Cameroon,CMR,779,779.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
28,2017-04-06T00:00:00,33,Cameroon,CMR,779,795.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-16.0
29,2017-02-09T00:00:00,33,Cameroon,CMR,796,552.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,244.0
30,2017-01-12T00:00:00,62,Cameroon,CMR,552,534.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,18.0
31,2016-12-22T00:00:00,65,Cameroon,CMR,534,534.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
32,2016-10-20T00:00:00,59,Cameroon,CMR,567,565.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,2.0
33,2016-11-24T00:00:00,65,Cameroon,CMR,534,567.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-33.0
34,2016-09-15T00:00:00,59,Cameroon,CMR,565,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-6.0
35,2016-08-11T00:00:00,54,Cameroon,CMR,571,575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-4.0
36,2016-05-05T00:00:00,63,Cameroon,CMR,556,556.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
37,2016-07-14T00:00:00,53,Cameroon,CMR,575,566.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,9.0
38,2016-03-03T00:00:00,61,Cameroon,CMR,551,547.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,4.0
39,2016-04-07T00:00:00,63,Cameroon,CMR,556,551.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,5.0
40,2016-02-04T00:00:00,62,Cameroon,CMR,547,586.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-39.0
41,2016-06-02T00:00:00,58,Cameroon,CMR,566,556.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,10.0
42,2016-01-07T00:00:00,57,Cameroon,CMR,586,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,3.0
43,2015-12-03T00:00:00,59,Cameroon,CMR,583,597.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-14.0
44,2015-11-05T00:00:00,51,Cameroon,CMR,597,640.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-43.0
45,2015-10-01T00:00:00,48,Cameroon,CMR,640,671.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-31.0
46,2015-09-03T00:00:00,42,Cameroon,CMR,671,667.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,4.0
47,2015-08-06T00:00:00,42,Cameroon,CMR,667,672.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-5.0
48,2015-05-07T00:00:00,48,Cameroon,CMR,627,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
49,2015-07-09T00:00:00,42,Cameroon,CMR,672,641.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,31.0
50,2015-03-12T00:00:00,49,Cameroon,CMR,646,646.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
51,2015-04-09T00:00:00,48,Cameroon,CMR,627,646.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-19.0
52,2015-06-04T00:00:00,49,Cameroon,CMR,641,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,14.0
53,2015-02-12T00:00:00,45,Cameroon,CMR,646,665.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-19.0
54,2015-01-08T00:00:00,42,Cameroon,CMR,665,665.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
55,2014-10-23T00:00:00,40,Cameroon,CMR,637,601.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,36.0
56,2014-12-18T00:00:00,42,Cameroon,CMR,665,664.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,1.0
57,2014-11-27T00:00:00,41,Cameroon,CMR,664,637.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,27.0
58,2014-09-18T00:00:00,42,Cameroon,CMR,601,507.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,94.0
59,2014-08-14T00:00:00,54,Cameroon,CMR,507,520.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-13.0
60,2014-07-17T00:00:00,53,Cameroon,CMR,520,558.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-38.0
61,2014-05-08T00:00:00,50,Cameroon,CMR,583,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,0.0
62,2014-06-05T00:00:00,56,Cameroon,CMR,558,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-25.0
