,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,73,Canada,CAN,1331,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,-8.0
1,2018-09-20T00:00:00,79,Canada,CAN,1307,1304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,3.0
2,2019-04-04T00:00:00,78,Canada,CAN,1314,1314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
3,2018-12-20T00:00:00,78,Canada,CAN,1314,1314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
4,2019-09-19T00:00:00,75,Canada,CAN,1322,1312.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,10.0
5,2019-07-25T00:00:00,78,Canada,CAN,1312,1314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,-2.0
6,2019-10-24T00:00:00,69,Canada,CAN,1339,1322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,17.0
7,2018-03-15T00:00:00,90,Canada,CAN,388,388.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
8,2018-10-25T00:00:00,76,Canada,CAN,1310,1307.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,3.0
9,2018-08-16T00:00:00,79,Canada,CAN,1304,1304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
10,2019-02-07T00:00:00,79,Canada,CAN,1314,1314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
11,2018-07-01T00:00:00,76,Canada,CAN,1593,1593.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
12,2019-06-14T00:00:00,78,Canada,CAN,1314,1314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
13,2017-12-21T00:00:00,94,Canada,CAN,369,369.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
14,2018-06-07T00:00:00,79,Canada,CAN,411,407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,4.0
15,2017-11-23T00:00:00,94,Canada,CAN,369,361.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,8.0
16,2018-05-17T00:00:00,80,Canada,CAN,407,407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,0.0
17,2018-11-29T00:00:00,78,Canada,CAN,1314,1310.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,4.0
18,2018-02-15T00:00:00,89,Canada,CAN,388,371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,17.0
19,2018-01-18T00:00:00,95,Canada,CAN,371,369.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,2.0
20,2018-04-12T00:00:00,80,Canada,CAN,407,388.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,19.0
21,2017-10-16T00:00:00,96,Canada,CAN,361,368.0,https://api.fifa.com/api/v1/picture/flags-sq-4/can,-7.0
