,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,75,China PR,CHN,1325,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-14.0
1,2018-09-20T00:00:00,76,China PR,CHN,1313,1320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-7.0
2,2019-04-04T00:00:00,74,China PR,CHN,1327,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-12.0
3,2018-12-20T00:00:00,76,China PR,CHN,1317,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
4,2019-09-19T00:00:00,68,China PR,CHN,1340,1333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,7.0
5,2019-07-25T00:00:00,71,China PR,CHN,1333,1333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
6,2019-10-24T00:00:00,69,China PR,CHN,1339,1340.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-1.0
7,2018-03-15T00:00:00,65,China PR,CHN,508,504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,4.0
8,2018-10-25T00:00:00,75,China PR,CHN,1317,1313.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,4.0
9,2018-08-16T00:00:00,75,China PR,CHN,1320,1320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
10,2019-02-07T00:00:00,72,China PR,CHN,1339,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,22.0
11,2018-07-01T00:00:00,70,China PR,CHN,1625,1625.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
12,2019-06-14T00:00:00,73,China PR,CHN,1333,1327.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,6.0
13,2017-12-21T00:00:00,71,China PR,CHN,498,561.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-63.0
14,2018-06-07T00:00:00,75,China PR,CHN,423,431.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-8.0
15,2017-11-23T00:00:00,60,China PR,CHN,561,626.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-65.0
16,2018-05-17T00:00:00,73,China PR,CHN,431,431.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
17,2018-11-29T00:00:00,76,China PR,CHN,1317,1317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
18,2018-02-15T00:00:00,68,China PR,CHN,504,504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
19,2018-01-18T00:00:00,70,China PR,CHN,504,498.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,6.0
20,2018-04-12T00:00:00,73,China PR,CHN,431,508.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-77.0
21,2017-10-16T00:00:00,57,China PR,CHN,626,564.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,62.0
22,2017-09-14T00:00:00,62,China PR,CHN,564,447.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,117.0
23,2017-06-01T00:00:00,82,China PR,CHN,425,425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
24,2017-07-06T00:00:00,77,China PR,CHN,441,425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,16.0
25,2017-08-10T00:00:00,77,China PR,CHN,447,441.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,6.0
26,2017-03-09T00:00:00,86,China PR,CHN,407,404.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,3.0
27,2017-05-04T00:00:00,81,China PR,CHN,425,425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
28,2017-04-06T00:00:00,81,China PR,CHN,425,407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,18.0
29,2017-02-09T00:00:00,86,China PR,CHN,404,424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-20.0
30,2017-01-12T00:00:00,81,China PR,CHN,424,427.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-3.0
31,2016-12-22T00:00:00,82,China PR,CHN,427,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,4.0
32,2016-10-20T00:00:00,84,China PR,CHN,419,445.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-26.0
33,2016-11-24T00:00:00,83,China PR,CHN,423,419.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,4.0
34,2016-09-15T00:00:00,78,China PR,CHN,445,445.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
35,2016-08-11T00:00:00,78,China PR,CHN,445,422.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,23.0
36,2016-05-05T00:00:00,81,China PR,CHN,423,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
37,2016-07-14T00:00:00,81,China PR,CHN,422,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-1.0
38,2016-03-03T00:00:00,96,China PR,CHN,351,365.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-14.0
39,2016-04-07T00:00:00,81,China PR,CHN,423,351.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,72.0
40,2016-02-04T00:00:00,93,China PR,CHN,365,413.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-48.0
41,2016-06-02T00:00:00,81,China PR,CHN,423,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
42,2016-01-07T00:00:00,82,China PR,CHN,413,405.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,8.0
43,2015-12-03T00:00:00,84,China PR,CHN,405,403.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,2.0
44,2015-11-05T00:00:00,84,China PR,CHN,403,405.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-2.0
45,2015-10-01T00:00:00,81,China PR,CHN,405,393.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,12.0
46,2015-09-03T00:00:00,84,China PR,CHN,393,416.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-23.0
47,2015-08-06T00:00:00,79,China PR,CHN,416,436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-20.0
48,2015-05-07T00:00:00,82,China PR,CHN,408,408.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,0.0
49,2015-07-09T00:00:00,77,China PR,CHN,436,409.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,27.0
50,2015-03-12T00:00:00,83,China PR,CHN,423,429.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,-6.0
