,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,138,Chinese Taipei,TPE,1078,1102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-24.0
1,2018-09-20T00:00:00,123,Chinese Taipei,TPE,1139,1135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,4.0
2,2019-04-04T00:00:00,125,Chinese Taipei,TPE,1128,1134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-6.0
3,2018-12-20T00:00:00,124,Chinese Taipei,TPE,1134,1134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
4,2019-09-19T00:00:00,129,Chinese Taipei,TPE,1107,1132.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-25.0
5,2019-07-25T00:00:00,125,Chinese Taipei,TPE,1132,1132.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
6,2019-10-24T00:00:00,130,Chinese Taipei,TPE,1102,1107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-5.0
7,2018-03-15T00:00:00,134,Chinese Taipei,TPE,225,223.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,2.0
8,2018-10-25T00:00:00,124,Chinese Taipei,TPE,1139,1139.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
9,2018-08-16T00:00:00,125,Chinese Taipei,TPE,1135,1140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-5.0
10,2019-02-07T00:00:00,124,Chinese Taipei,TPE,1134,1134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
11,2018-07-01T00:00:00,143,Chinese Taipei,TPE,1205,1208.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-3.0
12,2019-06-14T00:00:00,125,Chinese Taipei,TPE,1132,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,4.0
13,2017-12-21T00:00:00,135,Chinese Taipei,TPE,223,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,2.0
14,2018-06-07T00:00:00,123,Chinese Taipei,TPE,247,263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-16.0
15,2017-11-23T00:00:00,135,Chinese Taipei,TPE,221,200.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,21.0
16,2018-05-17T00:00:00,121,Chinese Taipei,TPE,263,263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
17,2018-11-29T00:00:00,124,Chinese Taipei,TPE,1134,1139.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-5.0
18,2018-02-15T00:00:00,134,Chinese Taipei,TPE,223,223.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
19,2018-01-18T00:00:00,134,Chinese Taipei,TPE,223,223.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
20,2018-04-12T00:00:00,121,Chinese Taipei,TPE,263,225.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,38.0
21,2017-10-16T00:00:00,143,Chinese Taipei,TPE,200,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,25.0
22,2017-09-14T00:00:00,151,Chinese Taipei,TPE,175,185.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-10.0
23,2017-06-01T00:00:00,160,Chinese Taipei,TPE,136,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
24,2017-07-06T00:00:00,147,Chinese Taipei,TPE,185,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,49.0
25,2017-08-10T00:00:00,148,Chinese Taipei,TPE,185,185.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
26,2017-03-09T00:00:00,159,Chinese Taipei,TPE,149,153.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-4.0
27,2017-05-04T00:00:00,161,Chinese Taipei,TPE,136,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
28,2017-04-06T00:00:00,161,Chinese Taipei,TPE,136,149.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-13.0
29,2017-02-09T00:00:00,157,Chinese Taipei,TPE,153,153.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
30,2017-01-12T00:00:00,157,Chinese Taipei,TPE,153,153.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
31,2016-12-22T00:00:00,157,Chinese Taipei,TPE,153,149.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,4.0
32,2016-10-20T00:00:00,161,Chinese Taipei,TPE,145,97.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,48.0
33,2016-11-24T00:00:00,158,Chinese Taipei,TPE,149,145.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,4.0
34,2016-09-15T00:00:00,178,Chinese Taipei,TPE,97,85.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,12.0
35,2016-08-11T00:00:00,183,Chinese Taipei,TPE,85,85.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
36,2016-05-05T00:00:00,182,Chinese Taipei,TPE,70,70.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
37,2016-07-14T00:00:00,183,Chinese Taipei,TPE,85,56.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,29.0
38,2016-03-03T00:00:00,181,Chinese Taipei,TPE,80,80.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
39,2016-04-07T00:00:00,181,Chinese Taipei,TPE,70,80.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-10.0
40,2016-02-04T00:00:00,181,Chinese Taipei,TPE,80,80.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
41,2016-06-02T00:00:00,191,Chinese Taipei,TPE,56,70.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-14.0
42,2016-01-07T00:00:00,182,Chinese Taipei,TPE,80,78.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,2.0
43,2015-12-03T00:00:00,182,Chinese Taipei,TPE,78,71.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,7.0
44,2015-11-05T00:00:00,187,Chinese Taipei,TPE,71,69.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,2.0
45,2015-10-01T00:00:00,183,Chinese Taipei,TPE,69,72.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-3.0
46,2015-09-03T00:00:00,179,Chinese Taipei,TPE,72,72.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
47,2015-08-06T00:00:00,179,Chinese Taipei,TPE,72,72.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
48,2015-05-07T00:00:00,179,Chinese Taipei,TPE,86,86.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
49,2015-07-09T00:00:00,179,Chinese Taipei,TPE,72,86.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-14.0
50,2015-03-12T00:00:00,188,Chinese Taipei,TPE,43,53.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-10.0
51,2015-04-09T00:00:00,179,Chinese Taipei,TPE,86,43.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,43.0
52,2015-06-04T00:00:00,178,Chinese Taipei,TPE,86,86.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
53,2015-02-12T00:00:00,184,Chinese Taipei,TPE,53,54.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-1.0
54,2015-01-08T00:00:00,182,Chinese Taipei,TPE,54,54.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
55,2014-10-23T00:00:00,188,Chinese Taipei,TPE,39,70.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-31.0
56,2014-12-18T00:00:00,182,Chinese Taipei,TPE,54,47.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,7.0
57,2014-11-27T00:00:00,188,Chinese Taipei,TPE,47,39.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,8.0
58,2014-09-18T00:00:00,178,Chinese Taipei,TPE,70,70.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,0.0
59,2014-08-14T00:00:00,179,Chinese Taipei,TPE,70,71.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tpe,-1.0
