,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,10,Colombia,COL,1622,1615.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,7.0
1,2018-09-20T00:00:00,14,Colombia,COL,1567,1563.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,4.0
2,2019-04-04T00:00:00,12,Colombia,COL,1573,1575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-2.0
3,2018-12-20T00:00:00,12,Colombia,COL,1575,1575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
4,2019-09-19T00:00:00,9,Colombia,COL,1622,1622.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
5,2019-07-25T00:00:00,8,Colombia,COL,1622,1580.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,42.0
6,2019-10-24T00:00:00,10,Colombia,COL,1615,1622.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-7.0
7,2018-03-15T00:00:00,13,Colombia,COL,1106,1095.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,11.0
8,2018-10-25T00:00:00,11,Colombia,COL,1575,1567.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,8.0
9,2018-08-16T00:00:00,14,Colombia,COL,1563,1544.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,19.0
10,2019-02-07T00:00:00,12,Colombia,COL,1575,1575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
11,2018-07-01T00:00:00,17,Colombia,COL,1998,2005.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-7.0
12,2019-06-14T00:00:00,13,Colombia,COL,1580,1573.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,7.0
13,2017-12-21T00:00:00,13,Colombia,COL,1078,1078.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
14,2018-06-07T00:00:00,16,Colombia,COL,986,989.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-3.0
15,2017-11-23T00:00:00,13,Colombia,COL,1078,1095.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-17.0
16,2018-05-17T00:00:00,16,Colombia,COL,989,989.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
17,2018-11-29T00:00:00,12,Colombia,COL,1575,1575.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
18,2018-02-15T00:00:00,13,Colombia,COL,1095,1078.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,17.0
19,2018-01-18T00:00:00,13,Colombia,COL,1078,1078.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
20,2018-04-12T00:00:00,16,Colombia,COL,989,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-117.0
21,2017-10-16T00:00:00,13,Colombia,COL,1095,1191.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-96.0
22,2017-09-14T00:00:00,10,Colombia,COL,1191,1208.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-17.0
23,2017-06-01T00:00:00,5,Colombia,COL,1366,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,18.0
24,2017-07-06T00:00:00,8,Colombia,COL,1208,1366.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-158.0
25,2017-08-10T00:00:00,8,Colombia,COL,1208,1208.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
26,2017-03-09T00:00:00,7,Colombia,COL,1312,1304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,8.0
27,2017-05-04T00:00:00,5,Colombia,COL,1348,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
28,2017-04-06T00:00:00,5,Colombia,COL,1348,1312.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,36.0
29,2017-02-09T00:00:00,7,Colombia,COL,1304,1345.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-41.0
30,2017-01-12T00:00:00,6,Colombia,COL,1345,1345.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
31,2016-12-22T00:00:00,6,Colombia,COL,1345,1345.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
32,2016-10-20T00:00:00,5,Colombia,COL,1361,1323.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,38.0
33,2016-11-24T00:00:00,6,Colombia,COL,1345,1361.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-16.0
34,2016-09-15T00:00:00,4,Colombia,COL,1323,1331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-8.0
35,2016-08-11T00:00:00,3,Colombia,COL,1331,1331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
36,2016-05-05T00:00:00,4,Colombia,COL,1337,1337.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
37,2016-07-14T00:00:00,3,Colombia,COL,1331,1328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,3.0
38,2016-03-03T00:00:00,8,Colombia,COL,1215,1211.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,4.0
39,2016-04-07T00:00:00,4,Colombia,COL,1337,1215.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,122.0
40,2016-02-04T00:00:00,8,Colombia,COL,1211,1211.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
41,2016-06-02T00:00:00,3,Colombia,COL,1328,1337.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-9.0
42,2016-01-07T00:00:00,8,Colombia,COL,1211,1211.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
43,2015-12-03T00:00:00,8,Colombia,COL,1211,1233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,-22.0
