,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,56,Congo DR,COD,1389,1399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-10.0
1,2018-09-20T00:00:00,40,Congo DR,COD,1447,1456.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-9.0
2,2019-04-04T00:00:00,46,Congo DR,COD,1425,1420.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,5.0
3,2018-12-20T00:00:00,49,Congo DR,COD,1420,1420.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
4,2019-09-19T00:00:00,55,Congo DR,COD,1395,1395.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
5,2019-07-25T00:00:00,56,Congo DR,COD,1395,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-29.0
6,2019-10-24T00:00:00,54,Congo DR,COD,1399,1395.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,4.0
7,2018-03-15T00:00:00,39,Congo DR,COD,728,728.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
8,2018-10-25T00:00:00,46,Congo DR,COD,1423,1447.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-24.0
9,2018-08-16T00:00:00,37,Congo DR,COD,1456,1456.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
10,2019-02-07T00:00:00,51,Congo DR,COD,1420,1420.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
11,2018-07-01T00:00:00,45,Congo DR,COD,1780,1780.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
12,2019-06-14T00:00:00,49,Congo DR,COD,1424,1425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-1.0
13,2017-12-21T00:00:00,39,Congo DR,COD,740,764.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-24.0
14,2018-06-07T00:00:00,38,Congo DR,COD,706,711.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-5.0
15,2017-11-23T00:00:00,36,Congo DR,COD,764,751.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,13.0
16,2018-05-17T00:00:00,38,Congo DR,COD,711,711.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,0.0
17,2018-11-29T00:00:00,49,Congo DR,COD,1420,1423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-3.0
18,2018-02-15T00:00:00,39,Congo DR,COD,728,715.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,13.0
19,2018-01-18T00:00:00,43,Congo DR,COD,715,740.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-25.0
20,2018-04-12T00:00:00,38,Congo DR,COD,711,728.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-17.0
21,2017-10-16T00:00:00,35,Congo DR,COD,751,709.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,42.0
22,2017-09-14T00:00:00,42,Congo DR,COD,709,822.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,-113.0
23,2017-06-01T00:00:00,39,Congo DR,COD,728,712.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,16.0
