,date,rank,country,ct,points,previousPoints,flag,delta
0,2018-09-20T00:00:00,191,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
1,2019-04-04T00:00:00,190,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
2,2018-12-20T00:00:00,190,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
3,2019-07-25T00:00:00,190,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
4,2018-03-15T00:00:00,194,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
5,2018-10-25T00:00:00,192,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
6,2018-08-16T00:00:00,192,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
7,2019-02-07T00:00:00,190,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
8,2018-07-01T00:00:00,188,Cook Islands,COK,899,899.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
9,2019-06-14T00:00:00,190,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
10,2017-12-21T00:00:00,194,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
11,2018-06-07T00:00:00,192,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
12,2017-11-23T00:00:00,192,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
13,2018-05-17T00:00:00,191,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
14,2018-11-29T00:00:00,190,Cook Islands,COK,908,908.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
15,2018-02-15T00:00:00,194,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
16,2018-01-18T00:00:00,194,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
17,2018-04-12T00:00:00,191,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
18,2017-10-16T00:00:00,193,Cook Islands,COK,38,38.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
19,2017-09-14T00:00:00,193,Cook Islands,COK,38,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,-26.0
20,2017-06-01T00:00:00,189,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
21,2017-07-06T00:00:00,185,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
22,2017-08-10T00:00:00,186,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
23,2017-03-09T00:00:00,190,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
24,2017-05-04T00:00:00,189,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
25,2017-04-06T00:00:00,189,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
26,2017-02-09T00:00:00,191,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
27,2017-01-12T00:00:00,191,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
28,2016-12-22T00:00:00,191,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
29,2016-10-20T00:00:00,189,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
30,2016-11-24T00:00:00,191,Cook Islands,COK,64,64.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
31,2016-09-15T00:00:00,190,Cook Islands,COK,64,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,-64.0
32,2016-08-11T00:00:00,170,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
33,2016-05-05T00:00:00,170,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
34,2016-07-14T00:00:00,168,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
35,2016-03-03T00:00:00,167,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
36,2016-04-07T00:00:00,170,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
37,2016-02-04T00:00:00,167,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
38,2016-06-02T00:00:00,168,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
39,2016-01-07T00:00:00,167,Cook Islands,COK,128,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
40,2015-12-03T00:00:00,167,Cook Islands,COK,128,132.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,-4.0
41,2015-11-05T00:00:00,169,Cook Islands,COK,132,132.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,0.0
42,2015-10-01T00:00:00,166,Cook Islands,COK,132,4.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,128.0
