,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,46,Costa Rica,CRC,1442,1436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,6.0
1,2018-09-20T00:00:00,37,Costa Rica,CRC,1460,1471.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-11.0
2,2019-04-04T00:00:00,38,Costa Rica,CRC,1458,1461.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-3.0
3,2018-12-20T00:00:00,36,Costa Rica,CRC,1464,1464.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
4,2019-09-19T00:00:00,43,Costa Rica,CRC,1442,1445.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-3.0
5,2019-07-25T00:00:00,44,Costa Rica,CRC,1445,1453.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-8.0
6,2019-10-24T00:00:00,47,Costa Rica,CRC,1436,1442.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-6.0
7,2018-03-15T00:00:00,26,Costa Rica,CRC,872,868.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,4.0
8,2018-10-25T00:00:00,37,Costa Rica,CRC,1452,1460.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-8.0
9,2018-08-16T00:00:00,32,Costa Rica,CRC,1471,1516.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-45.0
10,2019-02-07T00:00:00,37,Costa Rica,CRC,1461,1464.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-3.0
11,2018-07-01T00:00:00,37,Costa Rica,CRC,1839,1880.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-41.0
12,2019-06-14T00:00:00,39,Costa Rica,CRC,1453,1458.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-5.0
13,2017-12-21T00:00:00,26,Costa Rica,CRC,850,850.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
14,2018-06-07T00:00:00,23,Costa Rica,CRC,884,858.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,26.0
15,2017-11-23T00:00:00,26,Costa Rica,CRC,850,914.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-64.0
16,2018-05-17T00:00:00,25,Costa Rica,CRC,858,858.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
17,2018-11-29T00:00:00,36,Costa Rica,CRC,1464,1452.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,12.0
18,2018-02-15T00:00:00,25,Costa Rica,CRC,868,831.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,37.0
19,2018-01-18T00:00:00,27,Costa Rica,CRC,831,850.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-19.0
20,2018-04-12T00:00:00,25,Costa Rica,CRC,858,872.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-14.0
21,2017-10-16T00:00:00,22,Costa Rica,CRC,914,936.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-22.0
22,2017-09-14T00:00:00,21,Costa Rica,CRC,936,918.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,18.0
23,2017-06-01T00:00:00,19,Costa Rica,CRC,913,902.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,11.0
24,2017-07-06T00:00:00,26,Costa Rica,CRC,839,913.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-74.0
25,2017-08-10T00:00:00,21,Costa Rica,CRC,918,839.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,79.0
26,2017-03-09T00:00:00,19,Costa Rica,CRC,953,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,5.0
27,2017-05-04T00:00:00,20,Costa Rica,CRC,902,902.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
28,2017-04-06T00:00:00,20,Costa Rica,CRC,902,953.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-51.0
29,2017-02-09T00:00:00,19,Costa Rica,CRC,948,1041.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-93.0
30,2017-01-12T00:00:00,17,Costa Rica,CRC,1041,1041.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
31,2016-12-22T00:00:00,17,Costa Rica,CRC,1041,1041.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
32,2016-10-20T00:00:00,18,Costa Rica,CRC,971,943.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,28.0
33,2016-11-24T00:00:00,17,Costa Rica,CRC,1041,971.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,70.0
34,2016-09-15T00:00:00,18,Costa Rica,CRC,943,883.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,60.0
35,2016-08-11T00:00:00,21,Costa Rica,CRC,883,840.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,43.0
36,2016-05-05T00:00:00,25,Costa Rica,CRC,829,826.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,3.0
37,2016-07-14T00:00:00,27,Costa Rica,CRC,840,853.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-13.0
38,2016-03-03T00:00:00,33,Costa Rica,CRC,784,799.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-15.0
39,2016-04-07T00:00:00,25,Costa Rica,CRC,826,784.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,42.0
40,2016-02-04T00:00:00,31,Costa Rica,CRC,799,759.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,40.0
41,2016-06-02T00:00:00,23,Costa Rica,CRC,853,829.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,24.0
42,2016-01-07T00:00:00,37,Costa Rica,CRC,759,759.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,0.0
43,2015-12-03T00:00:00,37,Costa Rica,CRC,759,671.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,88.0
44,2015-11-05T00:00:00,40,Costa Rica,CRC,671,691.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-20.0
45,2015-10-01T00:00:00,42,Costa Rica,CRC,691,731.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-40.0
46,2015-09-03T00:00:00,39,Costa Rica,CRC,731,728.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,3.0
47,2015-08-06T00:00:00,38,Costa Rica,CRC,728,695.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,33.0
48,2015-05-07T00:00:00,15,Costa Rica,CRC,1016,1014.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,2.0
49,2015-07-09T00:00:00,41,Costa Rica,CRC,695,1056.0,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,-361.0
