,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,179,Cuba,CUB,936,938.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-2.0
1,2018-09-20T00:00:00,179,Cuba,CUB,946,940.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,6.0
2,2019-04-04T00:00:00,174,Cuba,CUB,961,963.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-2.0
3,2018-12-20T00:00:00,174,Cuba,CUB,963,963.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
4,2019-09-19T00:00:00,178,Cuba,CUB,940,950.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-10.0
5,2019-07-25T00:00:00,179,Cuba,CUB,950,961.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-11.0
6,2019-10-24T00:00:00,179,Cuba,CUB,938,940.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-2.0
7,2018-03-15T00:00:00,182,Cuba,CUB,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
8,2018-10-25T00:00:00,177,Cuba,CUB,954,946.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,8.0
9,2018-08-16T00:00:00,181,Cuba,CUB,940,940.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
10,2019-02-07T00:00:00,174,Cuba,CUB,963,963.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
11,2018-07-01T00:00:00,168,Cuba,CUB,1018,1018.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
12,2019-06-14T00:00:00,175,Cuba,CUB,961,961.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
13,2017-12-21T00:00:00,180,Cuba,CUB,91,98.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-7.0
14,2018-06-07T00:00:00,181,Cuba,CUB,75,75.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
15,2017-11-23T00:00:00,170,Cuba,CUB,98,83.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,15.0
16,2018-05-17T00:00:00,182,Cuba,CUB,75,75.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
17,2018-11-29T00:00:00,174,Cuba,CUB,963,954.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,9.0
18,2018-02-15T00:00:00,181,Cuba,CUB,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
19,2018-01-18T00:00:00,181,Cuba,CUB,88,91.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-3.0
20,2018-04-12T00:00:00,182,Cuba,CUB,75,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-13.0
21,2017-10-16T00:00:00,179,Cuba,CUB,83,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-5.0
22,2017-09-14T00:00:00,180,Cuba,CUB,88,80.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,8.0
23,2017-06-01T00:00:00,165,Cuba,CUB,124,124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
24,2017-07-06T00:00:00,164,Cuba,CUB,123,124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-1.0
25,2017-08-10T00:00:00,182,Cuba,CUB,80,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-43.0
26,2017-03-09T00:00:00,153,Cuba,CUB,175,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
27,2017-05-04T00:00:00,163,Cuba,CUB,124,124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
28,2017-04-06T00:00:00,163,Cuba,CUB,124,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-51.0
29,2017-02-09T00:00:00,155,Cuba,CUB,175,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,0.0
30,2017-01-12T00:00:00,154,Cuba,CUB,175,180.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-5.0
31,2016-12-22T00:00:00,151,Cuba,CUB,180,264.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-84.0
32,2016-10-20T00:00:00,142,Cuba,CUB,226,229.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-3.0
33,2016-11-24T00:00:00,125,Cuba,CUB,264,226.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,38.0
34,2016-09-15T00:00:00,139,Cuba,CUB,229,205.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,24.0
35,2016-08-11T00:00:00,151,Cuba,CUB,205,305.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,-100.0
