,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,61,Côte d'Ivoire,CIV,1380,1392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-12.0
1,2018-09-20T00:00:00,66,Côte d'Ivoire,CIV,1351,1344.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,7.0
2,2019-04-04T00:00:00,65,Côte d'Ivoire,CIV,1365,1356.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,9.0
3,2018-12-20T00:00:00,65,Côte d'Ivoire,CIV,1356,1356.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
4,2019-09-19T00:00:00,56,Côte d'Ivoire,CIV,1394,1394.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
5,2019-07-25T00:00:00,57,Côte d'Ivoire,CIV,1394,1365.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,29.0
6,2019-10-24T00:00:00,56,Côte d'Ivoire,CIV,1392,1394.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-2.0
7,2018-03-15T00:00:00,71,Côte d'Ivoire,CIV,479,476.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,3.0
8,2018-10-25T00:00:00,64,Côte d'Ivoire,CIV,1356,1351.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,5.0
9,2018-08-16T00:00:00,67,Côte d'Ivoire,CIV,1344,1344.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
10,2019-02-07T00:00:00,66,Côte d'Ivoire,CIV,1356,1356.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
11,2018-07-01T00:00:00,65,Côte d'Ivoire,CIV,1673,1673.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
12,2019-06-14T00:00:00,62,Côte d'Ivoire,CIV,1365,1365.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
13,2017-12-21T00:00:00,61,Côte d'Ivoire,CIV,562,557.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,5.0
14,2018-06-07T00:00:00,68,Côte d'Ivoire,CIV,463,458.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,5.0
15,2017-11-23T00:00:00,61,Côte d'Ivoire,CIV,557,600.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-43.0
16,2018-05-17T00:00:00,69,Côte d'Ivoire,CIV,458,458.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
17,2018-11-29T00:00:00,65,Côte d'Ivoire,CIV,1356,1356.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
18,2018-02-15T00:00:00,71,Côte d'Ivoire,CIV,476,544.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-68.0
19,2018-01-18T00:00:00,61,Côte d'Ivoire,CIV,544,562.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-18.0
20,2018-04-12T00:00:00,68,Côte d'Ivoire,CIV,458,479.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-21.0
21,2017-10-16T00:00:00,61,Côte d'Ivoire,CIV,600,637.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-37.0
22,2017-09-14T00:00:00,54,Côte d'Ivoire,CIV,637,636.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,1.0
23,2017-06-01T00:00:00,47,Côte d'Ivoire,CIV,685,672.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,13.0
24,2017-07-06T00:00:00,56,Côte d'Ivoire,CIV,631,685.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-54.0
25,2017-08-10T00:00:00,54,Côte d'Ivoire,CIV,636,631.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,5.0
26,2017-03-09T00:00:00,47,Côte d'Ivoire,CIV,663,662.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,1.0
27,2017-05-04T00:00:00,48,Côte d'Ivoire,CIV,672,672.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
28,2017-04-06T00:00:00,48,Côte d'Ivoire,CIV,672,663.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,9.0
29,2017-02-09T00:00:00,47,Côte d'Ivoire,CIV,662,733.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-71.0
30,2017-01-12T00:00:00,34,Côte d'Ivoire,CIV,733,746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-13.0
31,2016-12-22T00:00:00,34,Côte d'Ivoire,CIV,746,738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,8.0
32,2016-10-20T00:00:00,31,Côte d'Ivoire,CIV,790,752.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,38.0
33,2016-11-24T00:00:00,34,Côte d'Ivoire,CIV,738,790.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-52.0
34,2016-09-15T00:00:00,34,Côte d'Ivoire,CIV,752,748.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,4.0
35,2016-08-11T00:00:00,36,Côte d'Ivoire,CIV,748,751.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-3.0
36,2016-05-05T00:00:00,34,Côte d'Ivoire,CIV,738,738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
37,2016-07-14T00:00:00,35,Côte d'Ivoire,CIV,751,732.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,19.0
38,2016-03-03T00:00:00,36,Côte d'Ivoire,CIV,744,828.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-84.0
39,2016-04-07T00:00:00,34,Côte d'Ivoire,CIV,738,744.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-6.0
40,2016-02-04T00:00:00,28,Côte d'Ivoire,CIV,828,950.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-122.0
41,2016-06-02T00:00:00,36,Côte d'Ivoire,CIV,732,738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-6.0
42,2016-01-07T00:00:00,19,Côte d'Ivoire,CIV,950,950.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
43,2015-12-03T00:00:00,19,Côte d'Ivoire,CIV,950,890.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,60.0
44,2015-11-05T00:00:00,22,Côte d'Ivoire,CIV,890,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-26.0
45,2015-10-01T00:00:00,21,Côte d'Ivoire,CIV,916,924.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-8.0
46,2015-09-03T00:00:00,21,Côte d'Ivoire,CIV,924,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,12.0
47,2015-08-06T00:00:00,21,Côte d'Ivoire,CIV,912,917.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-5.0
48,2015-05-07T00:00:00,23,Côte d'Ivoire,CIV,907,907.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
49,2015-07-09T00:00:00,21,Côte d'Ivoire,CIV,917,916.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,1.0
50,2015-03-12T00:00:00,20,Côte d'Ivoire,CIV,944,932.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,12.0
51,2015-04-09T00:00:00,23,Côte d'Ivoire,CIV,907,944.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-37.0
52,2015-06-04T00:00:00,24,Côte d'Ivoire,CIV,916,907.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,9.0
53,2015-02-12T00:00:00,20,Côte d'Ivoire,CIV,932,833.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,99.0
54,2015-01-08T00:00:00,28,Côte d'Ivoire,CIV,833,833.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
55,2014-10-23T00:00:00,25,Côte d'Ivoire,CIV,842,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-37.0
56,2014-12-18T00:00:00,28,Côte d'Ivoire,CIV,833,861.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-28.0
57,2014-11-27T00:00:00,24,Côte d'Ivoire,CIV,861,842.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,19.0
58,2014-09-18T00:00:00,22,Côte d'Ivoire,CIV,879,840.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,39.0
59,2014-08-14T00:00:00,25,Côte d'Ivoire,CIV,840,850.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-10.0
60,2014-07-17T00:00:00,25,Côte d'Ivoire,CIV,850,809.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,41.0
61,2014-05-08T00:00:00,21,Côte d'Ivoire,CIV,830,830.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
62,2014-06-05T00:00:00,23,Côte d'Ivoire,CIV,809,830.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-21.0
63,2014-04-10T00:00:00,21,Côte d'Ivoire,CIV,830,839.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-9.0
64,2014-03-13T00:00:00,24,Côte d'Ivoire,CIV,839,841.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-2.0
65,2013-12-19T00:00:00,17,Côte d'Ivoire,CIV,918,918.0,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,0.0
