,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,16,Denmark,DEN,1598,1599.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-1.0
1,2018-09-20T00:00:00,10,Denmark,DEN,1581,1580.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,1.0
2,2019-04-04T00:00:00,10,Denmark,DEN,1586,1589.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-3.0
3,2018-12-20T00:00:00,10,Denmark,DEN,1589,1589.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
4,2019-09-19T00:00:00,14,Denmark,DEN,1584,1589.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-5.0
5,2019-07-25T00:00:00,13,Denmark,DEN,1589,1589.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
6,2019-10-24T00:00:00,14,Denmark,DEN,1599,1584.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,15.0
7,2018-03-15T00:00:00,12,Denmark,DEN,1108,1099.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,9.0
8,2018-10-25T00:00:00,10,Denmark,DEN,1584,1581.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,3.0
9,2018-08-16T00:00:00,9,Denmark,DEN,1580,1556.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,24.0
10,2019-02-07T00:00:00,10,Denmark,DEN,1589,1589.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
11,2018-07-01T00:00:00,15,Denmark,DEN,2014,1992.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,22.0
12,2019-06-14T00:00:00,10,Denmark,DEN,1589,1586.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,3.0
13,2017-12-21T00:00:00,12,Denmark,DEN,1099,1099.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
14,2018-06-07T00:00:00,12,Denmark,DEN,1051,1054.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-3.0
15,2017-11-23T00:00:00,12,Denmark,DEN,1099,1001.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,98.0
16,2018-05-17T00:00:00,12,Denmark,DEN,1054,1054.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
17,2018-11-29T00:00:00,10,Denmark,DEN,1589,1584.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,5.0
18,2018-02-15T00:00:00,12,Denmark,DEN,1099,1099.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
19,2018-01-18T00:00:00,12,Denmark,DEN,1099,1099.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
20,2018-04-12T00:00:00,12,Denmark,DEN,1054,1108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-54.0
21,2017-10-16T00:00:00,19,Denmark,DEN,1001,848.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,153.0
22,2017-09-14T00:00:00,26,Denmark,DEN,848,683.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,165.0
23,2017-06-01T00:00:00,51,Denmark,DEN,660,657.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,3.0
24,2017-07-06T00:00:00,47,Denmark,DEN,683,660.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,23.0
25,2017-08-10T00:00:00,46,Denmark,DEN,683,683.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
26,2017-03-09T00:00:00,48,Denmark,DEN,662,657.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,5.0
27,2017-05-04T00:00:00,51,Denmark,DEN,657,657.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
28,2017-04-06T00:00:00,51,Denmark,DEN,657,662.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-5.0
29,2017-02-09T00:00:00,49,Denmark,DEN,657,643.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,14.0
30,2017-01-12T00:00:00,47,Denmark,DEN,643,643.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
31,2016-12-22T00:00:00,46,Denmark,DEN,643,643.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
32,2016-10-20T00:00:00,50,Denmark,DEN,606,637.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-31.0
33,2016-11-24T00:00:00,46,Denmark,DEN,643,606.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,37.0
34,2016-09-15T00:00:00,46,Denmark,DEN,637,630.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,7.0
35,2016-08-11T00:00:00,44,Denmark,DEN,630,630.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
36,2016-05-05T00:00:00,41,Denmark,DEN,686,686.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
37,2016-07-14T00:00:00,44,Denmark,DEN,630,697.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-67.0
38,2016-03-03T00:00:00,40,Denmark,DEN,706,692.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,14.0
39,2016-04-07T00:00:00,41,Denmark,DEN,686,706.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-20.0
40,2016-02-04T00:00:00,40,Denmark,DEN,692,685.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,7.0
41,2016-06-02T00:00:00,38,Denmark,DEN,697,686.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,11.0
42,2016-01-07T00:00:00,42,Denmark,DEN,685,685.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
43,2015-12-03T00:00:00,42,Denmark,DEN,685,743.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-58.0
44,2015-11-05T00:00:00,35,Denmark,DEN,743,835.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-92.0
45,2015-10-01T00:00:00,28,Denmark,DEN,835,901.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-66.0
46,2015-09-03T00:00:00,22,Denmark,DEN,901,876.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,25.0
47,2015-08-06T00:00:00,25,Denmark,DEN,876,876.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
48,2015-05-07T00:00:00,29,Denmark,DEN,808,808.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
49,2015-07-09T00:00:00,24,Denmark,DEN,876,808.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,68.0
50,2015-03-12T00:00:00,28,Denmark,DEN,863,846.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,17.0
51,2015-04-09T00:00:00,28,Denmark,DEN,808,863.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-55.0
52,2015-06-04T00:00:00,29,Denmark,DEN,808,808.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
53,2015-02-12T00:00:00,28,Denmark,DEN,846,804.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,42.0
54,2015-01-08T00:00:00,30,Denmark,DEN,804,804.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
55,2014-10-23T00:00:00,32,Denmark,DEN,763,833.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-70.0
56,2014-12-18T00:00:00,30,Denmark,DEN,804,804.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
57,2014-11-27T00:00:00,30,Denmark,DEN,804,763.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,41.0
58,2014-09-18T00:00:00,27,Denmark,DEN,833,818.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,15.0
59,2014-08-14T00:00:00,26,Denmark,DEN,818,807.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,11.0
60,2014-07-17T00:00:00,26,Denmark,DEN,807,809.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-2.0
61,2014-05-08T00:00:00,23,Denmark,DEN,819,819.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
62,2014-06-05T00:00:00,23,Denmark,DEN,809,819.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-10.0
63,2014-04-10T00:00:00,23,Denmark,DEN,819,858.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-39.0
64,2014-03-13T00:00:00,22,Denmark,DEN,858,907.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-49.0
65,2013-12-19T00:00:00,25,Denmark,DEN,831,831.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
66,2014-02-13T00:00:00,20,Denmark,DEN,907,831.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,76.0
67,2014-01-16T00:00:00,25,Denmark,DEN,831,831.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
68,2013-11-28T00:00:00,25,Denmark,DEN,831,824.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,7.0
69,2013-10-17T00:00:00,26,Denmark,DEN,824,825.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-1.0
70,2013-09-12T00:00:00,23,Denmark,DEN,825,788.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,37.0
71,2013-07-04T00:00:00,27,Denmark,DEN,788,890.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-102.0
72,2013-06-06T00:00:00,20,Denmark,DEN,890,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-10.0
73,2013-05-09T00:00:00,20,Denmark,DEN,900,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
74,2013-08-08T00:00:00,27,Denmark,DEN,788,788.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,0.0
75,2013-02-14T00:00:00,22,Denmark,DEN,825,819.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,6.0
76,2013-03-14T00:00:00,25,Denmark,DEN,814,825.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-11.0
77,2013-04-11T00:00:00,20,Denmark,DEN,900,814.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,86.0
78,2013-01-17T00:00:00,23,Denmark,DEN,819,821.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-2.0
79,2012-11-07T00:00:00,22,Denmark,DEN,851,944.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-93.0
80,2012-09-05T00:00:00,10,Denmark,DEN,1006,1017.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-11.0
81,2012-10-03T00:00:00,18,Denmark,DEN,944,1006.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-62.0
82,2012-12-19T00:00:00,23,Denmark,DEN,821,851.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-30.0
