,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,158,Dominican Republic,DOM,1019,1040.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-21.0
1,2018-09-20T00:00:00,152,Dominican Republic,DOM,1040,1040.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
2,2019-04-04T00:00:00,154,Dominican Republic,DOM,1028,1036.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-8.0
3,2018-12-20T00:00:00,154,Dominican Republic,DOM,1036,1036.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
4,2019-09-19T00:00:00,155,Dominican Republic,DOM,1032,1028.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,4.0
5,2019-07-25T00:00:00,155,Dominican Republic,DOM,1028,1028.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
6,2019-10-24T00:00:00,153,Dominican Republic,DOM,1040,1032.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,8.0
7,2018-03-15T00:00:00,163,Dominican Republic,DOM,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
8,2018-10-25T00:00:00,152,Dominican Republic,DOM,1045,1040.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,5.0
9,2018-08-16T00:00:00,152,Dominican Republic,DOM,1040,1040.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
10,2019-02-07T00:00:00,154,Dominican Republic,DOM,1036,1036.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
11,2018-07-01T00:00:00,155,Dominican Republic,DOM,1095,1095.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
12,2019-06-14T00:00:00,154,Dominican Republic,DOM,1028,1028.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
13,2017-12-21T00:00:00,162,Dominican Republic,DOM,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
14,2018-06-07T00:00:00,152,Dominican Republic,DOM,162,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-13.0
15,2017-11-23T00:00:00,162,Dominican Republic,DOM,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
16,2018-05-17T00:00:00,149,Dominican Republic,DOM,175,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
17,2018-11-29T00:00:00,154,Dominican Republic,DOM,1036,1045.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-9.0
18,2018-02-15T00:00:00,160,Dominican Republic,DOM,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
19,2018-01-18T00:00:00,160,Dominican Republic,DOM,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
20,2018-04-12T00:00:00,149,Dominican Republic,DOM,175,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,54.0
21,2017-10-16T00:00:00,163,Dominican Republic,DOM,121,140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-19.0
22,2017-09-14T00:00:00,160,Dominican Republic,DOM,140,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-4.0
23,2017-06-01T00:00:00,145,Dominican Republic,DOM,184,184.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
24,2017-07-06T00:00:00,159,Dominican Republic,DOM,144,184.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-40.0
25,2017-08-10T00:00:00,161,Dominican Republic,DOM,144,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
26,2017-03-09T00:00:00,129,Dominican Republic,DOM,242,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
27,2017-05-04T00:00:00,148,Dominican Republic,DOM,184,184.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
28,2017-04-06T00:00:00,147,Dominican Republic,DOM,184,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-58.0
29,2017-02-09T00:00:00,131,Dominican Republic,DOM,242,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
30,2017-01-12T00:00:00,130,Dominican Republic,DOM,242,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
31,2016-12-22T00:00:00,128,Dominican Republic,DOM,242,263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-21.0
32,2016-10-20T00:00:00,121,Dominican Republic,DOM,281,315.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-34.0
33,2016-11-24T00:00:00,126,Dominican Republic,DOM,263,281.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,-18.0
34,2016-09-15T00:00:00,114,Dominican Republic,DOM,315,243.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,72.0
35,2016-08-11T00:00:00,138,Dominican Republic,DOM,243,243.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
36,2016-05-05T00:00:00,151,Dominican Republic,DOM,193,193.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
37,2016-07-14T00:00:00,139,Dominican Republic,DOM,243,193.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,50.0
38,2016-03-03T00:00:00,159,Dominican Republic,DOM,150,150.0,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,0.0
