,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,153,Eswatini,SWZ,1042,1055.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-13.0
1,2019-04-04T00:00:00,143,Eswatini,SWZ,1074,1078.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-4.0
2,2019-09-19T00:00:00,150,Eswatini,SWZ,1055,1074.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-19.0
3,2019-07-25T00:00:00,139,Eswatini,SWZ,1074,1074.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
4,2019-10-24T00:00:00,147,Eswatini,SWZ,1055,1055.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
5,2019-06-14T00:00:00,141,Eswatini,SWZ,1074,1074.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
6,2010-03-03T00:00:00,134,Eswatini,SWZ,161,152.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,9.0
7,2007-04-18T00:00:00,150,Eswatini,SWZ,110,115.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
8,2007-05-16T00:00:00,151,Eswatini,SWZ,110,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
9,2007-03-14T00:00:00,149,Eswatini,SWZ,115,108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,7.0
10,2007-02-14T00:00:00,151,Eswatini,SWZ,108,108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
11,2007-01-17T00:00:00,151,Eswatini,SWZ,108,108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
12,2006-12-18T00:00:00,148,Eswatini,SWZ,108,113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
13,2006-10-18T00:00:00,152,Eswatini,SWZ,110,106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,4.0
14,2006-11-22T00:00:00,147,Eswatini,SWZ,113,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,3.0
15,2006-09-13T00:00:00,150,Eswatini,SWZ,106,92.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,14.0
16,2006-08-16T00:00:00,152,Eswatini,SWZ,92,91.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,1.0
17,2006-07-12T00:00:00,153,Eswatini,SWZ,91,314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-223.0
18,2006-03-15T00:00:00,137,Eswatini,SWZ,318,321.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-3.0
19,2006-05-17T00:00:00,138,Eswatini,SWZ,314,314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
20,2006-04-19T00:00:00,139,Eswatini,SWZ,314,318.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-4.0
21,2006-02-15T00:00:00,134,Eswatini,SWZ,321,322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-1.0
22,2005-11-21T00:00:00,131,Eswatini,SWZ,332,340.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-8.0
23,2005-12-16T00:00:00,134,Eswatini,SWZ,322,332.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-10.0
24,2006-01-18T00:00:00,134,Eswatini,SWZ,322,322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
25,2005-10-17T00:00:00,133,Eswatini,SWZ,340,348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-8.0
26,2005-09-12T00:00:00,132,Eswatini,SWZ,348,354.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-6.0
27,2005-08-17T00:00:00,129,Eswatini,SWZ,354,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
28,2005-07-20T00:00:00,128,Eswatini,SWZ,359,373.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-14.0
29,2005-06-15T00:00:00,126,Eswatini,SWZ,373,365.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,8.0
30,2005-05-18T00:00:00,131,Eswatini,SWZ,365,370.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
31,2005-04-20T00:00:00,130,Eswatini,SWZ,370,374.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-4.0
32,2004-12-20T00:00:00,126,Eswatini,SWZ,379,384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
33,2005-03-23T00:00:00,129,Eswatini,SWZ,374,377.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-3.0
34,2005-01-19T00:00:00,128,Eswatini,SWZ,378,379.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-1.0
35,2005-02-16T00:00:00,128,Eswatini,SWZ,377,378.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-1.0
36,2004-11-10T00:00:00,124,Eswatini,SWZ,384,388.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-4.0
37,2004-09-01T00:00:00,122,Eswatini,SWZ,391,394.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-3.0
38,2004-10-06T00:00:00,122,Eswatini,SWZ,388,391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-3.0
39,2004-07-07T00:00:00,125,Eswatini,SWZ,384,389.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
40,2004-08-04T00:00:00,121,Eswatini,SWZ,394,384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,10.0
41,2004-05-12T00:00:00,120,Eswatini,SWZ,392,397.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-5.0
42,2004-06-09T00:00:00,124,Eswatini,SWZ,389,392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-3.0
43,2004-03-17T00:00:00,117,Eswatini,SWZ,401,402.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-1.0
44,2004-04-14T00:00:00,119,Eswatini,SWZ,397,401.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-4.0
45,2004-02-18T00:00:00,118,Eswatini,SWZ,402,404.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-2.0
46,2004-01-14T00:00:00,116,Eswatini,SWZ,404,404.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
47,2003-12-15T00:00:00,114,Eswatini,SWZ,404,404.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
48,2003-11-19T00:00:00,115,Eswatini,SWZ,404,408.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-4.0
49,2003-10-22T00:00:00,112,Eswatini,SWZ,408,411.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-3.0
50,2003-08-27T00:00:00,102,Eswatini,SWZ,418,416.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,2.0
51,2003-09-24T00:00:00,106,Eswatini,SWZ,411,418.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-7.0
52,2003-07-30T00:00:00,103,Eswatini,SWZ,416,400.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,16.0
53,2003-06-25T00:00:00,114,Eswatini,SWZ,400,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,13.0
54,2003-05-21T00:00:00,119,Eswatini,SWZ,387,398.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-11.0
55,2003-04-23T00:00:00,113,Eswatini,SWZ,398,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,11.0
56,2003-02-19T00:00:00,119,Eswatini,SWZ,380,381.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-1.0
57,2002-12-18T00:00:00,116,Eswatini,SWZ,381,381.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
58,2003-01-15T00:00:00,119,Eswatini,SWZ,381,381.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
59,2003-03-26T00:00:00,117,Eswatini,SWZ,387,380.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,7.0
60,2002-11-20T00:00:00,116,Eswatini,SWZ,381,381.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,0.0
61,2002-10-23T00:00:00,116,Eswatini,SWZ,381,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,22.0
62,2002-07-03T00:00:00,123,Eswatini,SWZ,347,349.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-2.0
63,2002-08-14T00:00:00,124,Eswatini,SWZ,352,347.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,5.0
64,2002-09-18T00:00:00,123,Eswatini,SWZ,359,352.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,7.0
65,2002-05-15T00:00:00,124,Eswatini,SWZ,349,321.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,28.0
66,2002-03-20T00:00:00,134,Eswatini,SWZ,320,322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swz,-2.0
