,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,83,Gabon,GAB,1297,1285.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,12.0
1,2018-09-20T00:00:00,87,Gabon,GAB,1274,1284.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-10.0
2,2019-04-04T00:00:00,90,Gabon,GAB,1272,1277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-5.0
3,2018-12-20T00:00:00,85,Gabon,GAB,1277,1277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
4,2019-09-19T00:00:00,88,Gabon,GAB,1272,1272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
5,2019-07-25T00:00:00,90,Gabon,GAB,1272,1272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
6,2019-10-24T00:00:00,87,Gabon,GAB,1285,1272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,13.0
7,2018-03-15T00:00:00,95,Gabon,GAB,371,365.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,6.0
8,2018-10-25T00:00:00,83,Gabon,GAB,1288,1274.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,14.0
9,2018-08-16T00:00:00,86,Gabon,GAB,1284,1284.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
10,2019-02-07T00:00:00,85,Gabon,GAB,1277,1277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
11,2018-07-01T00:00:00,89,Gabon,GAB,1507,1507.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
12,2019-06-14T00:00:00,89,Gabon,GAB,1272,1272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
13,2017-12-21T00:00:00,93,Gabon,GAB,370,370.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
14,2018-06-07T00:00:00,85,Gabon,GAB,390,374.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,16.0
15,2017-11-23T00:00:00,93,Gabon,GAB,370,384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-14.0
16,2018-05-17T00:00:00,90,Gabon,GAB,374,374.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
17,2018-11-29T00:00:00,85,Gabon,GAB,1277,1288.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-11.0
18,2018-02-15T00:00:00,95,Gabon,GAB,365,372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-7.0
19,2018-01-18T00:00:00,93,Gabon,GAB,372,370.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,2.0
20,2018-04-12T00:00:00,92,Gabon,GAB,374,371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,3.0
21,2017-10-16T00:00:00,92,Gabon,GAB,384,430.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-46.0
22,2017-09-14T00:00:00,79,Gabon,GAB,430,381.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,49.0
23,2017-06-01T00:00:00,86,Gabon,GAB,409,392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,17.0
24,2017-07-06T00:00:00,91,Gabon,GAB,373,409.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-36.0
25,2017-08-10T00:00:00,88,Gabon,GAB,381,373.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,8.0
26,2017-03-09T00:00:00,87,Gabon,GAB,399,392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,7.0
27,2017-05-04T00:00:00,84,Gabon,GAB,392,392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,0.0
28,2017-04-06T00:00:00,84,Gabon,GAB,392,399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,-7.0
