,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,47,Ghana,GHA,1439,1426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,13.0
1,2018-09-20T00:00:00,51,Ghana,GHA,1407,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-17.0
2,2019-04-04T00:00:00,49,Ghana,GHA,1423,1412.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,11.0
3,2018-12-20T00:00:00,51,Ghana,GHA,1412,1412.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
4,2019-09-19T00:00:00,51,Ghana,GHA,1429,1429.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
5,2019-07-25T00:00:00,50,Ghana,GHA,1429,1423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,6.0
6,2019-10-24T00:00:00,51,Ghana,GHA,1426,1429.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-3.0
7,2018-03-15T00:00:00,54,Ghana,GHA,602,596.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,6.0
8,2018-10-25T00:00:00,52,Ghana,GHA,1407,1407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
9,2018-08-16T00:00:00,45,Ghana,GHA,1424,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
10,2019-02-07T00:00:00,52,Ghana,GHA,1412,1412.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
11,2018-07-01T00:00:00,55,Ghana,GHA,1739,1738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,1.0
12,2019-06-14T00:00:00,50,Ghana,GHA,1423,1423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
13,2017-12-21T00:00:00,50,Ghana,GHA,657,657.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
14,2018-06-07T00:00:00,47,Ghana,GHA,624,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,21.0
15,2017-11-23T00:00:00,51,Ghana,GHA,657,651.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,6.0
16,2018-05-17T00:00:00,50,Ghana,GHA,603,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
17,2018-11-29T00:00:00,51,Ghana,GHA,1412,1407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,5.0
18,2018-02-15T00:00:00,54,Ghana,GHA,596,659.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-63.0
19,2018-01-18T00:00:00,50,Ghana,GHA,659,657.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,2.0
20,2018-04-12T00:00:00,51,Ghana,GHA,603,602.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,1.0
21,2017-10-16T00:00:00,52,Ghana,GHA,651,646.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,5.0
22,2017-09-14T00:00:00,52,Ghana,GHA,646,665.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-19.0
23,2017-06-01T00:00:00,49,Ghana,GHA,678,682.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-4.0
24,2017-07-06T00:00:00,50,Ghana,GHA,665,678.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-13.0
25,2017-08-10T00:00:00,50,Ghana,GHA,665,665.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
26,2017-03-09T00:00:00,43,Ghana,GHA,683,675.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,8.0
27,2017-05-04T00:00:00,45,Ghana,GHA,682,682.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
28,2017-04-06T00:00:00,45,Ghana,GHA,682,683.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-1.0
29,2017-02-09T00:00:00,45,Ghana,GHA,675,610.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,65.0
30,2017-01-12T00:00:00,54,Ghana,GHA,610,611.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-1.0
31,2016-12-22T00:00:00,53,Ghana,GHA,611,611.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
32,2016-10-20T00:00:00,45,Ghana,GHA,628,658.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-30.0
33,2016-11-24T00:00:00,53,Ghana,GHA,611,628.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-17.0
34,2016-09-15T00:00:00,43,Ghana,GHA,658,749.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-91.0
35,2016-08-11T00:00:00,35,Ghana,GHA,749,749.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
36,2016-05-05T00:00:00,38,Ghana,GHA,693,693.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
37,2016-07-14T00:00:00,36,Ghana,GHA,749,728.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,21.0
38,2016-03-03T00:00:00,41,Ghana,GHA,656,691.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-35.0
39,2016-04-07T00:00:00,38,Ghana,GHA,693,656.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,37.0
40,2016-02-04T00:00:00,41,Ghana,GHA,691,776.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-85.0
41,2016-06-02T00:00:00,37,Ghana,GHA,728,693.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,35.0
42,2016-01-07T00:00:00,33,Ghana,GHA,776,778.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-2.0
43,2015-12-03T00:00:00,33,Ghana,GHA,778,793.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-15.0
44,2015-11-05T00:00:00,30,Ghana,GHA,793,849.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-56.0
45,2015-10-01T00:00:00,25,Ghana,GHA,849,827.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,22.0
46,2015-09-03T00:00:00,27,Ghana,GHA,827,827.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
47,2015-08-06T00:00:00,27,Ghana,GHA,827,827.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
48,2015-05-07T00:00:00,26,Ghana,GHA,833,833.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
49,2015-07-09T00:00:00,25,Ghana,GHA,827,800.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,27.0
50,2015-03-12T00:00:00,24,Ghana,GHA,887,864.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,23.0
51,2015-04-09T00:00:00,26,Ghana,GHA,833,887.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-54.0
52,2015-06-04T00:00:00,34,Ghana,GHA,800,833.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,-33.0
53,2015-02-12T00:00:00,25,Ghana,GHA,864,714.0,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,150.0
