,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,196,Gibraltar,GIB,879,882,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-3.0
1,2018-09-20T00:00:00,198,Gibraltar,GIB,891,900,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-9.0
2,2019-04-04T00:00:00,195,Gibraltar,GIB,900,905,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-5.0
3,2018-12-20T00:00:00,194,Gibraltar,GIB,905,905,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
4,2019-09-19T00:00:00,197,Gibraltar,GIB,889,893,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-4.0
5,2019-07-25T00:00:00,198,Gibraltar,GIB,893,893,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
6,2019-10-24T00:00:00,196,Gibraltar,GIB,882,889,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-7.0
7,2018-03-15T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
8,2018-10-25T00:00:00,190,Gibraltar,GIB,911,891,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,20.0
9,2018-08-16T00:00:00,195,Gibraltar,GIB,900,900,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
10,2019-02-07T00:00:00,194,Gibraltar,GIB,905,905,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
11,2018-07-01T00:00:00,194,Gibraltar,GIB,864,864,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
12,2019-06-14T00:00:00,198,Gibraltar,GIB,893,900,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-7.0
13,2017-12-21T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
14,2018-06-07T00:00:00,195,Gibraltar,GIB,34,34,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
15,2017-11-23T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
16,2018-05-17T00:00:00,196,Gibraltar,GIB,34,34,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,0.0
17,2018-11-29T00:00:00,194,Gibraltar,GIB,905,911,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,-6.0
18,2018-02-15T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
19,2018-01-18T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
20,2018-04-12T00:00:00,196,Gibraltar,GIB,34,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
21,2017-10-16T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
22,2017-09-14T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
23,2017-06-01T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
24,2017-07-06T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
25,2017-08-10T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
26,2017-03-09T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
27,2017-05-04T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
28,2017-04-06T00:00:00,206,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
29,2017-02-09T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
30,2017-01-12T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
31,2016-12-22T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
32,2016-10-20T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
33,2016-11-24T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
34,2016-09-15T00:00:00,205,Gibraltar,GIB,0,0,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,
