,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,108,India,IND,1187,1201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-14.0
1,2018-09-20T00:00:00,97,India,IND,1244,1242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,2.0
2,2019-04-04T00:00:00,101,India,IND,1219,1219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
3,2018-12-20T00:00:00,97,India,IND,1240,1240.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
4,2019-09-19T00:00:00,104,India,IND,1207,1214.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-7.0
5,2019-07-25T00:00:00,103,India,IND,1214,1219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-5.0
6,2019-10-24T00:00:00,106,India,IND,1201,1207.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-6.0
7,2018-03-15T00:00:00,99,India,IND,339,333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,6.0
8,2018-10-25T00:00:00,97,India,IND,1245,1244.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,1.0
9,2018-08-16T00:00:00,96,India,IND,1242,1240.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,2.0
10,2019-02-07T00:00:00,103,India,IND,1219,1240.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-21.0
11,2018-07-01T00:00:00,102,India,IND,1426,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,2.0
12,2019-06-14T00:00:00,101,India,IND,1219,1219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
13,2017-12-21T00:00:00,105,India,IND,320,320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
14,2018-06-07T00:00:00,97,India,IND,350,354.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-4.0
15,2017-11-23T00:00:00,105,India,IND,320,328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-8.0
16,2018-05-17T00:00:00,97,India,IND,354,354.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
17,2018-11-29T00:00:00,97,India,IND,1240,1245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-5.0
18,2018-02-15T00:00:00,102,India,IND,333,333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
19,2018-01-18T00:00:00,102,India,IND,333,320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,13.0
20,2018-04-12T00:00:00,97,India,IND,354,339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,15.0
21,2017-10-16T00:00:00,105,India,IND,328,316.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,12.0
22,2017-09-14T00:00:00,107,India,IND,316,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-25.0
23,2017-06-01T00:00:00,100,India,IND,331,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
24,2017-07-06T00:00:00,96,India,IND,341,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,10.0
25,2017-08-10T00:00:00,97,India,IND,341,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
26,2017-03-09T00:00:00,132,India,IND,233,244.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-11.0
27,2017-05-04T00:00:00,100,India,IND,331,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
28,2017-04-06T00:00:00,101,India,IND,331,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,98.0
29,2017-02-09T00:00:00,130,India,IND,244,243.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,1.0
30,2017-01-12T00:00:00,129,India,IND,243,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,26.0
31,2016-12-22T00:00:00,135,India,IND,217,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
32,2016-10-20T00:00:00,137,India,IND,230,205.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,25.0
33,2016-11-24T00:00:00,137,India,IND,217,230.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,-13.0
34,2016-09-15T00:00:00,148,India,IND,205,200.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,5.0
35,2016-08-11T00:00:00,152,India,IND,200,200.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
36,2016-05-05T00:00:00,162,India,IND,151,151.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,0.0
37,2016-07-14T00:00:00,152,India,IND,200,151.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,49.0
38,2016-03-03T00:00:00,160,India,IND,142,139.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,3.0
