,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,173,Indonesia,IDN,964,975.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-11.0
1,2018-09-20T00:00:00,164,Indonesia,IDN,997,992.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,5.0
2,2019-04-04T00:00:00,159,Indonesia,IDN,1008,1003.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,5.0
3,2018-12-20T00:00:00,159,Indonesia,IDN,1003,1003.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
4,2019-09-19T00:00:00,167,Indonesia,IDN,987,1008.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-21.0
5,2019-07-25T00:00:00,160,Indonesia,IDN,1008,1005.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,3.0
6,2019-10-24T00:00:00,171,Indonesia,IDN,975,987.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-12.0
7,2018-03-15T00:00:00,162,Indonesia,IDN,123,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
8,2018-10-25T00:00:00,160,Indonesia,IDN,1004,997.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,7.0
9,2018-08-16T00:00:00,164,Indonesia,IDN,992,992.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
10,2019-02-07T00:00:00,159,Indonesia,IDN,1003,1003.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
11,2018-07-01T00:00:00,157,Indonesia,IDN,1089,1089.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
12,2019-06-14T00:00:00,160,Indonesia,IDN,1005,1008.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
13,2017-12-21T00:00:00,162,Indonesia,IDN,121,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-23.0
14,2018-06-07T00:00:00,164,Indonesia,IDN,111,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
15,2017-11-23T00:00:00,154,Indonesia,IDN,144,117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,27.0
16,2018-05-17T00:00:00,164,Indonesia,IDN,111,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
17,2018-11-29T00:00:00,160,Indonesia,IDN,1003,1004.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
18,2018-02-15T00:00:00,160,Indonesia,IDN,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
19,2018-01-18T00:00:00,160,Indonesia,IDN,121,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
20,2018-04-12T00:00:00,162,Indonesia,IDN,111,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-12.0
21,2017-10-16T00:00:00,165,Indonesia,IDN,117,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
22,2017-09-14T00:00:00,169,Indonesia,IDN,116,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,6.0
23,2017-06-01T00:00:00,175,Indonesia,IDN,105,105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
24,2017-07-06T00:00:00,175,Indonesia,IDN,110,105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,5.0
25,2017-08-10T00:00:00,175,Indonesia,IDN,110,110.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
26,2017-03-09T00:00:00,167,Indonesia,IDN,123,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
27,2017-05-04T00:00:00,177,Indonesia,IDN,105,105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
28,2017-04-06T00:00:00,175,Indonesia,IDN,105,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-18.0
29,2017-02-09T00:00:00,169,Indonesia,IDN,123,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,3.0
30,2017-01-12T00:00:00,173,Indonesia,IDN,120,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
31,2016-12-22T00:00:00,171,Indonesia,IDN,120,100.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,20.0
32,2016-10-20T00:00:00,179,Indonesia,IDN,93,89.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,4.0
33,2016-11-24T00:00:00,179,Indonesia,IDN,100,93.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,7.0
34,2016-09-15T00:00:00,181,Indonesia,IDN,89,65.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,24.0
35,2016-08-11T00:00:00,191,Indonesia,IDN,65,65.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
36,2016-05-05T00:00:00,185,Indonesia,IDN,65,65.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
37,2016-07-14T00:00:00,191,Indonesia,IDN,65,65.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
38,2016-03-03T00:00:00,178,Indonesia,IDN,88,86.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
39,2016-04-07T00:00:00,185,Indonesia,IDN,65,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-23.0
40,2016-02-04T00:00:00,180,Indonesia,IDN,86,84.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
41,2016-06-02T00:00:00,187,Indonesia,IDN,65,65.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
42,2016-01-07T00:00:00,180,Indonesia,IDN,84,84.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
43,2015-12-03T00:00:00,179,Indonesia,IDN,84,108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-24.0
44,2015-11-05T00:00:00,174,Indonesia,IDN,108,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
45,2015-10-01T00:00:00,171,Indonesia,IDN,111,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-10.0
46,2015-09-03T00:00:00,165,Indonesia,IDN,121,124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
47,2015-08-06T00:00:00,165,Indonesia,IDN,124,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-10.0
48,2015-05-07T00:00:00,159,Indonesia,IDN,131,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
49,2015-07-09T00:00:00,164,Indonesia,IDN,134,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,3.0
50,2015-03-12T00:00:00,156,Indonesia,IDN,129,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
51,2015-04-09T00:00:00,159,Indonesia,IDN,131,129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
52,2015-06-04T00:00:00,155,Indonesia,IDN,131,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
53,2015-02-12T00:00:00,158,Indonesia,IDN,128,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,6.0
54,2015-01-08T00:00:00,159,Indonesia,IDN,122,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
55,2014-10-23T00:00:00,157,Indonesia,IDN,129,130.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
56,2014-12-18T00:00:00,159,Indonesia,IDN,123,126.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
57,2014-11-27T00:00:00,157,Indonesia,IDN,126,129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
58,2014-09-18T00:00:00,156,Indonesia,IDN,130,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-6.0
59,2014-08-14T00:00:00,153,Indonesia,IDN,136,141.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-5.0
60,2014-07-17T00:00:00,153,Indonesia,IDN,141,135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,6.0
61,2014-05-08T00:00:00,152,Indonesia,IDN,135,135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
62,2014-06-05T00:00:00,157,Indonesia,IDN,135,135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
63,2014-04-10T00:00:00,151,Indonesia,IDN,135,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,7.0
64,2014-03-13T00:00:00,154,Indonesia,IDN,128,135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-7.0
65,2013-12-19T00:00:00,161,Indonesia,IDN,123,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
66,2014-02-13T00:00:00,158,Indonesia,IDN,135,124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,11.0
67,2014-01-16T00:00:00,161,Indonesia,IDN,124,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
68,2013-11-28T00:00:00,162,Indonesia,IDN,122,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
69,2013-10-17T00:00:00,162,Indonesia,IDN,120,102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,18.0
70,2013-09-12T00:00:00,170,Indonesia,IDN,102,99.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,3.0
71,2013-07-04T00:00:00,168,Indonesia,IDN,112,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-4.0
72,2013-06-06T00:00:00,170,Indonesia,IDN,116,117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
73,2013-05-09T00:00:00,170,Indonesia,IDN,117,117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
74,2013-08-08T00:00:00,169,Indonesia,IDN,99,112.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-13.0
75,2013-02-14T00:00:00,163,Indonesia,IDN,117,145.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-28.0
76,2013-03-14T00:00:00,166,Indonesia,IDN,121,117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,4.0
77,2013-04-11T00:00:00,170,Indonesia,IDN,117,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-4.0
78,2013-01-17T00:00:00,156,Indonesia,IDN,145,143.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
79,2012-11-07T00:00:00,165,Indonesia,IDN,124,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,13.0
80,2012-09-05T00:00:00,168,Indonesia,IDN,111,128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-17.0
81,2012-10-03T00:00:00,170,Indonesia,IDN,111,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
82,2012-12-19T00:00:00,156,Indonesia,IDN,143,124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,19.0
83,2012-07-04T00:00:00,153,Indonesia,IDN,156,159.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
84,2012-08-08T00:00:00,159,Indonesia,IDN,128,156.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-28.0
85,2012-05-09T00:00:00,151,Indonesia,IDN,159,160.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
86,2012-06-06T00:00:00,151,Indonesia,IDN,159,159.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
87,2012-04-11T00:00:00,151,Indonesia,IDN,160,160.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
88,2012-03-07T00:00:00,147,Indonesia,IDN,160,161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
89,2012-02-15T00:00:00,146,Indonesia,IDN,161,183.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-22.0
90,2012-01-18T00:00:00,143,Indonesia,IDN,183,189.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-6.0
91,2011-11-23T00:00:00,144,Indonesia,IDN,176,184.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-8.0
92,2011-12-21T00:00:00,142,Indonesia,IDN,189,176.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,13.0
93,2011-10-19T00:00:00,140,Indonesia,IDN,184,182.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
94,2011-09-21T00:00:00,139,Indonesia,IDN,182,207.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-25.0
95,2011-07-27T00:00:00,137,Indonesia,IDN,183,195.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-12.0
96,2011-06-29T00:00:00,132,Indonesia,IDN,195,200.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-5.0
97,2011-05-18T00:00:00,130,Indonesia,IDN,200,201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
98,2011-04-13T00:00:00,130,Indonesia,IDN,201,201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
99,2011-08-24T00:00:00,131,Indonesia,IDN,207,183.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,24.0
100,2011-01-12T00:00:00,125,Indonesia,IDN,226,212.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,14.0
101,2011-02-02T00:00:00,129,Indonesia,IDN,192,224.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-32.0
102,2011-03-09T00:00:00,128,Indonesia,IDN,203,193.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,10.0
103,2010-12-15T00:00:00,127,Indonesia,IDN,212,172.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,40.0
104,2010-10-20T00:00:00,141,Indonesia,IDN,161,151.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,10.0
105,2010-09-15T00:00:00,131,Indonesia,IDN,151,143.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,8.0
106,2010-11-17T00:00:00,135,Indonesia,IDN,172,161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,11.0
107,2010-08-11T00:00:00,135,Indonesia,IDN,143,141.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,2.0
108,2010-07-14T00:00:00,138,Indonesia,IDN,141,153.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-12.0
109,2010-05-26T00:00:00,137,Indonesia,IDN,153,153.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
110,2010-04-28T00:00:00,137,Indonesia,IDN,153,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
111,2010-03-31T00:00:00,138,Indonesia,IDN,155,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
112,2010-02-03T00:00:00,136,Indonesia,IDN,155,206.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-51.0
113,2010-03-03T00:00:00,137,Indonesia,IDN,155,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
114,2009-12-16T00:00:00,120,Indonesia,IDN,206,198.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,8.0
115,2009-11-20T00:00:00,127,Indonesia,IDN,198,201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
116,2009-10-16T00:00:00,129,Indonesia,IDN,201,201.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
117,2009-09-02T00:00:00,133,Indonesia,IDN,201,186.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,15.0
118,2009-07-01T00:00:00,132,Indonesia,IDN,206,209.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
119,2009-08-05T00:00:00,134,Indonesia,IDN,186,206.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-20.0
120,2009-06-03T00:00:00,138,Indonesia,IDN,209,206.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,3.0
121,2009-05-06T00:00:00,139,Indonesia,IDN,206,210.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-4.0
122,2009-04-08T00:00:00,138,Indonesia,IDN,210,210.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
123,2009-03-11T00:00:00,137,Indonesia,IDN,210,210.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
124,2008-12-17T00:00:00,139,Indonesia,IDN,179,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-42.0
125,2009-02-11T00:00:00,137,Indonesia,IDN,210,167.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,43.0
126,2008-11-12T00:00:00,132,Indonesia,IDN,221,211.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,10.0
127,2009-01-14T00:00:00,144,Indonesia,IDN,167,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-12.0
128,2008-09-03T00:00:00,132,Indonesia,IDN,210,173.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,37.0
129,2008-10-08T00:00:00,139,Indonesia,IDN,211,210.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
130,2008-08-06T00:00:00,147,Indonesia,IDN,173,223.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-50.0
131,2008-06-04T00:00:00,129,Indonesia,IDN,224,219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,5.0
132,2008-07-02T00:00:00,132,Indonesia,IDN,223,224.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
133,2008-04-09T00:00:00,132,Indonesia,IDN,221,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
134,2008-05-07T00:00:00,131,Indonesia,IDN,219,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
135,2008-03-12T00:00:00,130,Indonesia,IDN,220,219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
136,2008-01-16T00:00:00,132,Indonesia,IDN,207,189.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,18.0
137,2008-02-13T00:00:00,128,Indonesia,IDN,219,207.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,12.0
138,2007-11-22T00:00:00,134,Indonesia,IDN,202,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-40.0
139,2007-12-17T00:00:00,133,Indonesia,IDN,189,202.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-13.0
140,2007-10-24T00:00:00,125,Indonesia,IDN,242,244.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
141,2007-09-19T00:00:00,126,Indonesia,IDN,244,198.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,46.0
142,2007-07-18T00:00:00,127,Indonesia,IDN,214,143.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,71.0
143,2007-06-13T00:00:00,143,Indonesia,IDN,143,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,25.0
144,2007-08-22T00:00:00,129,Indonesia,IDN,198,214.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-16.0
145,2007-04-18T00:00:00,148,Indonesia,IDN,118,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
146,2007-05-16T00:00:00,149,Indonesia,IDN,118,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
147,2007-03-14T00:00:00,146,Indonesia,IDN,120,121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
148,2007-02-14T00:00:00,146,Indonesia,IDN,121,111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,10.0
149,2007-01-17T00:00:00,149,Indonesia,IDN,111,101.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,10.0
150,2006-12-18T00:00:00,153,Indonesia,IDN,101,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-21.0
151,2006-10-18T00:00:00,144,Indonesia,IDN,135,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,4.0
152,2006-11-22T00:00:00,144,Indonesia,IDN,122,135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-13.0
153,2006-09-13T00:00:00,139,Indonesia,IDN,131,112.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,19.0
154,2006-08-16T00:00:00,146,Indonesia,IDN,112,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-6.0
155,2006-07-12T00:00:00,139,Indonesia,IDN,118,402.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-284.0
156,2006-03-15T00:00:00,110,Indonesia,IDN,413,416.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
157,2006-05-17T00:00:00,110,Indonesia,IDN,402,407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-5.0
158,2006-04-19T00:00:00,110,Indonesia,IDN,407,413.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-6.0
159,2006-02-15T00:00:00,110,Indonesia,IDN,416,417.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
160,2005-11-21T00:00:00,103,Indonesia,IDN,455,472.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-17.0
161,2005-12-16T00:00:00,109,Indonesia,IDN,418,455.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-37.0
162,2006-01-18T00:00:00,110,Indonesia,IDN,417,418.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
163,2005-10-17T00:00:00,98,Indonesia,IDN,472,475.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
164,2005-09-12T00:00:00,96,Indonesia,IDN,475,478.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
165,2005-08-17T00:00:00,97,Indonesia,IDN,478,491.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-13.0
166,2005-07-20T00:00:00,92,Indonesia,IDN,491,494.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
167,2005-06-15T00:00:00,91,Indonesia,IDN,494,501.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-7.0
168,2005-05-18T00:00:00,90,Indonesia,IDN,501,502.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
169,2005-04-20T00:00:00,92,Indonesia,IDN,502,504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
170,2004-12-20T00:00:00,91,Indonesia,IDN,504,459.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,45.0
171,2005-03-23T00:00:00,92,Indonesia,IDN,504,504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
172,2005-01-19T00:00:00,91,Indonesia,IDN,505,504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,1.0
173,2005-02-16T00:00:00,92,Indonesia,IDN,504,505.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
174,2004-11-10T00:00:00,99,Indonesia,IDN,459,483.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-24.0
175,2004-09-01T00:00:00,92,Indonesia,IDN,484,485.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
176,2004-10-06T00:00:00,94,Indonesia,IDN,483,484.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-1.0
177,2004-07-07T00:00:00,96,Indonesia,IDN,472,462.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,10.0
178,2004-08-04T00:00:00,91,Indonesia,IDN,485,472.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,13.0
179,2004-05-12T00:00:00,95,Indonesia,IDN,464,467.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
180,2004-06-09T00:00:00,97,Indonesia,IDN,462,464.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
181,2004-03-17T00:00:00,97,Indonesia,IDN,470,473.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
182,2004-04-14T00:00:00,95,Indonesia,IDN,467,470.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-3.0
183,2004-02-18T00:00:00,92,Indonesia,IDN,473,475.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-2.0
184,2004-01-14T00:00:00,91,Indonesia,IDN,475,475.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,0.0
185,2003-12-15T00:00:00,91,Indonesia,IDN,475,489.0,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,-14.0
