,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,13,Italy,ITA,1607,1593.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,14.0
1,2018-09-20T00:00:00,20,Italy,ITA,1526,1532.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-6.0
2,2019-04-04T00:00:00,17,Italy,ITA,1550,1539.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,11.0
3,2018-12-20T00:00:00,18,Italy,ITA,1539,1539.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
4,2019-09-19T00:00:00,15,Italy,ITA,1583,1569.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,14.0
5,2019-07-25T00:00:00,16,Italy,ITA,1569,1569.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
6,2019-10-24T00:00:00,15,Italy,ITA,1593,1583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,10.0
7,2018-03-15T00:00:00,14,Italy,ITA,1062,1052.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,10.0
8,2018-10-25T00:00:00,19,Italy,ITA,1533,1526.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,7.0
9,2018-08-16T00:00:00,21,Italy,ITA,1532,1532.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
10,2019-02-07T00:00:00,18,Italy,ITA,1539,1539.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
11,2018-07-01T00:00:00,16,Italy,ITA,2009,2009.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
12,2019-06-14T00:00:00,14,Italy,ITA,1569,1550.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,19.0
13,2017-12-21T00:00:00,14,Italy,ITA,1052,1052.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
14,2018-06-07T00:00:00,19,Italy,ITA,951,947.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,4.0
15,2017-11-23T00:00:00,14,Italy,ITA,1052,1066.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-14.0
16,2018-05-17T00:00:00,20,Italy,ITA,947,947.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
17,2018-11-29T00:00:00,18,Italy,ITA,1539,1533.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,6.0
18,2018-02-15T00:00:00,14,Italy,ITA,1052,1052.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
19,2018-01-18T00:00:00,14,Italy,ITA,1052,1052.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
20,2018-04-12T00:00:00,20,Italy,ITA,947,1062.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-115.0
21,2017-10-16T00:00:00,15,Italy,ITA,1066,1035.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,31.0
22,2017-09-14T00:00:00,17,Italy,ITA,1035,1059.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-24.0
23,2017-06-01T00:00:00,12,Italy,ITA,1193,1165.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,28.0
24,2017-07-06T00:00:00,12,Italy,ITA,1059,1193.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-134.0
25,2017-08-10T00:00:00,12,Italy,ITA,1059,1059.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
26,2017-03-09T00:00:00,15,Italy,ITA,1095,1087.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,8.0
27,2017-05-04T00:00:00,12,Italy,ITA,1165,1165.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
28,2017-04-06T00:00:00,12,Italy,ITA,1165,1095.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,70.0
29,2017-02-09T00:00:00,15,Italy,ITA,1087,1083.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,4.0
30,2017-01-12T00:00:00,16,Italy,ITA,1083,1083.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
31,2016-12-22T00:00:00,16,Italy,ITA,1083,1083.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
32,2016-10-20T00:00:00,13,Italy,ITA,1082,1124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-42.0
33,2016-11-24T00:00:00,16,Italy,ITA,1083,1082.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,1.0
34,2016-09-15T00:00:00,13,Italy,ITA,1124,1155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,-31.0
35,2016-08-11T00:00:00,10,Italy,ITA,1155,1155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,0.0
