,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,188,Laos,LAO,912,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
1,2018-09-20T00:00:00,179,Laos,LAO,946,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-2.0
2,2019-04-04T00:00:00,184,Laos,LAO,923,923.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
3,2018-12-20T00:00:00,184,Laos,LAO,923,923.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
4,2019-09-19T00:00:00,187,Laos,LAO,912,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
5,2019-07-25T00:00:00,188,Laos,LAO,912,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
6,2019-10-24T00:00:00,188,Laos,LAO,912,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
7,2018-03-15T00:00:00,183,Laos,LAO,82,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
8,2018-10-25T00:00:00,181,Laos,LAO,937,946.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-9.0
9,2018-08-16T00:00:00,178,Laos,LAO,948,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
10,2019-02-07T00:00:00,184,Laos,LAO,923,923.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
11,2018-07-01T00:00:00,182,Laos,LAO,946,946.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
12,2019-06-14T00:00:00,188,Laos,LAO,912,923.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-11.0
13,2017-12-21T00:00:00,182,Laos,LAO,82,62.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,20.0
14,2018-06-07T00:00:00,178,Laos,LAO,82,80.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,2.0
15,2017-11-23T00:00:00,184,Laos,LAO,62,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-60.0
16,2018-05-17T00:00:00,179,Laos,LAO,80,80.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
17,2018-11-29T00:00:00,184,Laos,LAO,923,937.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-14.0
18,2018-02-15T00:00:00,183,Laos,LAO,82,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
19,2018-01-18T00:00:00,183,Laos,LAO,82,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
20,2018-04-12T00:00:00,179,Laos,LAO,80,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-2.0
21,2017-10-16T00:00:00,162,Laos,LAO,122,126.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-4.0
22,2017-09-14T00:00:00,166,Laos,LAO,126,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,10.0
23,2017-06-01T00:00:00,172,Laos,LAO,113,107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,6.0
24,2017-07-06T00:00:00,171,Laos,LAO,116,113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,3.0
25,2017-08-10T00:00:00,171,Laos,LAO,116,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
26,2017-03-09T00:00:00,173,Laos,LAO,116,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-18.0
27,2017-05-04T00:00:00,176,Laos,LAO,107,107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
28,2017-04-06T00:00:00,174,Laos,LAO,107,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-9.0
29,2017-02-09T00:00:00,167,Laos,LAO,134,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
30,2017-01-12T00:00:00,167,Laos,LAO,134,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
31,2016-12-22T00:00:00,167,Laos,LAO,134,130.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,4.0
32,2016-10-20T00:00:00,175,Laos,LAO,107,99.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,8.0
33,2016-11-24T00:00:00,167,Laos,LAO,130,107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,23.0
34,2016-09-15T00:00:00,176,Laos,LAO,99,107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-8.0
35,2016-08-11T00:00:00,177,Laos,LAO,107,107.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
36,2016-05-05T00:00:00,176,Laos,LAO,105,68.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,37.0
37,2016-07-14T00:00:00,177,Laos,LAO,107,115.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,-8.0
38,2016-03-03T00:00:00,178,Laos,LAO,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lao,0.0
