,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,137,Latvia,LVA,1079,1063.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,16.0
1,2018-09-20T00:00:00,131,Latvia,LVA,1116,1122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-6.0
2,2019-04-04T00:00:00,133,Latvia,LVA,1101,1112.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-11.0
3,2018-12-20T00:00:00,132,Latvia,LVA,1112,1112.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
4,2019-09-19T00:00:00,139,Latvia,LVA,1075,1086.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-11.0
5,2019-07-25T00:00:00,134,Latvia,LVA,1086,1086.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
6,2019-10-24T00:00:00,143,Latvia,LVA,1063,1075.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-12.0
7,2018-03-15T00:00:00,131,Latvia,LVA,231,225.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,6.0
8,2018-10-25T00:00:00,132,Latvia,LVA,1111,1116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-5.0
9,2018-08-16T00:00:00,129,Latvia,LVA,1122,1124.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-2.0
10,2019-02-07T00:00:00,131,Latvia,LVA,1112,1112.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
11,2018-07-01T00:00:00,125,Latvia,LVA,1297,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-2.0
12,2019-06-14T00:00:00,137,Latvia,LVA,1086,1101.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-15.0
13,2017-12-21T00:00:00,132,Latvia,LVA,233,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
14,2018-06-07T00:00:00,129,Latvia,LVA,230,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,13.0
15,2017-11-23T00:00:00,131,Latvia,LVA,233,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
16,2018-05-17T00:00:00,139,Latvia,LVA,217,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
17,2018-11-29T00:00:00,132,Latvia,LVA,1112,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,1.0
18,2018-02-15T00:00:00,132,Latvia,LVA,225,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-8.0
19,2018-01-18T00:00:00,131,Latvia,LVA,233,233.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
20,2018-04-12T00:00:00,139,Latvia,LVA,217,231.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-14.0
21,2017-10-16T00:00:00,129,Latvia,LVA,233,182.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,51.0
22,2017-09-14T00:00:00,148,Latvia,LVA,182,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-60.0
23,2017-06-01T00:00:00,122,Latvia,LVA,271,265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,6.0
24,2017-07-06T00:00:00,130,Latvia,LVA,242,271.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-29.0
25,2017-08-10T00:00:00,131,Latvia,LVA,242,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
26,2017-03-09T00:00:00,111,Latvia,LVA,312,306.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,6.0
27,2017-05-04T00:00:00,124,Latvia,LVA,265,265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
28,2017-04-06T00:00:00,124,Latvia,LVA,265,312.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-47.0
29,2017-02-09T00:00:00,113,Latvia,LVA,306,304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,2.0
30,2017-01-12T00:00:00,110,Latvia,LVA,304,304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
31,2016-12-22T00:00:00,111,Latvia,LVA,304,304.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
32,2016-10-20T00:00:00,116,Latvia,LVA,306,357.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-51.0
33,2016-11-24T00:00:00,112,Latvia,LVA,304,306.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-2.0
34,2016-09-15T00:00:00,95,Latvia,LVA,357,338.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,19.0
35,2016-08-11T00:00:00,110,Latvia,LVA,338,338.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
36,2016-05-05T00:00:00,107,Latvia,LVA,323,323.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
37,2016-07-14T00:00:00,109,Latvia,LVA,338,330.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,8.0
38,2016-03-03T00:00:00,98,Latvia,LVA,341,338.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,3.0
39,2016-04-07T00:00:00,108,Latvia,LVA,323,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-18.0
40,2016-02-04T00:00:00,100,Latvia,LVA,338,338.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
41,2016-06-02T00:00:00,104,Latvia,LVA,330,323.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,7.0
42,2016-01-07T00:00:00,102,Latvia,LVA,338,338.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
43,2015-12-03T00:00:00,101,Latvia,LVA,338,342.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-4.0
44,2015-11-05T00:00:00,99,Latvia,LVA,342,335.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,7.0
45,2015-10-01T00:00:00,103,Latvia,LVA,335,366.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-31.0
46,2015-09-03T00:00:00,90,Latvia,LVA,366,377.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-11.0
47,2015-08-06T00:00:00,86,Latvia,LVA,377,377.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
48,2015-05-07T00:00:00,85,Latvia,LVA,387,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
49,2015-07-09T00:00:00,87,Latvia,LVA,377,390.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-13.0
50,2015-03-12T00:00:00,95,Latvia,LVA,361,342.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,19.0
51,2015-04-09T00:00:00,85,Latvia,LVA,387,361.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,26.0
52,2015-06-04T00:00:00,82,Latvia,LVA,390,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,3.0
53,2015-02-12T00:00:00,100,Latvia,LVA,342,339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,3.0
54,2015-01-08T00:00:00,96,Latvia,LVA,339,339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
55,2014-10-23T00:00:00,99,Latvia,LVA,340,333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,7.0
56,2014-12-18T00:00:00,96,Latvia,LVA,339,339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
57,2014-11-27T00:00:00,97,Latvia,LVA,339,340.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-1.0
58,2014-09-18T00:00:00,99,Latvia,LVA,333,324.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,9.0
59,2014-08-14T00:00:00,100,Latvia,LVA,324,314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,10.0
60,2014-07-17T00:00:00,103,Latvia,LVA,314,293.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,21.0
61,2014-05-08T00:00:00,109,Latvia,LVA,273,273.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
62,2014-06-05T00:00:00,109,Latvia,LVA,293,273.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,20.0
63,2014-04-10T00:00:00,109,Latvia,LVA,273,265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,8.0
64,2014-03-13T00:00:00,113,Latvia,LVA,265,282.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-17.0
65,2013-12-19T00:00:00,116,Latvia,LVA,272,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
66,2014-02-13T00:00:00,111,Latvia,LVA,282,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,10.0
67,2014-01-16T00:00:00,116,Latvia,LVA,272,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
68,2013-11-28T00:00:00,119,Latvia,LVA,272,277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-5.0
69,2013-10-17T00:00:00,117,Latvia,LVA,277,288.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-11.0
70,2013-09-12T00:00:00,115,Latvia,LVA,288,280.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,8.0
71,2013-07-04T00:00:00,119,Latvia,LVA,280,287.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-7.0
72,2013-06-06T00:00:00,119,Latvia,LVA,287,322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,-35.0
73,2013-05-09T00:00:00,110,Latvia,LVA,322,322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/lva,0.0
