,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,131,Lithuania,LTU,1089,1086.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,3.0
1,2018-09-20T00:00:00,126,Lithuania,LTU,1123,1130.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-7.0
2,2019-04-04T00:00:00,132,Lithuania,LTU,1102,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-9.0
3,2018-12-20T00:00:00,133,Lithuania,LTU,1111,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
4,2019-09-19T00:00:00,131,Lithuania,LTU,1094,1101.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-7.0
5,2019-07-25T00:00:00,130,Lithuania,LTU,1101,1101.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
6,2019-10-24T00:00:00,132,Lithuania,LTU,1086,1094.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-8.0
7,2018-03-15T00:00:00,147,Lithuania,LTU,182,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,3.0
8,2018-10-25T00:00:00,129,Lithuania,LTU,1117,1123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-6.0
9,2018-08-16T00:00:00,127,Lithuania,LTU,1130,1132.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-2.0
10,2019-02-07T00:00:00,132,Lithuania,LTU,1111,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
11,2018-07-01T00:00:00,125,Lithuania,LTU,1297,1298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-1.0
12,2019-06-14T00:00:00,132,Lithuania,LTU,1101,1102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-1.0
13,2017-12-21T00:00:00,149,Lithuania,LTU,179,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
14,2018-06-07T00:00:00,126,Lithuania,LTU,239,229.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,10.0
15,2017-11-23T00:00:00,148,Lithuania,LTU,179,190.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-11.0
16,2018-05-17T00:00:00,133,Lithuania,LTU,229,229.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
17,2018-11-29T00:00:00,133,Lithuania,LTU,1111,1117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-6.0
18,2018-02-15T00:00:00,147,Lithuania,LTU,179,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
19,2018-01-18T00:00:00,147,Lithuania,LTU,179,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,0.0
20,2018-04-12T00:00:00,133,Lithuania,LTU,229,182.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,47.0
21,2017-10-16T00:00:00,145,Lithuania,LTU,190,266.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-76.0
22,2017-09-14T00:00:00,120,Lithuania,LTU,266,333.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-67.0
23,2017-06-01T00:00:00,104,Lithuania,LTU,327,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ltu,-4.0
