,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,91,Madagascar,MAD,1267,1249.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,18.0
1,2018-09-20T00:00:00,106,Madagascar,MAD,1205,1199.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,6.0
2,2019-04-04T00:00:00,107,Madagascar,MAD,1203,1209.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-6.0
3,2018-12-20T00:00:00,106,Madagascar,MAD,1209,1209.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
4,2019-09-19T00:00:00,95,Madagascar,MAD,1249,1251.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-2.0
5,2019-07-25T00:00:00,96,Madagascar,MAD,1251,1198.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,53.0
6,2019-10-24T00:00:00,95,Madagascar,MAD,1249,1249.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
7,2018-03-15T00:00:00,109,Madagascar,MAD,309,309.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
8,2018-10-25T00:00:00,100,Madagascar,MAD,1224,1205.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,19.0
9,2018-08-16T00:00:00,107,Madagascar,MAD,1199,1204.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-5.0
10,2019-02-07T00:00:00,107,Madagascar,MAD,1209,1209.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
11,2018-07-01T00:00:00,104,Madagascar,MAD,1414,1420.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-6.0
12,2019-06-14T00:00:00,108,Madagascar,MAD,1198,1203.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-5.0
13,2017-12-21T00:00:00,108,Madagascar,MAD,309,309.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
14,2018-06-07T00:00:00,106,Madagascar,MAD,308,284.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,24.0
15,2017-11-23T00:00:00,108,Madagascar,MAD,309,332.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-23.0
16,2018-05-17T00:00:00,114,Madagascar,MAD,284,293.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-9.0
17,2018-11-29T00:00:00,106,Madagascar,MAD,1209,1224.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-15.0
18,2018-02-15T00:00:00,108,Madagascar,MAD,309,309.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
19,2018-01-18T00:00:00,109,Madagascar,MAD,309,309.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
20,2018-04-12T00:00:00,111,Madagascar,MAD,293,309.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-16.0
21,2017-10-16T00:00:00,103,Madagascar,MAD,332,343.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-11.0
22,2017-09-14T00:00:00,101,Madagascar,MAD,343,370.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-27.0
23,2017-06-01T00:00:00,97,Madagascar,MAD,341,302.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,39.0
24,2017-07-06T00:00:00,89,Madagascar,MAD,380,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,39.0
25,2017-08-10T00:00:00,90,Madagascar,MAD,370,380.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-10.0
26,2017-03-09T00:00:00,137,Madagascar,MAD,220,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
27,2017-05-04T00:00:00,111,Madagascar,MAD,302,276.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,26.0
28,2017-04-06T00:00:00,120,Madagascar,MAD,276,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,56.0
29,2017-02-09T00:00:00,135,Madagascar,MAD,220,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
30,2017-01-12T00:00:00,135,Madagascar,MAD,220,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
31,2016-12-22T00:00:00,133,Madagascar,MAD,220,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
32,2016-10-20T00:00:00,133,Madagascar,MAD,243,269.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-26.0
33,2016-11-24T00:00:00,136,Madagascar,MAD,220,243.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-23.0
34,2016-09-15T00:00:00,131,Madagascar,MAD,269,273.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-4.0
35,2016-08-11T00:00:00,129,Madagascar,MAD,273,273.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
36,2016-05-05T00:00:00,137,Madagascar,MAD,257,257.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
37,2016-07-14T00:00:00,131,Madagascar,MAD,273,317.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-44.0
38,2016-03-03T00:00:00,130,Madagascar,MAD,272,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
39,2016-04-07T00:00:00,138,Madagascar,MAD,257,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-15.0
40,2016-02-04T00:00:00,129,Madagascar,MAD,272,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
41,2016-06-02T00:00:00,108,Madagascar,MAD,317,257.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,60.0
42,2016-01-07T00:00:00,129,Madagascar,MAD,272,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
43,2015-12-03T00:00:00,128,Madagascar,MAD,272,290.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-18.0
44,2015-11-05T00:00:00,118,Madagascar,MAD,290,262.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,28.0
45,2015-10-01T00:00:00,127,Madagascar,MAD,262,251.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,11.0
46,2015-09-03T00:00:00,121,Madagascar,MAD,251,251.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
47,2015-08-06T00:00:00,122,Madagascar,MAD,251,250.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,1.0
48,2015-05-07T00:00:00,150,Madagascar,MAD,156,156.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
49,2015-07-09T00:00:00,122,Madagascar,MAD,250,278.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-28.0
50,2015-03-12T00:00:00,147,Madagascar,MAD,163,166.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-3.0
51,2015-04-09T00:00:00,150,Madagascar,MAD,156,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-7.0
52,2015-06-04T00:00:00,113,Madagascar,MAD,278,156.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,122.0
53,2015-02-12T00:00:00,148,Madagascar,MAD,166,166.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
54,2015-01-08T00:00:00,147,Madagascar,MAD,166,166.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
55,2014-10-23T00:00:00,143,Madagascar,MAD,180,180.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
56,2014-12-18T00:00:00,147,Madagascar,MAD,166,166.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,0.0
57,2014-11-27T00:00:00,148,Madagascar,MAD,166,180.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,-14.0
58,2014-09-18T00:00:00,146,Madagascar,MAD,180,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mad,1.0
