,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,64,Montenegro,MNE,1365,1371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-6.0
1,2018-09-20T00:00:00,41,Montenegro,MNE,1444,1440.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,4.0
2,2019-04-04T00:00:00,51,Montenegro,MNE,1419,1427.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-8.0
3,2018-12-20T00:00:00,44,Montenegro,MNE,1427,1427.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
4,2019-09-19T00:00:00,59,Montenegro,MNE,1389,1401.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-12.0
5,2019-07-25T00:00:00,55,Montenegro,MNE,1401,1401.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
6,2019-10-24T00:00:00,61,Montenegro,MNE,1371,1389.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-18.0
7,2018-03-15T00:00:00,46,Montenegro,MNE,675,681.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-6.0
8,2018-10-25T00:00:00,39,Montenegro,MNE,1440,1444.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-4.0
9,2018-08-16T00:00:00,41,Montenegro,MNE,1440,1440.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
10,2019-02-07T00:00:00,46,Montenegro,MNE,1427,1427.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
11,2018-07-01T00:00:00,52,Montenegro,MNE,1750,1750.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
12,2019-06-14T00:00:00,53,Montenegro,MNE,1401,1419.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-18.0
13,2017-12-21T00:00:00,46,Montenegro,MNE,681,681.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
14,2018-06-07T00:00:00,43,Montenegro,MNE,652,671.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-19.0
15,2017-11-23T00:00:00,46,Montenegro,MNE,681,640.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,41.0
16,2018-05-17T00:00:00,43,Montenegro,MNE,671,671.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
17,2018-11-29T00:00:00,44,Montenegro,MNE,1427,1440.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-13.0
18,2018-02-15T00:00:00,44,Montenegro,MNE,681,681.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
19,2018-01-18T00:00:00,46,Montenegro,MNE,681,681.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
20,2018-04-12T00:00:00,43,Montenegro,MNE,671,675.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-4.0
21,2017-10-16T00:00:00,54,Montenegro,MNE,640,749.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-109.0
22,2017-09-14T00:00:00,37,Montenegro,MNE,749,643.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,106.0
23,2017-06-01T00:00:00,52,Montenegro,MNE,647,560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,87.0
24,2017-07-06T00:00:00,54,Montenegro,MNE,643,647.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-4.0
25,2017-08-10T00:00:00,52,Montenegro,MNE,643,643.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
26,2017-03-09T00:00:00,64,Montenegro,MNE,546,549.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,-3.0
27,2017-05-04T00:00:00,62,Montenegro,MNE,560,560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
28,2017-04-06T00:00:00,62,Montenegro,MNE,560,546.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,14.0
29,2017-02-09T00:00:00,64,Montenegro,MNE,549,549.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
30,2017-01-12T00:00:00,63,Montenegro,MNE,549,549.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mne,0.0
