,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,136,Myanmar,MYA,1081,1055.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,26.0
1,2018-09-20T00:00:00,138,Myanmar,MYA,1092,1092.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
2,2019-04-04T00:00:00,140,Myanmar,MYA,1080,1085.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-5.0
3,2018-12-20T00:00:00,139,Myanmar,MYA,1085,1085.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
4,2019-09-19T00:00:00,145,Myanmar,MYA,1064,1084.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-20.0
5,2019-07-25T00:00:00,135,Myanmar,MYA,1084,1084.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
6,2019-10-24T00:00:00,147,Myanmar,MYA,1055,1064.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-9.0
7,2018-03-15T00:00:00,142,Myanmar,MYA,203,203.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
8,2018-10-25T00:00:00,141,Myanmar,MYA,1080,1092.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-12.0
9,2018-08-16T00:00:00,138,Myanmar,MYA,1092,1092.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
10,2019-02-07T00:00:00,138,Myanmar,MYA,1085,1085.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
11,2018-07-01T00:00:00,144,Myanmar,MYA,1199,1199.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
12,2019-06-14T00:00:00,138,Myanmar,MYA,1084,1080.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,4.0
13,2017-12-21T00:00:00,140,Myanmar,MYA,203,176.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,27.0
14,2018-06-07T00:00:00,138,Myanmar,MYA,206,227.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-21.0
15,2017-11-23T00:00:00,150,Myanmar,MYA,176,166.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,10.0
16,2018-05-17T00:00:00,135,Myanmar,MYA,227,227.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
17,2018-11-29T00:00:00,139,Myanmar,MYA,1085,1080.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,5.0
18,2018-02-15T00:00:00,142,Myanmar,MYA,203,203.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
19,2018-01-18T00:00:00,140,Myanmar,MYA,203,203.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
20,2018-04-12T00:00:00,135,Myanmar,MYA,227,203.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,24.0
21,2017-10-16T00:00:00,155,Myanmar,MYA,166,172.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-6.0
22,2017-09-14T00:00:00,152,Myanmar,MYA,172,157.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,15.0
23,2017-06-01T00:00:00,163,Myanmar,MYA,132,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,12.0
24,2017-07-06T00:00:00,157,Myanmar,MYA,157,132.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,25.0
25,2017-08-10T00:00:00,157,Myanmar,MYA,157,157.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
26,2017-03-09T00:00:00,172,Myanmar,MYA,120,150.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-30.0
27,2017-05-04T00:00:00,166,Myanmar,MYA,120,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
28,2017-04-06T00:00:00,166,Myanmar,MYA,120,120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
29,2017-02-09T00:00:00,159,Myanmar,MYA,150,148.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,2.0
30,2017-01-12T00:00:00,159,Myanmar,MYA,148,148.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
31,2016-12-22T00:00:00,159,Myanmar,MYA,148,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,17.0
32,2016-10-20T00:00:00,156,Myanmar,MYA,165,184.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-19.0
33,2016-11-24T00:00:00,166,Myanmar,MYA,131,165.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-34.0
34,2016-09-15T00:00:00,153,Myanmar,MYA,184,167.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,17.0
35,2016-08-11T00:00:00,159,Myanmar,MYA,167,167.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
36,2016-05-05T00:00:00,167,Myanmar,MYA,147,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
37,2016-07-14T00:00:00,160,Myanmar,MYA,167,161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,6.0
38,2016-03-03T00:00:00,154,Myanmar,MYA,169,185.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-16.0
39,2016-04-07T00:00:00,166,Myanmar,MYA,147,169.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-22.0
40,2016-02-04T00:00:00,153,Myanmar,MYA,185,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,30.0
41,2016-06-02T00:00:00,161,Myanmar,MYA,161,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,14.0
42,2016-01-07T00:00:00,158,Myanmar,MYA,155,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
43,2015-12-03T00:00:00,158,Myanmar,MYA,155,157.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-2.0
44,2015-11-05T00:00:00,161,Myanmar,MYA,157,147.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,10.0
45,2015-10-01T00:00:00,163,Myanmar,MYA,147,142.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,5.0
46,2015-09-03T00:00:00,162,Myanmar,MYA,142,142.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
47,2015-08-06T00:00:00,162,Myanmar,MYA,142,145.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,-3.0
48,2015-05-07T00:00:00,158,Myanmar,MYA,133,133.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mya,0.0
