,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,14,Netherlands,NED,1604,1602.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,2.0
1,2018-09-20T00:00:00,17,Netherlands,NED,1540,1540.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
2,2019-04-04T00:00:00,16,Netherlands,NED,1554,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,-6.0
3,2018-12-20T00:00:00,14,Netherlands,NED,1560,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
4,2019-09-19T00:00:00,13,Netherlands,NED,1586,1569.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,17.0
5,2019-07-25T00:00:00,16,Netherlands,NED,1569,1569.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
6,2019-10-24T00:00:00,12,Netherlands,NED,1602,1586.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,16.0
7,2018-03-15T00:00:00,21,Netherlands,NED,964,952.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,12.0
8,2018-10-25T00:00:00,15,Netherlands,NED,1550,1540.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,10.0
9,2018-08-16T00:00:00,17,Netherlands,NED,1540,1540.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
10,2019-02-07T00:00:00,14,Netherlands,NED,1560,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
11,2018-07-01T00:00:00,20,Netherlands,NED,1959,1959.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
12,2019-06-14T00:00:00,14,Netherlands,NED,1569,1554.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,15.0
13,2017-12-21T00:00:00,20,Netherlands,NED,952,952.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,0.0
14,2018-06-07T00:00:00,17,Netherlands,NED,981,969.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,12.0
15,2017-11-23T00:00:00,20,Netherlands,NED,952,931.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,21.0
