,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,150,Nicaragua,NCA,1050,1077.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-27.0
1,2018-09-20T00:00:00,128,Nicaragua,NCA,1121,1116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,5.0
2,2019-04-04T00:00:00,129,Nicaragua,NCA,1120,1119.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,1.0
3,2018-12-20T00:00:00,129,Nicaragua,NCA,1119,1119.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
4,2019-09-19T00:00:00,148,Nicaragua,NCA,1059,1075.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-16.0
5,2019-07-25T00:00:00,137,Nicaragua,NCA,1075,1118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-43.0
6,2019-10-24T00:00:00,137,Nicaragua,NCA,1077,1059.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,18.0
7,2018-03-15T00:00:00,116,Nicaragua,NCA,277,279.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-2.0
8,2018-10-25T00:00:00,127,Nicaragua,NCA,1125,1121.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,4.0
9,2018-08-16T00:00:00,132,Nicaragua,NCA,1116,1116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
10,2019-02-07T00:00:00,128,Nicaragua,NCA,1119,1119.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
11,2018-07-01T00:00:00,124,Nicaragua,NCA,1299,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
12,2019-06-14T00:00:00,129,Nicaragua,NCA,1118,1120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-2.0
13,2017-12-21T00:00:00,119,Nicaragua,NCA,273,315.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-42.0
14,2018-06-07T00:00:00,132,Nicaragua,NCA,228,224.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,4.0
15,2017-11-23T00:00:00,106,Nicaragua,NCA,315,303.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,12.0
16,2018-05-17T00:00:00,136,Nicaragua,NCA,224,224.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
17,2018-11-29T00:00:00,129,Nicaragua,NCA,1119,1125.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-6.0
18,2018-02-15T00:00:00,117,Nicaragua,NCA,279,287.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-8.0
19,2018-01-18T00:00:00,115,Nicaragua,NCA,287,273.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,14.0
20,2018-04-12T00:00:00,136,Nicaragua,NCA,224,277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-53.0
21,2017-10-16T00:00:00,108,Nicaragua,NCA,303,307.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-4.0
22,2017-09-14T00:00:00,109,Nicaragua,NCA,307,295.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,12.0
23,2017-06-01T00:00:00,100,Nicaragua,NCA,331,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
24,2017-07-06T00:00:00,105,Nicaragua,NCA,312,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-19.0
25,2017-08-10T00:00:00,109,Nicaragua,NCA,295,312.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-17.0
26,2017-03-09T00:00:00,118,Nicaragua,NCA,292,292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
27,2017-05-04T00:00:00,100,Nicaragua,NCA,331,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,0.0
28,2017-04-06T00:00:00,101,Nicaragua,NCA,331,292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,39.0
29,2017-02-09T00:00:00,117,Nicaragua,NCA,292,299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-7.0
30,2017-01-12T00:00:00,111,Nicaragua,NCA,299,262.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,37.0
31,2016-12-22T00:00:00,124,Nicaragua,NCA,262,346.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-84.0
32,2016-10-20T00:00:00,107,Nicaragua,NCA,325,330.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,-5.0
33,2016-11-24T00:00:00,99,Nicaragua,NCA,346,325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nca,21.0
