,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,44,Norway,NOR,1451,1441.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,10.0
1,2018-09-20T00:00:00,52,Norway,NOR,1405,1406.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,-1.0
2,2019-04-04T00:00:00,50,Norway,NOR,1420,1425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,-5.0
3,2018-12-20T00:00:00,46,Norway,NOR,1425,1425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
4,2019-09-19T00:00:00,47,Norway,NOR,1435,1429.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,6.0
5,2019-07-25T00:00:00,50,Norway,NOR,1429,1429.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
6,2019-10-24T00:00:00,45,Norway,NOR,1441,1435.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,6.0
7,2018-03-15T00:00:00,57,Norway,NOR,578,577.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,1.0
8,2018-10-25T00:00:00,48,Norway,NOR,1420,1405.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,15.0
9,2018-08-16T00:00:00,53,Norway,NOR,1406,1404.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,2.0
10,2019-02-07T00:00:00,48,Norway,NOR,1425,1425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
11,2018-07-01T00:00:00,61,Norway,NOR,1711,1709.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,2.0
12,2019-06-14T00:00:00,47,Norway,NOR,1429,1420.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,9.0
13,2017-12-21T00:00:00,59,Norway,NOR,573,573.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
14,2018-06-07T00:00:00,53,Norway,NOR,596,608.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,-12.0
15,2017-11-23T00:00:00,58,Norway,NOR,573,620.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,-47.0
16,2018-05-17T00:00:00,48,Norway,NOR,608,608.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
17,2018-11-29T00:00:00,46,Norway,NOR,1425,1420.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,5.0
18,2018-02-15T00:00:00,56,Norway,NOR,577,572.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,5.0
19,2018-01-18T00:00:00,58,Norway,NOR,572,573.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,-1.0
20,2018-04-12T00:00:00,49,Norway,NOR,608,578.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,30.0
21,2017-10-16T00:00:00,58,Norway,NOR,620,472.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,148.0
22,2017-09-14T00:00:00,73,Norway,NOR,472,391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,81.0
23,2017-06-01T00:00:00,87,Norway,NOR,391,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,4.0
24,2017-07-06T00:00:00,88,Norway,NOR,391,391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
25,2017-08-10T00:00:00,85,Norway,NOR,391,391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
26,2017-03-09T00:00:00,81,Norway,NOR,428,426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,2.0
27,2017-05-04T00:00:00,86,Norway,NOR,387,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,0.0
