,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,21,Peru,PER,1544,1548.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-4.0
1,2018-09-20T00:00:00,21,Peru,PER,1525,1535.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-10.0
2,2019-04-04T00:00:00,21,Peru,PER,1516,1518.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-2.0
3,2018-12-20T00:00:00,20,Peru,PER,1518,1518.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
4,2019-09-19T00:00:00,19,Peru,PER,1551,1552.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-1.0
5,2019-07-25T00:00:00,19,Peru,PER,1552,1516.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,36.0
6,2019-10-24T00:00:00,19,Peru,PER,1548,1551.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-3.0
7,2018-03-15T00:00:00,11,Peru,PER,1128,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
8,2018-10-25T00:00:00,20,Peru,PER,1530,1525.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,5.0
9,2018-08-16T00:00:00,20,Peru,PER,1535,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-25.0
10,2019-02-07T00:00:00,20,Peru,PER,1518,1518.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
11,2018-07-01T00:00:00,19,Peru,PER,1975,2019.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-44.0
12,2019-06-14T00:00:00,21,Peru,PER,1516,1516.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
13,2017-12-21T00:00:00,11,Peru,PER,1128,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
14,2018-06-07T00:00:00,11,Peru,PER,1125,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,19.0
15,2017-11-23T00:00:00,11,Peru,PER,1128,1160.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-32.0
16,2018-05-17T00:00:00,11,Peru,PER,1106,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
17,2018-11-29T00:00:00,20,Peru,PER,1518,1530.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-12.0
18,2018-02-15T00:00:00,11,Peru,PER,1128,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
19,2018-01-18T00:00:00,11,Peru,PER,1128,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
20,2018-04-12T00:00:00,11,Peru,PER,1106,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-22.0
21,2017-10-16T00:00:00,10,Peru,PER,1160,1103.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,57.0
22,2017-09-14T00:00:00,12,Peru,PER,1103,1023.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,80.0
23,2017-06-01T00:00:00,15,Peru,PER,1108,1044.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,64.0
24,2017-07-06T00:00:00,14,Peru,PER,1014,1108.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-94.0
25,2017-08-10T00:00:00,15,Peru,PER,1023,1014.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,9.0
26,2017-03-09T00:00:00,18,Peru,PER,965,965.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
27,2017-05-04T00:00:00,17,Peru,PER,1044,1042.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,2.0
28,2017-04-06T00:00:00,17,Peru,PER,1042,965.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,77.0
29,2017-02-09T00:00:00,18,Peru,PER,965,965.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
30,2017-01-12T00:00:00,19,Peru,PER,965,965.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
31,2016-12-22T00:00:00,19,Peru,PER,965,965.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
32,2016-10-20T00:00:00,23,Peru,PER,865,841.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,24.0
33,2016-11-24T00:00:00,19,Peru,PER,965,865.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,100.0
34,2016-09-15T00:00:00,25,Peru,PER,841,777.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,64.0
35,2016-08-11T00:00:00,33,Peru,PER,777,765.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,12.0
36,2016-05-05T00:00:00,46,Peru,PER,631,625.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,6.0
37,2016-07-14T00:00:00,34,Peru,PER,765,623.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,142.0
38,2016-03-03T00:00:00,42,Peru,PER,646,644.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,2.0
39,2016-04-07T00:00:00,46,Peru,PER,625,646.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-21.0
40,2016-02-04T00:00:00,43,Peru,PER,644,644.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
41,2016-06-02T00:00:00,48,Peru,PER,623,631.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-8.0
42,2016-01-07T00:00:00,47,Peru,PER,644,644.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
43,2015-12-03T00:00:00,47,Peru,PER,644,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,61.0
44,2015-11-05T00:00:00,57,Peru,PER,583,623.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-40.0
45,2015-10-01T00:00:00,50,Peru,PER,623,628.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-5.0
46,2015-09-03T00:00:00,48,Peru,PER,628,612.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,16.0
47,2015-08-06T00:00:00,49,Peru,PER,612,635.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-23.0
48,2015-05-07T00:00:00,63,Peru,PER,532,526.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,6.0
49,2015-07-09T00:00:00,46,Peru,PER,635,546.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,89.0
50,2015-03-12T00:00:00,59,Peru,PER,565,566.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-1.0
51,2015-04-09T00:00:00,64,Peru,PER,526,565.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-39.0
52,2015-06-04T00:00:00,61,Peru,PER,546,532.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,14.0
53,2015-02-12T00:00:00,59,Peru,PER,566,565.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,1.0
54,2015-01-08T00:00:00,53,Peru,PER,565,565.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
55,2014-10-23T00:00:00,54,Peru,PER,558,563.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-5.0
56,2014-12-18T00:00:00,53,Peru,PER,565,565.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
57,2014-11-27T00:00:00,52,Peru,PER,565,558.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,7.0
58,2014-09-18T00:00:00,47,Peru,PER,563,522.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,41.0
59,2014-08-14T00:00:00,52,Peru,PER,522,487.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,35.0
60,2014-07-17T00:00:00,59,Peru,PER,487,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-140.0
61,2014-05-08T00:00:00,42,Peru,PER,665,653.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,12.0
62,2014-06-05T00:00:00,45,Peru,PER,627,665.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-38.0
63,2014-04-10T00:00:00,43,Peru,PER,653,703.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-50.0
64,2014-03-13T00:00:00,40,Peru,PER,703,704.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-1.0
65,2013-12-19T00:00:00,39,Peru,PER,698,698.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
66,2014-02-13T00:00:00,41,Peru,PER,704,698.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,6.0
67,2014-01-16T00:00:00,42,Peru,PER,698,698.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
68,2013-11-28T00:00:00,39,Peru,PER,698,686.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,12.0
69,2013-10-17T00:00:00,39,Peru,PER,686,732.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-46.0
70,2013-09-12T00:00:00,34,Peru,PER,732,855.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-123.0
71,2013-07-04T00:00:00,19,Peru,PER,898,791.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,107.0
72,2013-06-06T00:00:00,30,Peru,PER,791,753.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,38.0
73,2013-05-09T00:00:00,32,Peru,PER,753,752.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,1.0
74,2013-08-08T00:00:00,22,Peru,PER,855,898.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-43.0
75,2013-02-14T00:00:00,39,Peru,PER,634,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,31.0
76,2013-03-14T00:00:00,41,Peru,PER,624,634.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-10.0
77,2013-04-11T00:00:00,32,Peru,PER,752,624.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,128.0
78,2013-01-17T00:00:00,43,Peru,PER,603,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
79,2012-11-07T00:00:00,44,Peru,PER,611,681.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-70.0
80,2012-09-05T00:00:00,51,Peru,PER,587,607.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-20.0
81,2012-10-03T00:00:00,37,Peru,PER,681,587.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,94.0
82,2012-12-19T00:00:00,46,Peru,PER,603,611.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-8.0
83,2012-07-04T00:00:00,32,Peru,PER,712,688.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,24.0
84,2012-08-08T00:00:00,47,Peru,PER,607,712.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-105.0
85,2012-05-09T00:00:00,36,Peru,PER,691,719.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-28.0
86,2012-06-06T00:00:00,37,Peru,PER,688,691.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-3.0
87,2012-04-11T00:00:00,34,Peru,PER,719,720.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-1.0
88,2012-03-07T00:00:00,34,Peru,PER,720,743.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-23.0
89,2012-02-15T00:00:00,33,Peru,PER,743,712.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,31.0
90,2012-01-18T00:00:00,34,Peru,PER,712,712.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
91,2011-11-23T00:00:00,35,Peru,PER,712,746.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-34.0
92,2011-12-21T00:00:00,35,Peru,PER,712,712.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
93,2011-10-19T00:00:00,32,Peru,PER,746,724.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,22.0
94,2011-09-21T00:00:00,35,Peru,PER,724,806.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-82.0
95,2011-07-27T00:00:00,25,Peru,PER,805,583.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,222.0
96,2011-06-29T00:00:00,49,Peru,PER,584,548.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,36.0
97,2011-05-18T00:00:00,54,Peru,PER,548,548.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
98,2011-04-13T00:00:00,54,Peru,PER,548,530.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,18.0
99,2011-08-24T00:00:00,26,Peru,PER,806,805.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,1.0
100,2011-01-12T00:00:00,66,Peru,PER,486,486.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
101,2011-02-02T00:00:00,68,Peru,PER,486,486.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
102,2011-03-09T00:00:00,59,Peru,PER,530,486.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,44.0
103,2010-12-15T00:00:00,68,Peru,PER,486,538.0,https://api.fifa.com/api/v1/picture/flags-sq-4/per,-52.0
