,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,38,Russia,RUS,1470,1474.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-4.0
1,2018-09-20T00:00:00,46,Russia,RUS,1423,1410.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,13.0
2,2019-04-04T00:00:00,46,Russia,RUS,1425,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,1.0
3,2018-12-20T00:00:00,48,Russia,RUS,1424,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
4,2019-09-19T00:00:00,42,Russia,RUS,1455,1436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,19.0
5,2019-07-25T00:00:00,46,Russia,RUS,1436,1436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
6,2019-10-24T00:00:00,37,Russia,RUS,1474,1455.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,19.0
7,2018-03-15T00:00:00,63,Russia,RUS,531,534.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-3.0
8,2018-10-25T00:00:00,41,Russia,RUS,1433,1423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,10.0
9,2018-08-16T00:00:00,49,Russia,RUS,1410,1340.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,70.0
10,2019-02-07T00:00:00,50,Russia,RUS,1424,1424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
11,2018-07-01T00:00:00,49,Russia,RUS,1758,1707.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,51.0
12,2019-06-14T00:00:00,43,Russia,RUS,1436,1425.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,11.0
13,2017-12-21T00:00:00,64,Russia,RUS,534,534.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
14,2018-06-07T00:00:00,70,Russia,RUS,457,493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-36.0
15,2017-11-23T00:00:00,65,Russia,RUS,534,563.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-29.0
16,2018-05-17T00:00:00,66,Russia,RUS,493,493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
17,2018-11-29T00:00:00,48,Russia,RUS,1424,1433.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-9.0
18,2018-02-15T00:00:00,61,Russia,RUS,534,534.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
19,2018-01-18T00:00:00,62,Russia,RUS,534,534.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
20,2018-04-12T00:00:00,66,Russia,RUS,493,531.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-38.0
21,2017-10-16T00:00:00,65,Russia,RUS,563,558.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,5.0
22,2017-09-14T00:00:00,64,Russia,RUS,558,590.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-32.0
23,2017-06-01T00:00:00,63,Russia,RUS,561,561.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
24,2017-07-06T00:00:00,62,Russia,RUS,590,561.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,29.0
25,2017-08-10T00:00:00,62,Russia,RUS,590,590.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
26,2017-03-09T00:00:00,60,Russia,RUS,591,592.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-1.0
27,2017-05-04T00:00:00,61,Russia,RUS,561,561.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
28,2017-04-06T00:00:00,61,Russia,RUS,561,591.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-30.0
29,2017-02-09T00:00:00,61,Russia,RUS,592,592.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
30,2017-01-12T00:00:00,56,Russia,RUS,592,592.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
31,2016-12-22T00:00:00,56,Russia,RUS,592,592.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
32,2016-10-20T00:00:00,53,Russia,RUS,594,685.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-91.0
33,2016-11-24T00:00:00,55,Russia,RUS,592,594.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-2.0
34,2016-09-15T00:00:00,38,Russia,RUS,685,728.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-43.0
35,2016-08-11T00:00:00,38,Russia,RUS,728,728.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
36,2016-05-05T00:00:00,27,Russia,RUS,821,821.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,0.0
37,2016-07-14T00:00:00,38,Russia,RUS,728,828.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-100.0
38,2016-03-03T00:00:00,23,Russia,RUS,892,895.0,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-3.0
