,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,67,Saudi Arabia,KSA,1351,1339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,12.0
1,2018-09-20T00:00:00,71,Saudi Arabia,KSA,1337,1336.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,1.0
2,2019-04-04T00:00:00,72,Saudi Arabia,KSA,1342,1344.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-2.0
3,2018-12-20T00:00:00,69,Saudi Arabia,KSA,1335,1335.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
4,2019-09-19T00:00:00,70,Saudi Arabia,KSA,1336,1342.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-6.0
5,2019-07-25T00:00:00,68,Saudi Arabia,KSA,1342,1342.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
6,2019-10-24T00:00:00,69,Saudi Arabia,KSA,1339,1336.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,3.0
7,2018-03-15T00:00:00,69,Saudi Arabia,KSA,494,522.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-28.0
8,2018-10-25T00:00:00,72,Saudi Arabia,KSA,1334,1337.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-3.0
9,2018-08-16T00:00:00,70,Saudi Arabia,KSA,1336,1348.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-12.0
10,2019-02-07T00:00:00,70,Saudi Arabia,KSA,1344,1335.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,9.0
11,2018-07-01T00:00:00,67,Saudi Arabia,KSA,1639,1673.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-34.0
12,2019-06-14T00:00:00,69,Saudi Arabia,KSA,1342,1342.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
13,2017-12-21T00:00:00,63,Saudi Arabia,KSA,543,539.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,4.0
14,2018-06-07T00:00:00,67,Saudi Arabia,KSA,465,462.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,3.0
15,2017-11-23T00:00:00,63,Saudi Arabia,KSA,539,576.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-37.0
16,2018-05-17T00:00:00,67,Saudi Arabia,KSA,462,445.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,17.0
17,2018-11-29T00:00:00,69,Saudi Arabia,KSA,1335,1334.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,1.0
18,2018-02-15T00:00:00,64,Saudi Arabia,KSA,522,522.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
19,2018-01-18T00:00:00,65,Saudi Arabia,KSA,522,543.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-21.0
20,2018-04-12T00:00:00,70,Saudi Arabia,KSA,445,494.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-49.0
21,2017-10-16T00:00:00,63,Saudi Arabia,KSA,576,641.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-65.0
22,2017-09-14T00:00:00,53,Saudi Arabia,KSA,641,601.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,40.0
23,2017-06-01T00:00:00,53,Saudi Arabia,KSA,636,646.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-10.0
24,2017-07-06T00:00:00,61,Saudi Arabia,KSA,601,636.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-35.0
25,2017-08-10T00:00:00,59,Saudi Arabia,KSA,601,601.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
26,2017-03-09T00:00:00,57,Saudi Arabia,KSA,610,613.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-3.0
27,2017-05-04T00:00:00,52,Saudi Arabia,KSA,646,646.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
28,2017-04-06T00:00:00,52,Saudi Arabia,KSA,646,610.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,36.0
29,2017-02-09T00:00:00,56,Saudi Arabia,KSA,613,641.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-28.0
30,2017-01-12T00:00:00,48,Saudi Arabia,KSA,641,605.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,36.0
31,2016-12-22T00:00:00,54,Saudi Arabia,KSA,605,589.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,16.0
32,2016-10-20T00:00:00,54,Saudi Arabia,KSA,593,588.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,5.0
33,2016-11-24T00:00:00,56,Saudi Arabia,KSA,589,593.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-4.0
34,2016-09-15T00:00:00,52,Saudi Arabia,KSA,588,540.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,48.0
35,2016-08-11T00:00:00,61,Saudi Arabia,KSA,540,540.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
36,2016-05-05T00:00:00,60,Saudi Arabia,KSA,559,559.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
37,2016-07-14T00:00:00,65,Saudi Arabia,KSA,540,545.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-5.0
38,2016-03-03T00:00:00,60,Saudi Arabia,KSA,562,571.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-9.0
39,2016-04-07T00:00:00,60,Saudi Arabia,KSA,559,562.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-3.0
40,2016-02-04T00:00:00,55,Saudi Arabia,KSA,571,474.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,97.0
41,2016-06-02T00:00:00,65,Saudi Arabia,KSA,545,559.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-14.0
42,2016-01-07T00:00:00,75,Saudi Arabia,KSA,474,432.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,42.0
43,2015-12-03T00:00:00,80,Saudi Arabia,KSA,432,417.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,15.0
44,2015-11-05T00:00:00,80,Saudi Arabia,KSA,417,384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,33.0
45,2015-10-01T00:00:00,88,Saudi Arabia,KSA,384,350.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,34.0
46,2015-09-03T00:00:00,93,Saudi Arabia,KSA,350,351.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-1.0
47,2015-08-06T00:00:00,93,Saudi Arabia,KSA,351,355.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-4.0
48,2015-05-07T00:00:00,95,Saudi Arabia,KSA,349,349.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
49,2015-07-09T00:00:00,92,Saudi Arabia,KSA,355,329.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,26.0
50,2015-03-12T00:00:00,99,Saudi Arabia,KSA,339,351.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-12.0
51,2015-04-09T00:00:00,95,Saudi Arabia,KSA,349,339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,10.0
52,2015-06-04T00:00:00,98,Saudi Arabia,KSA,329,349.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-20.0
53,2015-02-12T00:00:00,98,Saudi Arabia,KSA,351,318.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,33.0
54,2015-01-08T00:00:00,102,Saudi Arabia,KSA,318,323.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-5.0
55,2014-10-23T00:00:00,97,Saudi Arabia,KSA,341,402.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-61.0
56,2014-12-18T00:00:00,102,Saudi Arabia,KSA,323,314.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,9.0
57,2014-11-27T00:00:00,106,Saudi Arabia,KSA,314,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-27.0
58,2014-09-18T00:00:00,82,Saudi Arabia,KSA,402,377.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,25.0
59,2014-08-14T00:00:00,83,Saudi Arabia,KSA,377,384.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-7.0
60,2014-07-17T00:00:00,78,Saudi Arabia,KSA,384,381.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,3.0
61,2014-05-08T00:00:00,75,Saudi Arabia,KSA,455,455.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
62,2014-06-05T00:00:00,90,Saudi Arabia,KSA,381,455.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-74.0
63,2014-04-10T00:00:00,75,Saudi Arabia,KSA,455,453.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,2.0
64,2014-03-13T00:00:00,75,Saudi Arabia,KSA,453,450.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,3.0
65,2013-12-19T00:00:00,87,Saudi Arabia,KSA,391,352.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,39.0
66,2014-02-13T00:00:00,75,Saudi Arabia,KSA,450,487.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-37.0
67,2014-01-16T00:00:00,73,Saudi Arabia,KSA,487,391.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,96.0
68,2013-11-28T00:00:00,99,Saudi Arabia,KSA,352,338.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,14.0
69,2013-10-17T00:00:00,101,Saudi Arabia,KSA,338,307.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,31.0
70,2013-09-12T00:00:00,109,Saudi Arabia,KSA,307,316.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-9.0
71,2013-07-04T00:00:00,105,Saudi Arabia,KSA,315,323.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-8.0
72,2013-06-06T00:00:00,108,Saudi Arabia,KSA,323,324.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-1.0
73,2013-05-09T00:00:00,108,Saudi Arabia,KSA,324,324.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
74,2013-08-08T00:00:00,107,Saudi Arabia,KSA,316,315.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,1.0
75,2013-02-14T00:00:00,108,Saudi Arabia,KSA,328,277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,51.0
76,2013-03-14T00:00:00,106,Saudi Arabia,KSA,327,328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-1.0
77,2013-04-11T00:00:00,108,Saudi Arabia,KSA,324,327.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-3.0
78,2013-01-17T00:00:00,118,Saudi Arabia,KSA,277,264.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,13.0
79,2012-11-07T00:00:00,112,Saudi Arabia,KSA,313,303.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,10.0
80,2012-09-05T00:00:00,105,Saudi Arabia,KSA,328,329.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-1.0
81,2012-10-03T00:00:00,113,Saudi Arabia,KSA,303,328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-25.0
82,2012-12-19T00:00:00,126,Saudi Arabia,KSA,264,313.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-49.0
83,2012-07-04T00:00:00,101,Saudi Arabia,KSA,339,369.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-30.0
84,2012-08-08T00:00:00,104,Saudi Arabia,KSA,329,339.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-10.0
85,2012-05-09T00:00:00,89,Saudi Arabia,KSA,373,373.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
86,2012-06-06T00:00:00,92,Saudi Arabia,KSA,369,373.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-4.0
87,2012-04-11T00:00:00,89,Saudi Arabia,KSA,373,388.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-15.0
88,2012-03-07T00:00:00,88,Saudi Arabia,KSA,388,407.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-19.0
89,2012-02-15T00:00:00,89,Saudi Arabia,KSA,407,403.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,4.0
90,2012-01-18T00:00:00,87,Saudi Arabia,KSA,403,363.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,40.0
91,2011-11-23T00:00:00,98,Saudi Arabia,KSA,361,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,20.0
92,2011-12-21T00:00:00,96,Saudi Arabia,KSA,363,361.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,2.0
93,2011-10-19T00:00:00,98,Saudi Arabia,KSA,341,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-18.0
94,2011-09-21T00:00:00,97,Saudi Arabia,KSA,359,372.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-13.0
95,2011-07-27T00:00:00,92,Saudi Arabia,KSA,353,366.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-13.0
96,2011-06-29T00:00:00,92,Saudi Arabia,KSA,368,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-19.0
97,2011-05-18T00:00:00,88,Saudi Arabia,KSA,386,386.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,0.0
98,2011-04-13T00:00:00,88,Saudi Arabia,KSA,386,416.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-30.0
99,2011-08-24T00:00:00,87,Saudi Arabia,KSA,372,354.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,18.0
100,2011-01-12T00:00:00,78,Saudi Arabia,KSA,423,427.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-4.0
101,2011-02-02T00:00:00,81,Saudi Arabia,KSA,411,424.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,-13.0
102,2011-03-09T00:00:00,79,Saudi Arabia,KSA,417,411.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa,6.0
