,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,157,Singapore,SIN,1020,1008.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,12.0
1,2018-09-20T00:00:00,166,Singapore,SIN,982,976.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,6.0
2,2019-04-04T00:00:00,160,Singapore,SIN,998,991.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,7.0
3,2018-12-20T00:00:00,165,Singapore,SIN,991,991.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
4,2019-09-19T00:00:00,157,Singapore,SIN,1019,999.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,20.0
5,2019-07-25T00:00:00,162,Singapore,SIN,999,999.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
6,2019-10-24T00:00:00,159,Singapore,SIN,1008,1019.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-11.0
7,2018-03-15T00:00:00,171,Singapore,SIN,103,102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
8,2018-10-25T00:00:00,165,Singapore,SIN,991,982.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,9.0
9,2018-08-16T00:00:00,169,Singapore,SIN,976,976.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
10,2019-02-07T00:00:00,165,Singapore,SIN,991,991.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
11,2018-07-01T00:00:00,166,Singapore,SIN,1033,1033.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
12,2019-06-14T00:00:00,162,Singapore,SIN,999,998.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
13,2017-12-21T00:00:00,172,Singapore,SIN,101,98.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,3.0
14,2018-06-07T00:00:00,169,Singapore,SIN,99,102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-3.0
15,2017-11-23T00:00:00,170,Singapore,SIN,98,100.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-2.0
16,2018-05-17T00:00:00,172,Singapore,SIN,102,102.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
17,2018-11-29T00:00:00,165,Singapore,SIN,991,991.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
18,2018-02-15T00:00:00,173,Singapore,SIN,102,101.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
19,2018-01-18T00:00:00,173,Singapore,SIN,101,101.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
20,2018-04-12T00:00:00,172,Singapore,SIN,102,103.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-1.0
21,2017-10-16T00:00:00,173,Singapore,SIN,100,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-34.0
22,2017-09-14T00:00:00,162,Singapore,SIN,134,116.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,18.0
23,2017-06-01T00:00:00,157,Singapore,SIN,143,141.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,2.0
24,2017-07-06T00:00:00,169,Singapore,SIN,118,143.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-25.0
25,2017-08-10T00:00:00,171,Singapore,SIN,116,118.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-2.0
26,2017-03-09T00:00:00,163,Singapore,SIN,138,138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
27,2017-05-04T00:00:00,160,Singapore,SIN,141,141.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
28,2017-04-06T00:00:00,159,Singapore,SIN,141,138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,3.0
29,2017-02-09T00:00:00,164,Singapore,SIN,138,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,2.0
30,2017-01-12T00:00:00,165,Singapore,SIN,136,135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
31,2016-12-22T00:00:00,165,Singapore,SIN,135,138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-3.0
32,2016-10-20T00:00:00,171,Singapore,SIN,122,176.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-54.0
33,2016-11-24T00:00:00,162,Singapore,SIN,138,122.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,16.0
34,2016-09-15T00:00:00,155,Singapore,SIN,176,167.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,9.0
35,2016-08-11T00:00:00,159,Singapore,SIN,167,175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-8.0
36,2016-05-05T00:00:00,148,Singapore,SIN,202,202.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
37,2016-07-14T00:00:00,158,Singapore,SIN,175,207.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-32.0
38,2016-03-03T00:00:00,148,Singapore,SIN,198,196.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,2.0
39,2016-04-07T00:00:00,148,Singapore,SIN,202,198.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,4.0
40,2016-02-04T00:00:00,148,Singapore,SIN,196,196.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
41,2016-06-02T00:00:00,149,Singapore,SIN,207,202.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,5.0
42,2016-01-07T00:00:00,148,Singapore,SIN,196,195.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
43,2015-12-03T00:00:00,149,Singapore,SIN,195,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,16.0
44,2015-11-05T00:00:00,152,Singapore,SIN,179,164.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,15.0
45,2015-10-01T00:00:00,157,Singapore,SIN,164,159.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,5.0
46,2015-09-03T00:00:00,157,Singapore,SIN,159,162.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-3.0
47,2015-08-06T00:00:00,155,Singapore,SIN,162,169.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-7.0
48,2015-05-07T00:00:00,162,Singapore,SIN,130,130.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
49,2015-07-09T00:00:00,150,Singapore,SIN,169,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,33.0
50,2015-03-12T00:00:00,153,Singapore,SIN,137,136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
51,2015-04-09T00:00:00,162,Singapore,SIN,130,137.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-7.0
52,2015-06-04T00:00:00,154,Singapore,SIN,136,130.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,6.0
53,2015-02-12T00:00:00,156,Singapore,SIN,136,133.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,3.0
54,2015-01-08T00:00:00,157,Singapore,SIN,133,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,2.0
55,2014-10-23T00:00:00,161,Singapore,SIN,115,163.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-48.0
56,2014-12-18T00:00:00,157,Singapore,SIN,131,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,8.0
57,2014-11-27T00:00:00,158,Singapore,SIN,123,115.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,8.0
58,2014-09-18T00:00:00,149,Singapore,SIN,163,140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,23.0
59,2014-08-14T00:00:00,152,Singapore,SIN,140,140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
60,2014-07-17T00:00:00,154,Singapore,SIN,140,141.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-1.0
61,2014-05-08T00:00:00,147,Singapore,SIN,144,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
62,2014-06-05T00:00:00,155,Singapore,SIN,141,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-3.0
63,2014-04-10T00:00:00,145,Singapore,SIN,144,144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
64,2014-03-13T00:00:00,149,Singapore,SIN,144,152.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-8.0
65,2013-12-19T00:00:00,150,Singapore,SIN,149,140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,9.0
66,2014-02-13T00:00:00,150,Singapore,SIN,152,152.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
67,2014-01-16T00:00:00,149,Singapore,SIN,152,149.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,3.0
68,2013-11-28T00:00:00,154,Singapore,SIN,140,149.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-9.0
69,2013-10-17T00:00:00,155,Singapore,SIN,149,131.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,18.0
70,2013-09-12T00:00:00,159,Singapore,SIN,131,142.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-11.0
71,2013-07-04T00:00:00,156,Singapore,SIN,146,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,12.0
72,2013-06-06T00:00:00,165,Singapore,SIN,134,133.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
73,2013-05-09T00:00:00,165,Singapore,SIN,133,133.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
74,2013-08-08T00:00:00,155,Singapore,SIN,142,146.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-4.0
75,2013-02-14T00:00:00,158,Singapore,SIN,134,146.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-12.0
76,2013-03-14T00:00:00,162,Singapore,SIN,133,134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-1.0
77,2013-04-11T00:00:00,165,Singapore,SIN,133,133.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
78,2013-01-17T00:00:00,154,Singapore,SIN,146,146.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
79,2012-11-07T00:00:00,163,Singapore,SIN,127,126.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,1.0
80,2012-09-05T00:00:00,161,Singapore,SIN,129,125.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,4.0
81,2012-10-03T00:00:00,162,Singapore,SIN,126,129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-3.0
82,2012-12-19T00:00:00,154,Singapore,SIN,146,127.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,19.0
83,2012-07-04T00:00:00,158,Singapore,SIN,138,143.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-5.0
84,2012-08-08T00:00:00,162,Singapore,SIN,125,138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-13.0
85,2012-05-09T00:00:00,158,Singapore,SIN,145,145.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,0.0
86,2012-06-06T00:00:00,157,Singapore,SIN,143,145.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sin,-2.0
