,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,64,Slovenia,SVN,1365,1367.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-2.0
1,2018-09-20T00:00:00,61,Slovenia,SVN,1376,1392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-16.0
2,2019-04-04T00:00:00,63,Slovenia,SVN,1366,1369.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-3.0
3,2018-12-20T00:00:00,62,Slovenia,SVN,1369,1369.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,0.0
4,2019-09-19T00:00:00,58,Slovenia,SVN,1390,1363.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,27.0
5,2019-07-25T00:00:00,63,Slovenia,SVN,1363,1363.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,0.0
6,2019-10-24T00:00:00,65,Slovenia,SVN,1367,1390.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-23.0
7,2018-03-15T00:00:00,62,Slovenia,SVN,537,529.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,8.0
8,2018-10-25T00:00:00,62,Slovenia,SVN,1367,1376.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-9.0
9,2018-08-16T00:00:00,55,Slovenia,SVN,1392,1392.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,0.0
10,2019-02-07T00:00:00,63,Slovenia,SVN,1369,1369.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,0.0
11,2018-07-01T00:00:00,60,Slovenia,SVN,1719,1719.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,0.0
12,2019-06-14T00:00:00,65,Slovenia,SVN,1363,1366.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,-3.0
13,2017-12-21T00:00:00,69,Slovenia,SVN,522,522.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,0.0
14,2018-06-07T00:00:00,56,Slovenia,SVN,558,495.0,https://api.fifa.com/api/v1/picture/flags-sq-4/svn,63.0
