,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,140,St. Kitts and Nevis,SKN,1074,1076.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-2.0
1,2018-09-20T00:00:00,134,St. Kitts and Nevis,SKN,1109,1104.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,5.0
2,2019-04-04T00:00:00,135,St. Kitts and Nevis,SKN,1096,1105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-9.0
3,2018-12-20T00:00:00,136,St. Kitts and Nevis,SKN,1105,1105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
4,2019-09-19T00:00:00,136,St. Kitts and Nevis,SKN,1081,1096.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-15.0
5,2019-07-25T00:00:00,131,St. Kitts and Nevis,SKN,1096,1096.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
6,2019-10-24T00:00:00,138,St. Kitts and Nevis,SKN,1076,1081.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-5.0
7,2018-03-15T00:00:00,107,St. Kitts and Nevis,SKN,316,303.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,13.0
8,2018-10-25T00:00:00,133,St. Kitts and Nevis,SKN,1109,1109.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
9,2018-08-16T00:00:00,135,St. Kitts and Nevis,SKN,1104,1104.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
10,2019-02-07T00:00:00,134,St. Kitts and Nevis,SKN,1105,1105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
11,2018-07-01T00:00:00,130,St. Kitts and Nevis,SKN,1274,1274.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
12,2019-06-14T00:00:00,133,St. Kitts and Nevis,SKN,1096,1096.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
13,2017-12-21T00:00:00,111,St. Kitts and Nevis,SKN,303,291.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,12.0
14,2018-06-07T00:00:00,135,St. Kitts and Nevis,SKN,218,241.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-23.0
15,2017-11-23T00:00:00,113,St. Kitts and Nevis,SKN,291,303.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-12.0
16,2018-05-17T00:00:00,130,St. Kitts and Nevis,SKN,241,245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-4.0
17,2018-11-29T00:00:00,136,St. Kitts and Nevis,SKN,1105,1109.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-4.0
18,2018-02-15T00:00:00,110,St. Kitts and Nevis,SKN,303,303.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
19,2018-01-18T00:00:00,110,St. Kitts and Nevis,SKN,303,303.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
20,2018-04-12T00:00:00,126,St. Kitts and Nevis,SKN,245,316.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-71.0
21,2017-10-16T00:00:00,108,St. Kitts and Nevis,SKN,303,286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,17.0
22,2017-09-14T00:00:00,114,St. Kitts and Nevis,SKN,286,255.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,31.0
23,2017-06-01T00:00:00,89,St. Kitts and Nevis,SKN,362,334.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,28.0
24,2017-07-06T00:00:00,124,St. Kitts and Nevis,SKN,255,362.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,-107.0
25,2017-08-10T00:00:00,125,St. Kitts and Nevis,SKN,255,255.0,https://api.fifa.com/api/v1/picture/flags-sq-4/skn,0.0
