,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,167,St. Vincent and the Grenadines,VIN,986,986.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
1,2019-04-04T00:00:00,178,St. Vincent and the Grenadines,VIN,954,946.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,8.0
2,2019-09-19T00:00:00,174,St. Vincent and the Grenadines,VIN,969,954.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,15.0
3,2019-07-25T00:00:00,176,St. Vincent and the Grenadines,VIN,954,954.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
4,2019-10-24T00:00:00,168,St. Vincent and the Grenadines,VIN,986,969.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,17.0
5,2019-06-14T00:00:00,177,St. Vincent and the Grenadines,VIN,954,954.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
6,2010-03-03T00:00:00,168,St. Vincent and the Grenadines,VIN,86,82.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,4.0
7,2007-04-18T00:00:00,102,St. Vincent and the Grenadines,VIN,313,308.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,5.0
8,2007-05-16T00:00:00,100,St. Vincent and the Grenadines,VIN,318,313.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,5.0
9,2007-03-14T00:00:00,100,St. Vincent and the Grenadines,VIN,308,308.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
10,2007-02-14T00:00:00,100,St. Vincent and the Grenadines,VIN,308,285.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,23.0
11,2007-01-17T00:00:00,104,St. Vincent and the Grenadines,VIN,285,387.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-102.0
12,2006-12-18T00:00:00,85,St. Vincent and the Grenadines,VIN,387,374.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,13.0
13,2006-10-18T00:00:00,85,St. Vincent and the Grenadines,VIN,388,161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,227.0
14,2006-11-22T00:00:00,87,St. Vincent and the Grenadines,VIN,374,388.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-14.0
15,2006-09-13T00:00:00,129,St. Vincent and the Grenadines,VIN,161,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,6.0
16,2006-08-16T00:00:00,131,St. Vincent and the Grenadines,VIN,155,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
17,2006-07-12T00:00:00,129,St. Vincent and the Grenadines,VIN,155,325.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-170.0
18,2006-03-15T00:00:00,133,St. Vincent and the Grenadines,VIN,332,334.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-2.0
19,2006-05-17T00:00:00,133,St. Vincent and the Grenadines,VIN,325,328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-3.0
20,2006-04-19T00:00:00,133,St. Vincent and the Grenadines,VIN,328,332.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-4.0
21,2006-02-15T00:00:00,131,St. Vincent and the Grenadines,VIN,334,335.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
22,2005-11-21T00:00:00,126,St. Vincent and the Grenadines,VIN,358,355.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,3.0
23,2005-12-16T00:00:00,130,St. Vincent and the Grenadines,VIN,336,358.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-22.0
24,2006-01-18T00:00:00,131,St. Vincent and the Grenadines,VIN,335,336.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
25,2005-10-17T00:00:00,127,St. Vincent and the Grenadines,VIN,355,357.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-2.0
26,2005-09-12T00:00:00,128,St. Vincent and the Grenadines,VIN,357,358.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
27,2005-08-17T00:00:00,128,St. Vincent and the Grenadines,VIN,358,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
28,2005-07-20T00:00:00,128,St. Vincent and the Grenadines,VIN,359,360.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
29,2005-06-15T00:00:00,132,St. Vincent and the Grenadines,VIN,360,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,1.0
30,2005-05-18T00:00:00,133,St. Vincent and the Grenadines,VIN,359,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
31,2005-04-20T00:00:00,134,St. Vincent and the Grenadines,VIN,359,359.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
32,2004-12-20T00:00:00,137,St. Vincent and the Grenadines,VIN,337,315.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,22.0
33,2005-03-23T00:00:00,135,St. Vincent and the Grenadines,VIN,359,360.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
34,2005-01-19T00:00:00,138,St. Vincent and the Grenadines,VIN,346,337.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,9.0
35,2005-02-16T00:00:00,135,St. Vincent and the Grenadines,VIN,360,346.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,14.0
36,2004-11-10T00:00:00,146,St. Vincent and the Grenadines,VIN,315,295.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,20.0
37,2004-09-01T00:00:00,150,St. Vincent and the Grenadines,VIN,274,272.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,2.0
38,2004-10-06T00:00:00,146,St. Vincent and the Grenadines,VIN,295,274.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,21.0
39,2004-07-07T00:00:00,153,St. Vincent and the Grenadines,VIN,273,229.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,44.0
40,2004-08-04T00:00:00,151,St. Vincent and the Grenadines,VIN,272,273.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
41,2004-05-12T00:00:00,166,St. Vincent and the Grenadines,VIN,217,220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-3.0
42,2004-06-09T00:00:00,163,St. Vincent and the Grenadines,VIN,229,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,12.0
43,2004-03-17T00:00:00,164,St. Vincent and the Grenadines,VIN,212,198.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,14.0
44,2004-04-14T00:00:00,164,St. Vincent and the Grenadines,VIN,220,212.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,8.0
45,2004-02-18T00:00:00,170,St. Vincent and the Grenadines,VIN,198,199.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-1.0
46,2004-01-14T00:00:00,169,St. Vincent and the Grenadines,VIN,199,199.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
47,2003-12-15T00:00:00,169,St. Vincent and the Grenadines,VIN,199,212.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-13.0
48,2003-11-19T00:00:00,163,St. Vincent and the Grenadines,VIN,212,219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-7.0
49,2003-10-22T00:00:00,159,St. Vincent and the Grenadines,VIN,219,227.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-8.0
50,2003-08-27T00:00:00,155,St. Vincent and the Grenadines,VIN,234,241.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-7.0
51,2003-09-24T00:00:00,155,St. Vincent and the Grenadines,VIN,227,234.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-7.0
52,2003-07-30T00:00:00,154,St. Vincent and the Grenadines,VIN,241,248.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-7.0
53,2003-06-25T00:00:00,153,St. Vincent and the Grenadines,VIN,248,254.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-6.0
54,2003-05-21T00:00:00,152,St. Vincent and the Grenadines,VIN,254,258.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-4.0
55,2003-04-23T00:00:00,151,St. Vincent and the Grenadines,VIN,258,261.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-3.0
56,2003-02-19T00:00:00,148,St. Vincent and the Grenadines,VIN,268,270.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-2.0
57,2002-12-18T00:00:00,144,St. Vincent and the Grenadines,VIN,270,282.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-12.0
58,2003-01-15T00:00:00,146,St. Vincent and the Grenadines,VIN,270,270.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,0.0
59,2003-03-26T00:00:00,150,St. Vincent and the Grenadines,VIN,261,268.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vin,-7.0
