,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,128,Sudan,SDN,1112,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,1.0
1,2018-09-20T00:00:00,132,Sudan,SDN,1114,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-14.0
2,2019-04-04T00:00:00,130,Sudan,SDN,1106,1120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-14.0
3,2018-12-20T00:00:00,127,Sudan,SDN,1120,1120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
4,2019-09-19T00:00:00,128,Sudan,SDN,1111,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,5.0
5,2019-07-25T00:00:00,129,Sudan,SDN,1106,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
6,2019-10-24T00:00:00,128,Sudan,SDN,1111,1111.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
7,2018-03-15T00:00:00,117,Sudan,SDN,276,276.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
8,2018-10-25T00:00:00,135,Sudan,SDN,1105,1114.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-9.0
9,2018-08-16T00:00:00,128,Sudan,SDN,1128,1128.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
10,2019-02-07T00:00:00,127,Sudan,SDN,1120,1120.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
11,2018-07-01T00:00:00,134,Sudan,SDN,1259,1259.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
12,2019-06-14T00:00:00,130,Sudan,SDN,1106,1106.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
13,2017-12-21T00:00:00,136,Sudan,SDN,221,219.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,2.0
14,2018-06-07T00:00:00,128,Sudan,SDN,232,245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-13.0
15,2017-11-23T00:00:00,137,Sudan,SDN,219,218.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,1.0
16,2018-05-17T00:00:00,126,Sudan,SDN,245,245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
17,2018-11-29T00:00:00,127,Sudan,SDN,1120,1105.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,15.0
18,2018-02-15T00:00:00,118,Sudan,SDN,276,260.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,16.0
19,2018-01-18T00:00:00,124,Sudan,SDN,260,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,39.0
20,2018-04-12T00:00:00,126,Sudan,SDN,245,276.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-31.0
21,2017-10-16T00:00:00,141,Sudan,SDN,218,228.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-10.0
22,2017-09-14T00:00:00,134,Sudan,SDN,228,179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,49.0
23,2017-06-01T00:00:00,158,Sudan,SDN,140,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-15.0
24,2017-07-06T00:00:00,164,Sudan,SDN,123,140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-17.0
25,2017-08-10T00:00:00,152,Sudan,SDN,179,123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,56.0
26,2017-03-09T00:00:00,138,Sudan,SDN,217,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
27,2017-05-04T00:00:00,155,Sudan,SDN,155,155.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
28,2017-04-06T00:00:00,154,Sudan,SDN,155,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-62.0
29,2017-02-09T00:00:00,139,Sudan,SDN,217,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
30,2017-01-12T00:00:00,137,Sudan,SDN,217,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
31,2016-12-22T00:00:00,135,Sudan,SDN,217,205.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,12.0
32,2016-10-20T00:00:00,148,Sudan,SDN,204,246.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-42.0
33,2016-11-24T00:00:00,140,Sudan,SDN,205,204.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,1.0
34,2016-09-15T00:00:00,135,Sudan,SDN,246,231.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,15.0
35,2016-08-11T00:00:00,141,Sudan,SDN,231,229.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,2.0
36,2016-05-05T00:00:00,128,Sudan,SDN,276,276.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
37,2016-07-14T00:00:00,142,Sudan,SDN,229,278.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-49.0
38,2016-03-03T00:00:00,135,Sudan,SDN,263,261.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,2.0
39,2016-04-07T00:00:00,129,Sudan,SDN,276,263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,13.0
40,2016-02-04T00:00:00,136,Sudan,SDN,261,271.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-10.0
41,2016-06-02T00:00:00,128,Sudan,SDN,278,276.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,2.0
42,2016-01-07T00:00:00,130,Sudan,SDN,271,259.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,12.0
43,2015-12-03T00:00:00,134,Sudan,SDN,259,267.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-8.0
44,2015-11-05T00:00:00,128,Sudan,SDN,267,399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-132.0
45,2015-10-01T00:00:00,84,Sudan,SDN,399,377.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,22.0
46,2015-09-03T00:00:00,89,Sudan,SDN,377,375.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,2.0
47,2015-08-06T00:00:00,87,Sudan,SDN,375,371.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,4.0
48,2015-05-07T00:00:00,111,Sudan,SDN,288,288.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
49,2015-07-09T00:00:00,90,Sudan,SDN,371,292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,79.0
50,2015-03-12T00:00:00,110,Sudan,SDN,288,288.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
51,2015-04-09T00:00:00,110,Sudan,SDN,288,288.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,0.0
52,2015-06-04T00:00:00,108,Sudan,SDN,292,288.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,4.0
53,2015-02-12T00:00:00,112,Sudan,SDN,288,296.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-8.0
54,2015-01-08T00:00:00,108,Sudan,SDN,296,294.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,2.0
55,2014-10-23T00:00:00,107,Sudan,SDN,298,221.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,77.0
56,2014-12-18T00:00:00,110,Sudan,SDN,294,265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,29.0
57,2014-11-27T00:00:00,115,Sudan,SDN,265,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn,-33.0
