,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,17,Sweden,SWE,1579,1563.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,16.0
1,2018-09-20T00:00:00,15,Sweden,SWE,1550,1565.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-15.0
2,2019-04-04T00:00:00,14,Sweden,SWE,1567,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,7.0
3,2018-12-20T00:00:00,14,Sweden,SWE,1560,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
4,2019-09-19T00:00:00,18,Sweden,SWE,1560,1558.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,2.0
5,2019-07-25T00:00:00,18,Sweden,SWE,1558,1558.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
6,2019-10-24T00:00:00,18,Sweden,SWE,1563,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,3.0
7,2018-03-15T00:00:00,19,Sweden,SWE,1002,996.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,6.0
8,2018-10-25T00:00:00,17,Sweden,SWE,1548,1550.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-2.0
9,2018-08-16T00:00:00,13,Sweden,SWE,1565,1512.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,53.0
10,2019-02-07T00:00:00,14,Sweden,SWE,1560,1560.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
11,2018-07-01T00:00:00,21,Sweden,SWE,1955,1954.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,1.0
12,2019-06-14T00:00:00,17,Sweden,SWE,1558,1567.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-9.0
13,2017-12-21T00:00:00,18,Sweden,SWE,998,998.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
14,2018-06-07T00:00:00,24,Sweden,SWE,880,889.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-9.0
15,2017-11-23T00:00:00,18,Sweden,SWE,998,872.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,126.0
16,2018-05-17T00:00:00,23,Sweden,SWE,889,889.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
17,2018-11-29T00:00:00,14,Sweden,SWE,1560,1548.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,12.0
18,2018-02-15T00:00:00,19,Sweden,SWE,996,1000.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-4.0
19,2018-01-18T00:00:00,18,Sweden,SWE,1000,998.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,2.0
20,2018-04-12T00:00:00,23,Sweden,SWE,889,1002.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-113.0
21,2017-10-16T00:00:00,25,Sweden,SWE,872,918.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-46.0
22,2017-09-14T00:00:00,23,Sweden,SWE,918,933.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-15.0
23,2017-06-01T00:00:00,34,Sweden,SWE,793,768.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,25.0
24,2017-07-06T00:00:00,18,Sweden,SWE,933,793.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,140.0
25,2017-08-10T00:00:00,19,Sweden,SWE,933,933.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
26,2017-03-09T00:00:00,45,Sweden,SWE,682,679.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,3.0
27,2017-05-04T00:00:00,34,Sweden,SWE,768,768.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
28,2017-04-06T00:00:00,34,Sweden,SWE,768,682.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,86.0
29,2017-02-09T00:00:00,44,Sweden,SWE,679,675.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,4.0
30,2017-01-12T00:00:00,41,Sweden,SWE,675,675.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
31,2016-12-22T00:00:00,41,Sweden,SWE,675,675.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
32,2016-10-20T00:00:00,39,Sweden,SWE,715,677.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,38.0
33,2016-11-24T00:00:00,41,Sweden,SWE,675,715.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-40.0
34,2016-09-15T00:00:00,41,Sweden,SWE,677,656.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,21.0
35,2016-08-11T00:00:00,40,Sweden,SWE,656,656.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
36,2016-05-05T00:00:00,36,Sweden,SWE,713,713.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
37,2016-07-14T00:00:00,40,Sweden,SWE,656,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-79.0
38,2016-03-03T00:00:00,34,Sweden,SWE,769,771.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-2.0
39,2016-04-07T00:00:00,36,Sweden,SWE,713,769.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-56.0
40,2016-02-04T00:00:00,35,Sweden,SWE,771,771.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
41,2016-06-02T00:00:00,35,Sweden,SWE,735,713.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,22.0
42,2016-01-07T00:00:00,34,Sweden,SWE,771,771.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,0.0
43,2015-12-03T00:00:00,35,Sweden,SWE,771,647.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,124.0
44,2015-11-05T00:00:00,45,Sweden,SWE,647,672.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-25.0
45,2015-10-01T00:00:00,45,Sweden,SWE,672,756.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,-84.0
