,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,12,Switzerland,SUI,1608,1601.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,7.0
1,2018-09-20T00:00:00,8,Switzerland,SUI,1598,1597.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,1.0
2,2019-04-04T00:00:00,8,Switzerland,SUI,1604,1599.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,5.0
3,2018-12-20T00:00:00,8,Switzerland,SUI,1599,1599.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
4,2019-09-19T00:00:00,11,Switzerland,SUI,1604,1605.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-1.0
5,2019-07-25T00:00:00,11,Switzerland,SUI,1605,1605.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
6,2019-10-24T00:00:00,13,Switzerland,SUI,1601,1604.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-3.0
7,2018-03-15T00:00:00,8,Switzerland,SUI,1197,1190.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,7.0
8,2018-10-25T00:00:00,8,Switzerland,SUI,1598,1598.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
9,2018-08-16T00:00:00,8,Switzerland,SUI,1597,1580.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,17.0
10,2019-02-07T00:00:00,8,Switzerland,SUI,1599,1599.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
11,2018-07-01T00:00:00,8,Switzerland,SUI,2087,2065.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,22.0
12,2019-06-14T00:00:00,9,Switzerland,SUI,1605,1604.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,1.0
13,2017-12-21T00:00:00,8,Switzerland,SUI,1190,1190.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
14,2018-06-07T00:00:00,6,Switzerland,SUI,1199,1179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,20.0
15,2017-11-23T00:00:00,8,Switzerland,SUI,1190,1134.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,56.0
16,2018-05-17T00:00:00,6,Switzerland,SUI,1179,1179.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
17,2018-11-29T00:00:00,8,Switzerland,SUI,1599,1598.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,1.0
18,2018-02-15T00:00:00,8,Switzerland,SUI,1190,1190.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
19,2018-01-18T00:00:00,8,Switzerland,SUI,1190,1190.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
20,2018-04-12T00:00:00,6,Switzerland,SUI,1179,1197.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-18.0
21,2017-10-16T00:00:00,11,Switzerland,SUI,1134,1210.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-76.0
22,2017-09-14T00:00:00,7,Switzerland,SUI,1210,1329.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-119.0
23,2017-06-01T00:00:00,9,Switzerland,SUI,1263,1212.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,51.0
24,2017-07-06T00:00:00,5,Switzerland,SUI,1329,1263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,66.0
25,2017-08-10T00:00:00,4,Switzerland,SUI,1329,1329.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
26,2017-03-09T00:00:00,11,Switzerland,SUI,1138,1140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-2.0
27,2017-05-04T00:00:00,9,Switzerland,SUI,1212,1212.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
28,2017-04-06T00:00:00,9,Switzerland,SUI,1212,1138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,74.0
29,2017-02-09T00:00:00,11,Switzerland,SUI,1140,1129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,11.0
30,2017-01-12T00:00:00,11,Switzerland,SUI,1129,1129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
31,2016-12-22T00:00:00,11,Switzerland,SUI,1129,1129.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
32,2016-10-20T00:00:00,14,Switzerland,SUI,1071,1020.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,51.0
33,2016-11-24T00:00:00,11,Switzerland,SUI,1129,1071.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,58.0
34,2016-09-15T00:00:00,16,Switzerland,SUI,1020,957.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,63.0
35,2016-08-11T00:00:00,18,Switzerland,SUI,957,957.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
36,2016-05-05T00:00:00,14,Switzerland,SUI,974,974.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
37,2016-07-14T00:00:00,18,Switzerland,SUI,957,948.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,9.0
38,2016-03-03T00:00:00,12,Switzerland,SUI,1070,1050.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,20.0
39,2016-04-07T00:00:00,14,Switzerland,SUI,974,1070.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-96.0
40,2016-02-04T00:00:00,12,Switzerland,SUI,1050,1050.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
41,2016-06-02T00:00:00,15,Switzerland,SUI,948,974.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-26.0
42,2016-01-07T00:00:00,12,Switzerland,SUI,1050,1050.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
43,2015-12-03T00:00:00,12,Switzerland,SUI,1050,1073.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-23.0
44,2015-11-05T00:00:00,11,Switzerland,SUI,1073,1044.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,29.0
45,2015-10-01T00:00:00,12,Switzerland,SUI,1044,1011.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,33.0
46,2015-09-03T00:00:00,17,Switzerland,SUI,1011,997.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,14.0
47,2015-08-06T00:00:00,17,Switzerland,SUI,997,997.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
48,2015-05-07T00:00:00,9,Switzerland,SUI,1135,1135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
49,2015-07-09T00:00:00,18,Switzerland,SUI,997,1146.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-149.0
50,2015-03-12T00:00:00,12,Switzerland,SUI,1126,1117.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,9.0
51,2015-04-09T00:00:00,9,Switzerland,SUI,1135,1126.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,9.0
52,2015-06-04T00:00:00,11,Switzerland,SUI,1146,1135.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,11.0
53,2015-02-12T00:00:00,11,Switzerland,SUI,1117,1091.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,26.0
54,2015-01-08T00:00:00,12,Switzerland,SUI,1091,1091.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
55,2014-10-23T00:00:00,12,Switzerland,SUI,1063,1175.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-112.0
56,2014-12-18T00:00:00,12,Switzerland,SUI,1091,1091.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
57,2014-11-27T00:00:00,12,Switzerland,SUI,1091,1063.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,28.0
58,2014-09-18T00:00:00,10,Switzerland,SUI,1175,1218.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-43.0
59,2014-08-14T00:00:00,9,Switzerland,SUI,1218,1216.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,2.0
60,2014-07-17T00:00:00,9,Switzerland,SUI,1216,1149.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,67.0
61,2014-05-08T00:00:00,8,Switzerland,SUI,1161,1161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
62,2014-06-05T00:00:00,6,Switzerland,SUI,1149,1161.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-12.0
63,2014-04-10T00:00:00,8,Switzerland,SUI,1161,1123.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,38.0
64,2014-03-13T00:00:00,7,Switzerland,SUI,1123,1159.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-36.0
65,2013-12-19T00:00:00,8,Switzerland,SUI,1113,1113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
66,2014-02-13T00:00:00,6,Switzerland,SUI,1159,1113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,46.0
67,2014-01-16T00:00:00,8,Switzerland,SUI,1113,1113.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
68,2013-11-28T00:00:00,8,Switzerland,SUI,1113,1138.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-25.0
69,2013-10-17T00:00:00,7,Switzerland,SUI,1138,992.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,146.0
