,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,79,Syria,SYR,1314,1292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,22.0
1,2018-09-20T00:00:00,74,Syria,SYR,1322,1328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-6.0
2,2019-04-04T00:00:00,83,Syria,SYR,1286,1286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
3,2018-12-20T00:00:00,74,Syria,SYR,1322,1322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
4,2019-09-19T00:00:00,85,Syria,SYR,1280,1277.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,3.0
5,2019-07-25T00:00:00,87,Syria,SYR,1277,1278.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-1.0
6,2019-10-24T00:00:00,83,Syria,SYR,1292,1280.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,12.0
7,2018-03-15T00:00:00,74,Syria,SYR,442,442.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
8,2018-10-25T00:00:00,74,Syria,SYR,1320,1322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-2.0
9,2018-08-16T00:00:00,73,Syria,SYR,1328,1328.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
10,2019-02-07T00:00:00,83,Syria,SYR,1286,1322.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-36.0
11,2018-07-01T00:00:00,68,Syria,SYR,1637,1637.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
12,2019-06-14T00:00:00,85,Syria,SYR,1278,1286.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-8.0
13,2017-12-21T00:00:00,77,Syria,SYR,442,442.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
14,2018-06-07T00:00:00,73,Syria,SYR,440,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,17.0
15,2017-11-23T00:00:00,77,Syria,SYR,442,450.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-8.0
16,2018-05-17T00:00:00,76,Syria,SYR,423,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
17,2018-11-29T00:00:00,74,Syria,SYR,1322,1320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,2.0
18,2018-02-15T00:00:00,75,Syria,SYR,442,442.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
19,2018-01-18T00:00:00,76,Syria,SYR,442,442.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
20,2018-04-12T00:00:00,76,Syria,SYR,423,442.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-19.0
21,2017-10-16T00:00:00,77,Syria,SYR,450,465.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-15.0
22,2017-09-14T00:00:00,75,Syria,SYR,465,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,42.0
23,2017-06-01T00:00:00,77,Syria,SYR,436,426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,10.0
24,2017-07-06T00:00:00,82,Syria,SYR,423,436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-13.0
25,2017-08-10T00:00:00,80,Syria,SYR,423,423.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
26,2017-03-09T00:00:00,95,Syria,SYR,355,357.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-2.0
27,2017-05-04T00:00:00,80,Syria,SYR,426,426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
28,2017-04-06T00:00:00,80,Syria,SYR,426,355.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,71.0
29,2017-02-09T00:00:00,93,Syria,SYR,357,355.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,2.0
30,2017-01-12T00:00:00,96,Syria,SYR,355,355.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
31,2016-12-22T00:00:00,96,Syria,SYR,355,363.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-8.0
32,2016-10-20T00:00:00,96,Syria,SYR,357,315.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,42.0
33,2016-11-24T00:00:00,94,Syria,SYR,363,357.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,6.0
34,2016-09-15T00:00:00,114,Syria,SYR,315,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,-26.0
35,2016-08-11T00:00:00,105,Syria,SYR,341,341.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
36,2016-05-05T00:00:00,110,Syria,SYR,316,316.0,https://api.fifa.com/api/v1/picture/flags-sq-4/syr,0.0
