,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,126,Togo,TOG,1127,1140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,-13.0
1,2018-09-20T00:00:00,123,Togo,TOG,1139,1136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,3.0
2,2019-04-04T00:00:00,126,Togo,TOG,1127,1136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,-9.0
3,2018-12-20T00:00:00,123,Togo,TOG,1136,1136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
4,2019-09-19T00:00:00,124,Togo,TOG,1140,1127.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,13.0
5,2019-07-25T00:00:00,128,Togo,TOG,1127,1127.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
6,2019-10-24T00:00:00,124,Togo,TOG,1140,1140.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
7,2018-03-15T00:00:00,128,Togo,TOG,241,241.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
8,2018-10-25T00:00:00,123,Togo,TOG,1144,1139.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,5.0
9,2018-08-16T00:00:00,124,Togo,TOG,1136,1136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
10,2019-02-07T00:00:00,122,Togo,TOG,1136,1136.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
11,2018-07-01T00:00:00,120,Togo,TOG,1327,1327.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
12,2019-06-14T00:00:00,128,Togo,TOG,1127,1127.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
13,2017-12-21T00:00:00,122,Togo,TOG,266,266.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
14,2018-06-07T00:00:00,125,Togo,TOG,241,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,-1.0
15,2017-11-23T00:00:00,123,Togo,TOG,266,253.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,13.0
16,2018-05-17T00:00:00,128,Togo,TOG,242,242.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,0.0
17,2018-11-29T00:00:00,123,Togo,TOG,1136,1144.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,-8.0
18,2018-02-15T00:00:00,128,Togo,TOG,241,247.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tog,-6.0
