,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,104,Trinidad and Tobago,TRI,1201,1213.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-12.0
1,2018-09-20T00:00:00,90,Trinidad and Tobago,TRI,1269,1264.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,5.0
2,2019-04-04T00:00:00,93,Trinidad and Tobago,TRI,1258,1260.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-2.0
3,2018-12-20T00:00:00,92,Trinidad and Tobago,TRI,1260,1260.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
4,2019-09-19T00:00:00,100,Trinidad and Tobago,TRI,1226,1226.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
5,2019-07-25T00:00:00,101,Trinidad and Tobago,TRI,1226,1260.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-34.0
6,2019-10-24T00:00:00,102,Trinidad and Tobago,TRI,1213,1226.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-13.0
7,2018-03-15T00:00:00,79,Trinidad and Tobago,TRI,430,430.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
8,2018-10-25T00:00:00,93,Trinidad and Tobago,TRI,1263,1269.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-6.0
9,2018-08-16T00:00:00,91,Trinidad and Tobago,TRI,1264,1264.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
10,2019-02-07T00:00:00,93,Trinidad and Tobago,TRI,1260,1260.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
11,2018-07-01T00:00:00,91,Trinidad and Tobago,TRI,1503,1503.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
12,2019-06-14T00:00:00,92,Trinidad and Tobago,TRI,1260,1258.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,2.0
13,2017-12-21T00:00:00,87,Trinidad and Tobago,TRI,402,402.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
14,2018-06-07T00:00:00,91,Trinidad and Tobago,TRI,370,366.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,4.0
15,2017-11-23T00:00:00,89,Trinidad and Tobago,TRI,402,419.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-17.0
16,2018-05-17T00:00:00,92,Trinidad and Tobago,TRI,366,374.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-8.0
17,2018-11-29T00:00:00,92,Trinidad and Tobago,TRI,1260,1263.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-3.0
18,2018-02-15T00:00:00,80,Trinidad and Tobago,TRI,430,430.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
19,2018-01-18T00:00:00,80,Trinidad and Tobago,TRI,430,402.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,28.0
20,2018-04-12T00:00:00,92,Trinidad and Tobago,TRI,374,430.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-56.0
21,2017-10-16T00:00:00,83,Trinidad and Tobago,TRI,419,361.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,58.0
22,2017-09-14T00:00:00,99,Trinidad and Tobago,TRI,361,399.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-38.0
23,2017-06-01T00:00:00,77,Trinidad and Tobago,TRI,436,439.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-3.0
24,2017-07-06T00:00:00,78,Trinidad and Tobago,TRI,436,436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
25,2017-08-10T00:00:00,83,Trinidad and Tobago,TRI,399,436.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,-37.0
26,2017-03-09T00:00:00,83,Trinidad and Tobago,TRI,421,421.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,0.0
