,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,27,Tunisia,TUN,1506,1495.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,11.0
1,2018-09-20T00:00:00,23,Tunisia,TUN,1503,1498.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,5.0
2,2019-04-04T00:00:00,28,Tunisia,TUN,1491,1493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-2.0
3,2018-12-20T00:00:00,26,Tunisia,TUN,1493,1493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
4,2019-09-19T00:00:00,29,Tunisia,TUN,1493,1496.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-3.0
5,2019-07-25T00:00:00,29,Tunisia,TUN,1496,1501.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-5.0
6,2019-10-24T00:00:00,29,Tunisia,TUN,1495,1493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,2.0
7,2018-03-15T00:00:00,23,Tunisia,TUN,920,914.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,6.0
8,2018-10-25T00:00:00,22,Tunisia,TUN,1515,1503.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,12.0
9,2018-08-16T00:00:00,24,Tunisia,TUN,1498,1524.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-26.0
10,2019-02-07T00:00:00,28,Tunisia,TUN,1493,1493.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
11,2018-07-01T00:00:00,38,Tunisia,TUN,1835,1865.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-30.0
12,2019-06-14T00:00:00,25,Tunisia,TUN,1501,1491.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,10.0
13,2017-12-21T00:00:00,27,Tunisia,TUN,838,838.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
14,2018-06-07T00:00:00,21,Tunisia,TUN,910,1012.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-102.0
15,2017-11-23T00:00:00,27,Tunisia,TUN,838,834.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,4.0
16,2018-05-17T00:00:00,14,Tunisia,TUN,1012,1012.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
17,2018-11-29T00:00:00,26,Tunisia,TUN,1493,1515.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-22.0
18,2018-02-15T00:00:00,23,Tunisia,TUN,914,915.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-1.0
19,2018-01-18T00:00:00,23,Tunisia,TUN,915,838.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,77.0
20,2018-04-12T00:00:00,14,Tunisia,TUN,1012,920.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,92.0
21,2017-10-16T00:00:00,28,Tunisia,TUN,834,810.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,24.0
22,2017-09-14T00:00:00,31,Tunisia,TUN,810,776.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,34.0
23,2017-06-01T00:00:00,41,Tunisia,TUN,705,701.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,4.0
24,2017-07-06T00:00:00,34,Tunisia,TUN,764,705.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,59.0
25,2017-08-10T00:00:00,34,Tunisia,TUN,776,764.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,12.0
26,2017-03-09T00:00:00,37,Tunisia,TUN,774,769.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,5.0
27,2017-05-04T00:00:00,42,Tunisia,TUN,701,701.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
28,2017-04-06T00:00:00,42,Tunisia,TUN,701,774.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-73.0
29,2017-02-09T00:00:00,36,Tunisia,TUN,769,713.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,56.0
30,2017-01-12T00:00:00,36,Tunisia,TUN,713,738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-25.0
31,2016-12-22T00:00:00,35,Tunisia,TUN,738,738.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
32,2016-10-20T00:00:00,38,Tunisia,TUN,721,662.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,59.0
33,2016-11-24T00:00:00,34,Tunisia,TUN,738,721.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,17.0
34,2016-09-15T00:00:00,42,Tunisia,TUN,662,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,35.0
35,2016-08-11T00:00:00,45,Tunisia,TUN,627,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
36,2016-05-05T00:00:00,47,Tunisia,TUN,620,620.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,0.0
37,2016-07-14T00:00:00,45,Tunisia,TUN,627,629.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,-2.0
