,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,29,Turkey,TUR,1494,1490.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,4.0
1,2018-09-20T00:00:00,38,Turkey,TUR,1456,1455.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,1.0
2,2019-04-04T00:00:00,39,Turkey,TUR,1457,1443.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,14.0
3,2018-12-20T00:00:00,39,Turkey,TUR,1443,1443.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
4,2019-09-19T00:00:00,36,Turkey,TUR,1475,1467.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,8.0
5,2019-07-25T00:00:00,37,Turkey,TUR,1467,1467.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
6,2019-10-24T00:00:00,32,Turkey,TUR,1490,1475.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,15.0
7,2018-03-15T00:00:00,38,Turkey,TUR,730,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-5.0
8,2018-10-25T00:00:00,38,Turkey,TUR,1449,1456.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-7.0
9,2018-08-16T00:00:00,38,Turkey,TUR,1455,1456.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-1.0
10,2019-02-07T00:00:00,41,Turkey,TUR,1443,1443.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
11,2018-07-01T00:00:00,35,Turkey,TUR,1849,1849.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
12,2019-06-14T00:00:00,37,Turkey,TUR,1467,1457.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,10.0
13,2017-12-21T00:00:00,42,Turkey,TUR,735,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
14,2018-06-07T00:00:00,38,Turkey,TUR,706,714.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-8.0
15,2017-11-23T00:00:00,42,Turkey,TUR,735,807.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-72.0
16,2018-05-17T00:00:00,37,Turkey,TUR,714,714.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
17,2018-11-29T00:00:00,39,Turkey,TUR,1443,1449.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-6.0
18,2018-02-15T00:00:00,38,Turkey,TUR,735,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
19,2018-01-18T00:00:00,41,Turkey,TUR,735,735.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
20,2018-04-12T00:00:00,37,Turkey,TUR,714,730.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-16.0
21,2017-10-16T00:00:00,33,Turkey,TUR,807,842.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-35.0
22,2017-09-14T00:00:00,27,Turkey,TUR,842,779.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,63.0
23,2017-06-01T00:00:00,25,Turkey,TUR,855,863.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-8.0
24,2017-07-06T00:00:00,33,Turkey,TUR,779,855.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-76.0
25,2017-08-10T00:00:00,33,Turkey,TUR,779,779.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
26,2017-03-09T00:00:00,26,Turkey,TUR,851,857.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-6.0
27,2017-05-04T00:00:00,22,Turkey,TUR,863,863.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
28,2017-04-06T00:00:00,22,Turkey,TUR,863,851.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,12.0
29,2017-02-09T00:00:00,24,Turkey,TUR,857,851.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,6.0
30,2017-01-12T00:00:00,24,Turkey,TUR,851,851.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
31,2016-12-22T00:00:00,24,Turkey,TUR,851,851.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
32,2016-10-20T00:00:00,25,Turkey,TUR,843,885.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-42.0
33,2016-11-24T00:00:00,24,Turkey,TUR,851,843.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,8.0
34,2016-09-15T00:00:00,21,Turkey,TUR,885,915.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-30.0
35,2016-08-11T00:00:00,19,Turkey,TUR,915,915.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
36,2016-05-05T00:00:00,13,Turkey,TUR,983,983.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
37,2016-07-14T00:00:00,19,Turkey,TUR,915,919.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-4.0
38,2016-03-03T00:00:00,20,Turkey,TUR,943,933.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,10.0
39,2016-04-07T00:00:00,13,Turkey,TUR,983,943.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,40.0
40,2016-02-04T00:00:00,20,Turkey,TUR,933,933.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
41,2016-06-02T00:00:00,18,Turkey,TUR,919,983.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-64.0
42,2016-01-07T00:00:00,21,Turkey,TUR,933,933.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
43,2015-12-03T00:00:00,21,Turkey,TUR,933,941.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-8.0
44,2015-11-05T00:00:00,18,Turkey,TUR,941,717.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,224.0
45,2015-10-01T00:00:00,37,Turkey,TUR,717,635.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,82.0
46,2015-09-03T00:00:00,46,Turkey,TUR,635,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,8.0
47,2015-08-06T00:00:00,45,Turkey,TUR,627,627.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
48,2015-05-07T00:00:00,52,Turkey,TUR,603,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
49,2015-07-09T00:00:00,48,Turkey,TUR,627,590.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,37.0
50,2015-03-12T00:00:00,56,Turkey,TUR,594,619.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-25.0
51,2015-04-09T00:00:00,52,Turkey,TUR,603,594.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,9.0
52,2015-06-04T00:00:00,57,Turkey,TUR,590,603.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-13.0
53,2015-02-12T00:00:00,52,Turkey,TUR,619,604.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,15.0
54,2015-01-08T00:00:00,48,Turkey,TUR,604,604.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
55,2014-10-23T00:00:00,46,Turkey,TUR,614,637.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-23.0
56,2014-12-18T00:00:00,49,Turkey,TUR,604,604.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
57,2014-11-27T00:00:00,48,Turkey,TUR,604,614.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-10.0
58,2014-09-18T00:00:00,38,Turkey,TUR,637,711.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-74.0
59,2014-08-14T00:00:00,32,Turkey,TUR,711,714.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-3.0
