,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,77,Uganda,UGA,1321,1311.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,10.0
1,2018-09-20T00:00:00,83,Uganda,UGA,1291,1296.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-5.0
2,2019-04-04T00:00:00,79,Uganda,UGA,1302,1320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-18.0
3,2018-12-20T00:00:00,75,Uganda,UGA,1320,1320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
4,2019-09-19T00:00:00,80,Uganda,UGA,1305,1305.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
5,2019-07-25T00:00:00,80,Uganda,UGA,1305,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,6.0
6,2019-10-24T00:00:00,79,Uganda,UGA,1311,1305.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,6.0
7,2018-03-15T00:00:00,78,Uganda,UGA,435,431.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,4.0
8,2018-10-25T00:00:00,79,Uganda,UGA,1306,1291.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,15.0
9,2018-08-16T00:00:00,82,Uganda,UGA,1296,1296.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
10,2019-02-07T00:00:00,77,Uganda,UGA,1320,1320.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
11,2018-07-01T00:00:00,81,Uganda,UGA,1568,1568.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
12,2019-06-14T00:00:00,80,Uganda,UGA,1299,1302.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-3.0
13,2017-12-21T00:00:00,75,Uganda,UGA,448,471.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-23.0
14,2018-06-07T00:00:00,82,Uganda,UGA,403,426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-23.0
15,2017-11-23T00:00:00,74,Uganda,UGA,471,503.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-32.0
16,2018-05-17T00:00:00,74,Uganda,UGA,426,426.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
17,2018-11-29T00:00:00,75,Uganda,UGA,1320,1306.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,14.0
18,2018-02-15T00:00:00,78,Uganda,UGA,431,446.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-15.0
19,2018-01-18T00:00:00,73,Uganda,UGA,446,448.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-2.0
20,2018-04-12T00:00:00,74,Uganda,UGA,426,435.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-9.0
21,2017-10-16T00:00:00,70,Uganda,UGA,503,486.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,17.0
22,2017-09-14T00:00:00,71,Uganda,UGA,486,464.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,22.0
23,2017-06-01T00:00:00,71,Uganda,UGA,478,463.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,15.0
24,2017-07-06T00:00:00,74,Uganda,UGA,476,478.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-2.0
25,2017-08-10T00:00:00,73,Uganda,UGA,464,476.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-12.0
26,2017-03-09T00:00:00,74,Uganda,UGA,467,464.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,3.0
27,2017-05-04T00:00:00,72,Uganda,UGA,463,463.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
28,2017-04-06T00:00:00,72,Uganda,UGA,463,467.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-4.0
29,2017-02-09T00:00:00,75,Uganda,UGA,464,476.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-12.0
30,2017-01-12T00:00:00,73,Uganda,UGA,476,490.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-14.0
31,2016-12-22T00:00:00,72,Uganda,UGA,490,488.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,2.0
32,2016-10-20T00:00:00,72,Uganda,UGA,500,509.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-9.0
33,2016-11-24T00:00:00,73,Uganda,UGA,488,500.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-12.0
34,2016-09-15T00:00:00,65,Uganda,UGA,509,525.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-16.0
35,2016-08-11T00:00:00,65,Uganda,UGA,525,522.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,3.0
36,2016-05-05T00:00:00,72,Uganda,UGA,491,491.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
37,2016-07-14T00:00:00,69,Uganda,UGA,522,500.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,22.0
38,2016-03-03T00:00:00,67,Uganda,UGA,506,503.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,3.0
39,2016-04-07T00:00:00,72,Uganda,UGA,491,506.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-15.0
40,2016-02-04T00:00:00,70,Uganda,UGA,503,553.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-50.0
41,2016-06-02T00:00:00,72,Uganda,UGA,500,491.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,9.0
42,2016-01-07T00:00:00,62,Uganda,UGA,553,550.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,3.0
43,2015-12-03T00:00:00,63,Uganda,UGA,550,491.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,59.0
44,2015-11-05T00:00:00,68,Uganda,UGA,491,455.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,36.0
45,2015-10-01T00:00:00,75,Uganda,UGA,455,478.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-23.0
46,2015-09-03T00:00:00,71,Uganda,UGA,478,463.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,15.0
47,2015-08-06T00:00:00,74,Uganda,UGA,463,467.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-4.0
48,2015-05-07T00:00:00,71,Uganda,UGA,485,485.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,0.0
49,2015-07-09T00:00:00,73,Uganda,UGA,467,504.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,-37.0
50,2015-03-12T00:00:00,74,Uganda,UGA,478,464.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,14.0
51,2015-04-09T00:00:00,72,Uganda,UGA,485,478.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,7.0
52,2015-06-04T00:00:00,71,Uganda,UGA,504,485.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,19.0
53,2015-02-12T00:00:00,76,Uganda,UGA,464,441.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,23.0
54,2015-01-08T00:00:00,77,Uganda,UGA,441,438.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uga,3.0
