,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,94,Vietnam,VIE,1258,1245.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,13.0
1,2018-09-20T00:00:00,102,Vietnam,VIE,1220,1220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
2,2019-04-04T00:00:00,98,Vietnam,VIE,1227,1227.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
3,2018-12-20T00:00:00,100,Vietnam,VIE,1229,1224.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,5.0
4,2019-09-19T00:00:00,99,Vietnam,VIE,1231,1232.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,-1.0
5,2019-07-25T00:00:00,97,Vietnam,VIE,1232,1232.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
6,2019-10-24T00:00:00,97,Vietnam,VIE,1245,1231.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,14.0
7,2018-03-15T00:00:00,113,Vietnam,VIE,293,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,-5.0
8,2018-10-25T00:00:00,102,Vietnam,VIE,1220,1220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
9,2018-08-16T00:00:00,102,Vietnam,VIE,1220,1220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
10,2019-02-07T00:00:00,99,Vietnam,VIE,1227,1229.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,-2.0
11,2018-07-01T00:00:00,107,Vietnam,VIE,1405,1405.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
12,2019-06-14T00:00:00,96,Vietnam,VIE,1232,1227.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,5.0
13,2017-12-21T00:00:00,112,Vietnam,VIE,298,265.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,33.0
14,2018-06-07T00:00:00,102,Vietnam,VIE,334,334.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
15,2017-11-23T00:00:00,125,Vietnam,VIE,265,261.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,4.0
16,2018-05-17T00:00:00,102,Vietnam,VIE,334,331.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,3.0
17,2018-11-29T00:00:00,100,Vietnam,VIE,1224,1220.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,4.0
18,2018-02-15T00:00:00,112,Vietnam,VIE,298,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
19,2018-01-18T00:00:00,112,Vietnam,VIE,298,298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,0.0
20,2018-04-12T00:00:00,103,Vietnam,VIE,331,293.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,38.0
21,2017-10-16T00:00:00,121,Vietnam,VIE,261,241.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,20.0
22,2017-09-14T00:00:00,130,Vietnam,VIE,241,231.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,10.0
23,2017-06-01T00:00:00,131,Vietnam,VIE,235,217.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vie,18.0
