,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,22,Wales,WAL,1540,1524.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,16.0
1,2018-09-20T00:00:00,19,Wales,WAL,1536,1536.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
2,2019-04-04T00:00:00,19,Wales,WAL,1539,1525.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,14.0
3,2018-12-20T00:00:00,19,Wales,WAL,1525,1525.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
4,2019-09-19T00:00:00,23,Wales,WAL,1522,1514.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,8.0
5,2019-07-25T00:00:00,24,Wales,WAL,1514,1514.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
6,2019-10-24T00:00:00,24,Wales,WAL,1524,1522.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,2.0
7,2018-03-15T00:00:00,20,Wales,WAL,984,985.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-1.0
8,2018-10-25T00:00:00,18,Wales,WAL,1538,1536.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,2.0
9,2018-08-16T00:00:00,19,Wales,WAL,1536,1536.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
10,2019-02-07T00:00:00,19,Wales,WAL,1525,1525.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
11,2018-07-01T00:00:00,18,Wales,WAL,1979,1979.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
12,2019-06-14T00:00:00,23,Wales,WAL,1514,1539.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-25.0
13,2017-12-21T00:00:00,19,Wales,WAL,985,985.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
14,2018-06-07T00:00:00,18,Wales,WAL,953,931.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,22.0
15,2017-11-23T00:00:00,19,Wales,WAL,985,1072.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-87.0
16,2018-05-17T00:00:00,21,Wales,WAL,931,931.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
17,2018-11-29T00:00:00,19,Wales,WAL,1525,1538.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-13.0
18,2018-02-15T00:00:00,20,Wales,WAL,985,985.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
19,2018-01-18T00:00:00,19,Wales,WAL,985,985.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
20,2018-04-12T00:00:00,21,Wales,WAL,931,984.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-53.0
21,2017-10-16T00:00:00,14,Wales,WAL,1072,1089.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-17.0
22,2017-09-14T00:00:00,13,Wales,WAL,1089,951.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,138.0
23,2017-06-01T00:00:00,13,Wales,WAL,1119,1119.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,0.0
24,2017-07-06T00:00:00,20,Wales,WAL,922,1119.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,-197.0
25,2017-08-10T00:00:00,18,Wales,WAL,951,922.0,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,29.0
