,date,rank,country,ct,points,previousPoints,flag,delta
0,2002-11-20T00:00:00,16,Yugoslavia,YUG,687,690.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-3.0
1,2002-10-23T00:00:00,16,Yugoslavia,YUG,690,672.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,18.0
2,2002-07-03T00:00:00,16,Yugoslavia,YUG,689,702.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-13.0
3,2002-08-14T00:00:00,16,Yugoslavia,YUG,688,689.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-1.0
4,2002-09-18T00:00:00,20,Yugoslavia,YUG,672,688.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-16.0
5,2002-05-15T00:00:00,10,Yugoslavia,YUG,702,702.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,0.0
6,2002-03-20T00:00:00,11,Yugoslavia,YUG,708,707.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,1.0
7,2002-04-17T00:00:00,10,Yugoslavia,YUG,702,708.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-6.0
8,2002-01-16T00:00:00,11,Yugoslavia,YUG,710,710.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,0.0
9,2001-12-19T00:00:00,11,Yugoslavia,YUG,710,709.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,1.0
10,2002-02-13T00:00:00,11,Yugoslavia,YUG,707,710.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-3.0
11,2001-08-22T00:00:00,13,Yugoslavia,YUG,691,688.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,3.0
12,2001-11-21T00:00:00,12,Yugoslavia,YUG,709,709.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,0.0
13,2001-10-17T00:00:00,12,Yugoslavia,YUG,709,705.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,4.0
14,2001-09-19T00:00:00,13,Yugoslavia,YUG,705,691.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,14.0
15,2001-07-18T00:00:00,12,Yugoslavia,YUG,688,702.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-14.0
16,2001-05-16T00:00:00,11,Yugoslavia,YUG,689,697.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-8.0
17,2001-06-20T00:00:00,11,Yugoslavia,YUG,702,689.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,13.0
18,2001-04-11T00:00:00,11,Yugoslavia,YUG,697,701.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-4.0
19,2001-03-14T00:00:00,10,Yugoslavia,YUG,701,705.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-4.0
20,2001-02-14T00:00:00,9,Yugoslavia,YUG,705,707.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-2.0
21,2000-12-20T00:00:00,9,Yugoslavia,YUG,707,712.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-5.0
22,2001-01-17T00:00:00,9,Yugoslavia,YUG,707,707.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,0.0
23,2000-10-11T00:00:00,10,Yugoslavia,YUG,711,714.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-3.0
24,2000-11-15T00:00:00,9,Yugoslavia,YUG,712,711.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,1.0
25,2000-09-06T00:00:00,8,Yugoslavia,YUG,714,704.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,10.0
26,2000-08-09T00:00:00,10,Yugoslavia,YUG,704,705.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-1.0
27,2000-07-05T00:00:00,11,Yugoslavia,YUG,705,695.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,10.0
28,2000-06-07T00:00:00,10,Yugoslavia,YUG,695,693.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,2.0
29,2000-04-12T00:00:00,11,Yugoslavia,YUG,695,689.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,6.0
30,2000-05-10T00:00:00,11,Yugoslavia,YUG,693,695.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-2.0
31,2000-02-16T00:00:00,13,Yugoslavia,YUG,692,694.0,https://api.fifa.com/api/v1/picture/flags-sq-4/yug,-2.0
