,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,88,Zambia,ZAM,1277,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-22.0
1,2018-09-20T00:00:00,75,Zambia,ZAM,1316,1315.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,1.0
2,2019-04-04T00:00:00,79,Zambia,ZAM,1302,1292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,10.0
3,2018-12-20T00:00:00,83,Zambia,ZAM,1292,1292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,0.0
4,2019-09-19T00:00:00,81,Zambia,ZAM,1299,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,0.0
5,2019-07-25T00:00:00,81,Zambia,ZAM,1299,1298.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,1.0
6,2019-10-24T00:00:00,81,Zambia,ZAM,1299,1299.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,0.0
7,2018-03-15T00:00:00,77,Zambia,ZAM,438,438.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,0.0
8,2018-10-25T00:00:00,77,Zambia,ZAM,1308,1316.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-8.0
9,2018-08-16T00:00:00,76,Zambia,ZAM,1315,1316.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-1.0
10,2019-02-07T00:00:00,82,Zambia,ZAM,1292,1292.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,0.0
11,2018-07-01T00:00:00,77,Zambia,ZAM,1592,1594.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-2.0
12,2019-06-14T00:00:00,81,Zambia,ZAM,1298,1302.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-4.0
13,2017-12-21T00:00:00,74,Zambia,ZAM,468,449.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,19.0
14,2018-06-07T00:00:00,76,Zambia,ZAM,420,412.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,8.0
15,2017-11-23T00:00:00,75,Zambia,ZAM,449,450.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-1.0
16,2018-05-17T00:00:00,78,Zambia,ZAM,412,413.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-1.0
17,2018-11-29T00:00:00,82,Zambia,ZAM,1292,1308.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-16.0
18,2018-02-15T00:00:00,76,Zambia,ZAM,438,466.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-28.0
19,2018-01-18T00:00:00,72,Zambia,ZAM,466,468.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-2.0
20,2018-04-12T00:00:00,78,Zambia,ZAM,413,438.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,-25.0
21,2017-10-16T00:00:00,77,Zambia,ZAM,450,448.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,2.0
22,2017-09-14T00:00:00,78,Zambia,ZAM,448,345.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,103.0
23,2017-06-01T00:00:00,99,Zambia,ZAM,335,334.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,1.0
24,2017-07-06T00:00:00,92,Zambia,ZAM,369,335.0,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,34.0
