,date,rank,country,ct,points,previousPoints,flag
0,1992-12-31T00:00:00,1,Germany,GER,57,,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
1,1992-12-31T00:00:00,2,Italy,ITA,57,,https://api.fifa.com/api/v1/picture/flags-sq-4/ita
2,1992-12-31T00:00:00,3,Brazil,BRA,56,,https://api.fifa.com/api/v1/picture/flags-sq-4/bra
3,1992-12-31T00:00:00,4,Sweden,SWE,56,,https://api.fifa.com/api/v1/picture/flags-sq-4/swe
4,1992-12-31T00:00:00,5,England,ENG,55,,https://api.fifa.com/api/v1/picture/flags-sq-4/eng
5,1992-12-31T00:00:00,6,Republic of Ireland,IRL,54,,https://api.fifa.com/api/v1/picture/flags-sq-4/irl
6,1992-12-31T00:00:00,7,Netherlands,NED,54,,https://api.fifa.com/api/v1/picture/flags-sq-4/ned
7,1992-12-31T00:00:00,8,Russia,RUS,52,,https://api.fifa.com/api/v1/picture/flags-sq-4/rus
8,1992-12-31T00:00:00,9,Denmark,DEN,52,,https://api.fifa.com/api/v1/picture/flags-sq-4/den
9,1992-12-31T00:00:00,10,Argentina,ARG,51,,https://api.fifa.com/api/v1/picture/flags-sq-4/arg
10,1992-12-31T00:00:00,11,Romania,ROU,51,,https://api.fifa.com/api/v1/picture/flags-sq-4/rou
11,1992-12-31T00:00:00,12,Switzerland,SUI,51,,https://api.fifa.com/api/v1/picture/flags-sq-4/sui
12,1992-12-31T00:00:00,13,Nigeria,NGA,50,,https://api.fifa.com/api/v1/picture/flags-sq-4/nga
13,1992-12-31T00:00:00,14,Norway,NOR,49,,https://api.fifa.com/api/v1/picture/flags-sq-4/nor
14,1992-12-31T00:00:00,15,Spain,ESP,49,,https://api.fifa.com/api/v1/picture/flags-sq-4/esp
15,1992-12-31T00:00:00,16,Uruguay,URU,48,,https://api.fifa.com/api/v1/picture/flags-sq-4/uru
16,1992-12-31T00:00:00,17,Belgium,BEL,48,,https://api.fifa.com/api/v1/picture/flags-sq-4/bel
17,1992-12-31T00:00:00,18,Czechoslovakia,TCH,47,,https://api.fifa.com/api/v1/picture/flags-sq-4/tch
18,1992-12-31T00:00:00,19,France,FRA,46,,https://api.fifa.com/api/v1/picture/flags-sq-4/fra
19,1992-12-31T00:00:00,20,Poland,POL,46,,https://api.fifa.com/api/v1/picture/flags-sq-4/pol
20,1992-12-31T00:00:00,21,Egypt,EGY,45,,https://api.fifa.com/api/v1/picture/flags-sq-4/egy
21,1992-12-31T00:00:00,22,Cameroon,CMR,43,,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr
22,1992-12-31T00:00:00,23,Scotland,SCO,43,,https://api.fifa.com/api/v1/picture/flags-sq-4/sco
23,1992-12-31T00:00:00,24,USA,USA,43,,https://api.fifa.com/api/v1/picture/flags-sq-4/usa
24,1992-12-31T00:00:00,25,Mexico,MEX,43,,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
25,1992-12-31T00:00:00,26,Bulgaria,BUL,41,,https://api.fifa.com/api/v1/picture/flags-sq-4/bul
26,1992-12-31T00:00:00,27,Côte d'Ivoire,CIV,41,,https://api.fifa.com/api/v1/picture/flags-sq-4/civ
27,1992-12-31T00:00:00,28,Wales,WAL,40,,https://api.fifa.com/api/v1/picture/flags-sq-4/wal
28,1992-12-31T00:00:00,29,Yugoslavia,YUG,39,,https://api.fifa.com/api/v1/picture/flags-sq-4/yug
29,1992-12-31T00:00:00,30,Algeria,ALG,39,,https://api.fifa.com/api/v1/picture/flags-sq-4/alg
30,1992-12-31T00:00:00,31,Greece,GRE,38,,https://api.fifa.com/api/v1/picture/flags-sq-4/gre
31,1992-12-31T00:00:00,32,Zambia,ZAM,38,,https://api.fifa.com/api/v1/picture/flags-sq-4/zam
32,1992-12-31T00:00:00,33,Portugal,POR,38,,https://api.fifa.com/api/v1/picture/flags-sq-4/por
33,1992-12-31T00:00:00,34,Austria,AUT,38,,https://api.fifa.com/api/v1/picture/flags-sq-4/aut
34,1992-12-31T00:00:00,35,Colombia,COL,36,,https://api.fifa.com/api/v1/picture/flags-sq-4/col
35,1992-12-31T00:00:00,36,Hungary,HUN,36,,https://api.fifa.com/api/v1/picture/flags-sq-4/hun
36,1992-12-31T00:00:00,37,Costa Rica,CRC,35,,https://api.fifa.com/api/v1/picture/flags-sq-4/crc
37,1992-12-31T00:00:00,38,Tunisia,TUN,35,,https://api.fifa.com/api/v1/picture/flags-sq-4/tun
38,1992-12-31T00:00:00,39,Ghana,GHA,34,,https://api.fifa.com/api/v1/picture/flags-sq-4/gha
39,1992-12-31T00:00:00,40,Honduras,HON,32,,https://api.fifa.com/api/v1/picture/flags-sq-4/hon
40,1992-12-31T00:00:00,41,Morocco,MAR,32,,https://api.fifa.com/api/v1/picture/flags-sq-4/mar
41,1992-12-31T00:00:00,42,Turkey,TUR,31,,https://api.fifa.com/api/v1/picture/flags-sq-4/tur
42,1992-12-31T00:00:00,43,Northern Ireland,NIR,31,,https://api.fifa.com/api/v1/picture/flags-sq-4/nir
43,1992-12-31T00:00:00,44,Finland,FIN,31,,https://api.fifa.com/api/v1/picture/flags-sq-4/fin
44,1992-12-31T00:00:00,45,Australia,AUS,29,,https://api.fifa.com/api/v1/picture/flags-sq-4/aus
45,1992-12-31T00:00:00,46,Iceland,ISL,29,,https://api.fifa.com/api/v1/picture/flags-sq-4/isl
46,1992-12-31T00:00:00,47,Chile,CHI,28,,https://api.fifa.com/api/v1/picture/flags-sq-4/chi
47,1992-12-31T00:00:00,48,Saudi Arabia,KSA,28,,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa
48,1992-12-31T00:00:00,49,Korea Republic,KOR,28,,https://api.fifa.com/api/v1/picture/flags-sq-4/kor
49,1992-12-31T00:00:00,50,El Salvador,SLV,28,,https://api.fifa.com/api/v1/picture/flags-sq-4/slv
50,1992-12-31T00:00:00,51,Senegal,SEN,27,,https://api.fifa.com/api/v1/picture/flags-sq-4/sen
51,1992-12-31T00:00:00,52,Qatar,QAT,27,,https://api.fifa.com/api/v1/picture/flags-sq-4/qat
52,1992-12-31T00:00:00,53,Malawi,MWI,27,,https://api.fifa.com/api/v1/picture/flags-sq-4/mwi
53,1992-12-31T00:00:00,54,Zimbabwe,ZIM,27,,https://api.fifa.com/api/v1/picture/flags-sq-4/zim
54,1992-12-31T00:00:00,55,Gabon,GAB,27,,https://api.fifa.com/api/v1/picture/flags-sq-4/gab
55,1992-12-31T00:00:00,56,China PR,CHN,26,,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
56,1992-12-31T00:00:00,57,Canada,CAN,25,,https://api.fifa.com/api/v1/picture/flags-sq-4/can
57,1992-12-31T00:00:00,58,Bermuda,BER,25,,https://api.fifa.com/api/v1/picture/flags-sq-4/ber
58,1992-12-31T00:00:00,59,United Arab Emirates,UAE,25,,https://api.fifa.com/api/v1/picture/flags-sq-4/uae
59,1992-12-31T00:00:00,60,Zaire,ZAI,25,,https://api.fifa.com/api/v1/picture/flags-sq-4/zai
60,1992-12-31T00:00:00,61,IR Iran,IRN,24,,https://api.fifa.com/api/v1/picture/flags-sq-4/irn
61,1992-12-31T00:00:00,62,Trinidad and Tobago,TRI,24,,https://api.fifa.com/api/v1/picture/flags-sq-4/tri
62,1992-12-31T00:00:00,63,Guinea,GUI,24,,https://api.fifa.com/api/v1/picture/flags-sq-4/gui
63,1992-12-31T00:00:00,64,Israel,ISR,23,,https://api.fifa.com/api/v1/picture/flags-sq-4/isr
64,1992-12-31T00:00:00,65,Ecuador,ECU,23,,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu
65,1992-12-31T00:00:00,66,Japan,JPN,22,,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn
66,1992-12-31T00:00:00,67,Jamaica,JAM,22,,https://api.fifa.com/api/v1/picture/flags-sq-4/jam
67,1992-12-31T00:00:00,68,Paraguay,PAR,22,,https://api.fifa.com/api/v1/picture/flags-sq-4/par
68,1992-12-31T00:00:00,69,Mali,MLI,22,,https://api.fifa.com/api/v1/picture/flags-sq-4/mli
69,1992-12-31T00:00:00,70,New Zealand,NZL,22,,https://api.fifa.com/api/v1/picture/flags-sq-4/nzl
70,1992-12-31T00:00:00,71,Kuwait,KUW,21,,https://api.fifa.com/api/v1/picture/flags-sq-4/kuw
71,1992-12-31T00:00:00,72,Cyprus,CYP,20,,https://api.fifa.com/api/v1/picture/flags-sq-4/cyp
72,1992-12-31T00:00:00,73,Malta,MLT,19,,https://api.fifa.com/api/v1/picture/flags-sq-4/mlt
73,1992-12-31T00:00:00,74,Madagascar,MAD,18,,https://api.fifa.com/api/v1/picture/flags-sq-4/mad
74,1992-12-31T00:00:00,75,Thailand,THA,18,,https://api.fifa.com/api/v1/picture/flags-sq-4/tha
75,1992-12-31T00:00:00,76,Kenya,KEN,17,,https://api.fifa.com/api/v1/picture/flags-sq-4/ken
76,1992-12-31T00:00:00,77,Korea DPR,PRK,16,,https://api.fifa.com/api/v1/picture/flags-sq-4/prk
77,1992-12-31T00:00:00,78,Peru,PER,16,,https://api.fifa.com/api/v1/picture/flags-sq-4/per
78,1992-12-31T00:00:00,79,Sierra Leone,SLE,16,,https://api.fifa.com/api/v1/picture/flags-sq-4/sle
79,1992-12-31T00:00:00,80,Tanzania,TAN,15,,https://api.fifa.com/api/v1/picture/flags-sq-4/tan
80,1992-12-31T00:00:00,81,Niger,NIG,15,,https://api.fifa.com/api/v1/picture/flags-sq-4/nig
