,date,rank,country,ct,points,previousPoints,flag,delta
0,1996-07-03T00:00:00,1,Brazil,BRA,69,69,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,0.0
1,1996-07-03T00:00:00,2,Germany,GER,64,63,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,1.0
2,1996-07-03T00:00:00,3,France,FRA,61,58,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,3.0
3,1996-07-03T00:00:00,4,Czech Republic,CZE,60,55,https://api.fifa.com/api/v1/picture/flags-sq-4/cze,5.0
4,1996-07-03T00:00:00,5,Italy,ITA,60,57,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,3.0
5,1996-07-03T00:00:00,6,Netherlands,NED,60,54,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,6.0
6,1996-07-03T00:00:00,7,Sweden,SWE,60,59,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,1.0
7,1996-07-03T00:00:00,8,Spain,ESP,59,58,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,1.0
8,1996-07-03T00:00:00,9,Russia,RUS,59,60,https://api.fifa.com/api/v1/picture/flags-sq-4/rus,-1.0
9,1996-07-03T00:00:00,10,Denmark,DEN,56,55,https://api.fifa.com/api/v1/picture/flags-sq-4/den,1.0
10,1996-07-03T00:00:00,11,Portugal,POR,56,51,https://api.fifa.com/api/v1/picture/flags-sq-4/por,5.0
11,1996-07-03T00:00:00,12,Colombia,COL,56,56,https://api.fifa.com/api/v1/picture/flags-sq-4/col,0.0
12,1996-07-03T00:00:00,13,England,ENG,55,49,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,6.0
13,1996-07-03T00:00:00,14,Mexico,MEX,54,54,https://api.fifa.com/api/v1/picture/flags-sq-4/mex,0.0
14,1996-07-03T00:00:00,15,Argentina,ARG,54,57,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,-3.0
15,1996-07-03T00:00:00,16,Zambia,ZAM,53,53,https://api.fifa.com/api/v1/picture/flags-sq-4/zam,0.0
16,1996-07-03T00:00:00,17,USA,USA,53,53,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,0.0
17,1996-07-03T00:00:00,18,South Africa,RSA,52,51,https://api.fifa.com/api/v1/picture/flags-sq-4/rsa,1.0
18,1996-07-03T00:00:00,19,Bulgaria,BUL,52,47,https://api.fifa.com/api/v1/picture/flags-sq-4/bul,5.0
19,1996-07-03T00:00:00,20,Ghana,GHA,52,52,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,0.0
20,1996-07-03T00:00:00,21,Tunisia,TUN,51,50,https://api.fifa.com/api/v1/picture/flags-sq-4/tun,1.0
21,1996-07-03T00:00:00,22,Croatia,CRO,51,48,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,3.0
22,1996-07-03T00:00:00,23,Romania,ROU,51,52,https://api.fifa.com/api/v1/picture/flags-sq-4/rou,-1.0
23,1996-07-03T00:00:00,24,Norway,NOR,50,51,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,-1.0
24,1996-07-03T00:00:00,25,Japan,JPN,50,48,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn,2.0
25,1996-07-03T00:00:00,26,Switzerland,SUI,50,50,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,0.0
26,1996-07-03T00:00:00,27,Egypt,EGY,49,48,https://api.fifa.com/api/v1/picture/flags-sq-4/egy,1.0
27,1996-07-03T00:00:00,28,Côte d'Ivoire,CIV,48,49,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,-1.0
28,1996-07-03T00:00:00,29,Chile,CHI,47,46,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,1.0
29,1996-07-03T00:00:00,30,Scotland,SCO,46,46,https://api.fifa.com/api/v1/picture/flags-sq-4/sco,0.0
30,1996-07-03T00:00:00,31,Turkey,TUR,46,46,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,0.0
31,1996-07-03T00:00:00,32,Ecuador,ECU,46,43,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,3.0
32,1996-07-03T00:00:00,33,Morocco,MAR,45,46,https://api.fifa.com/api/v1/picture/flags-sq-4/mar,-1.0
33,1996-07-03T00:00:00,34,Trinidad and Tobago,TRI,45,38,https://api.fifa.com/api/v1/picture/flags-sq-4/tri,7.0
34,1996-07-03T00:00:00,35,Greece,GRE,45,45,https://api.fifa.com/api/v1/picture/flags-sq-4/gre,0.0
35,1996-07-03T00:00:00,36,Bolivia,BOL,45,44,https://api.fifa.com/api/v1/picture/flags-sq-4/bol,1.0
36,1996-07-03T00:00:00,37,Slovakia,SVK,44,43,https://api.fifa.com/api/v1/picture/flags-sq-4/svk,1.0
37,1996-07-03T00:00:00,38,Uruguay,URU,44,46,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,-2.0
38,1996-07-03T00:00:00,39,Cameroon,CMR,44,45,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,-1.0
