,date,rank,country,ct,points,previousPoints,flag,delta
0,2017-03-09T00:00:00,1,Argentina,ARG,1644,1635,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,9.0
1,2017-03-09T00:00:00,2,Brazil,BRA,1534,1529,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,5.0
2,2017-03-09T00:00:00,3,Germany,GER,1443,1433,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,10.0
3,2017-03-09T00:00:00,4,Chile,CHI,1389,1386,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,3.0
4,2017-03-09T00:00:00,5,Belgium,BEL,1379,1371,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,8.0
5,2017-03-09T00:00:00,6,France,FRA,1318,1313,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,5.0
6,2017-03-09T00:00:00,7,Colombia,COL,1312,1304,https://api.fifa.com/api/v1/picture/flags-sq-4/col,8.0
7,2017-03-09T00:00:00,8,Portugal,POR,1240,1240,https://api.fifa.com/api/v1/picture/flags-sq-4/por,0.0
8,2017-03-09T00:00:00,9,Uruguay,URU,1200,1195,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,5.0
9,2017-03-09T00:00:00,10,Spain,ESP,1162,1168,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,-6.0
10,2017-03-09T00:00:00,11,Switzerland,SUI,1138,1140,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,-2.0
11,2017-03-09T00:00:00,12,Poland,POL,1121,1101,https://api.fifa.com/api/v1/picture/flags-sq-4/pol,20.0
12,2017-03-09T00:00:00,12,Wales,WAL,1121,1120,https://api.fifa.com/api/v1/picture/flags-sq-4/wal,1.0
13,2017-03-09T00:00:00,14,England,ENG,1114,1113,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,1.0
14,2017-03-09T00:00:00,15,Italy,ITA,1095,1087,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,8.0
15,2017-03-09T00:00:00,16,Croatia,CRO,1042,1039,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,3.0
16,2017-03-09T00:00:00,17,Mexico,MEX,1026,1016,https://api.fifa.com/api/v1/picture/flags-sq-4/mex,10.0
17,2017-03-09T00:00:00,18,Peru,PER,965,965,https://api.fifa.com/api/v1/picture/flags-sq-4/per,0.0
18,2017-03-09T00:00:00,19,Costa Rica,CRC,953,948,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,5.0
19,2017-03-09T00:00:00,20,Egypt,EGY,904,881,https://api.fifa.com/api/v1/picture/flags-sq-4/egy,23.0
20,2017-03-09T00:00:00,21,Netherlands,NED,900,893,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,7.0
21,2017-03-09T00:00:00,22,Ecuador,ECU,887,887,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,0.0
22,2017-03-09T00:00:00,23,Iceland,ISL,875,899,https://api.fifa.com/api/v1/picture/flags-sq-4/isl,-24.0
23,2017-03-09T00:00:00,24,Republic of Ireland,IRL,860,854,https://api.fifa.com/api/v1/picture/flags-sq-4/irl,6.0
24,2017-03-09T00:00:00,25,Slovakia,SVK,853,843,https://api.fifa.com/api/v1/picture/flags-sq-4/svk,10.0
25,2017-03-09T00:00:00,26,Turkey,TUR,851,857,https://api.fifa.com/api/v1/picture/flags-sq-4/tur,-6.0
26,2017-03-09T00:00:00,27,Hungary,HUN,834,830,https://api.fifa.com/api/v1/picture/flags-sq-4/hun,4.0
27,2017-03-09T00:00:00,28,Senegal,SEN,831,799,https://api.fifa.com/api/v1/picture/flags-sq-4/sen,32.0
28,2017-03-09T00:00:00,29,Bosnia and Herzegovina,BIH,826,827,https://api.fifa.com/api/v1/picture/flags-sq-4/bih,-1.0
29,2017-03-09T00:00:00,30,USA,USA,818,818,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,0.0
30,2017-03-09T00:00:00,31,Ukraine,UKR,798,805,https://api.fifa.com/api/v1/picture/flags-sq-4/ukr,-7.0
